    Energy    <xanes>    
   7072.00  1.0472494E-03
   7072.50  1.0593500E-03
   7073.00  1.0717143E-03
   7073.50  1.0843510E-03
   7074.00  1.0972689E-03
   7074.50  1.1104775E-03
   7075.00  1.1239866E-03
   7075.50  1.1378065E-03
   7076.00  1.1519478E-03
   7076.50  1.1664219E-03
   7077.00  1.1812404E-03
   7077.50  1.1964157E-03
   7078.00  1.2119606E-03
   7078.50  1.2278887E-03
   7079.00  1.2442142E-03
   7079.50  1.2609518E-03
   7080.00  1.2781174E-03
   7080.50  1.2957272E-03
   7081.00  1.3137986E-03
   7081.50  1.3323497E-03
   7082.00  1.3513997E-03
   7082.50  1.3709687E-03
   7083.00  1.3910779E-03
   7083.50  1.4117498E-03
   7084.00  1.4330081E-03
   7084.50  1.4548776E-03
   7085.00  1.4773850E-03
   7085.50  1.5005580E-03
   7086.00  1.5244264E-03
   7086.50  1.5490215E-03
   7087.00  1.5743766E-03
   7087.50  1.6005271E-03
   7088.00  1.6275104E-03
   7088.50  1.6553666E-03
   7089.00  1.6841381E-03
   7089.50  1.7138702E-03
   7090.00  1.7446114E-03
   7090.50  1.7764131E-03
   7091.00  1.8093306E-03
   7091.50  1.8434229E-03
   7092.00  1.8787532E-03
   7092.50  1.9153895E-03
   7093.00  1.9534047E-03
   7093.50  1.9928771E-03
   7094.00  2.0338913E-03
   7094.50  2.0765385E-03
   7095.00  2.1209170E-03
   7095.50  2.1671334E-03
   7096.00  2.2153032E-03
   7096.50  2.2655517E-03
   7097.00  2.3180154E-03
   7097.50  2.3728430E-03
   7098.00  2.4301967E-03
   7098.50  2.4902544E-03
   7099.00  2.5532111E-03
   7099.50  2.6192814E-03
   7100.00  2.6887019E-03
   7100.50  2.7617344E-03
   7101.00  2.8386697E-03
   7101.50  2.9198314E-03
   7102.00  3.0055816E-03
   7102.50  3.0963268E-03
   7103.00  3.1925260E-03
   7103.50  3.2947002E-03
   7104.00  3.4034447E-03
   7104.50  3.5194447E-03
   7105.00  3.6434965E-03
   7105.50  3.7765356E-03
   7106.00  3.9196755E-03
   7106.50  4.0742652E-03
   7107.00  4.2419736E-03
   7107.10  4.2772664E-03
   7107.20  4.3131864E-03
   7107.30  4.3497545E-03
   7107.40  4.3869928E-03
   7107.50  4.4249246E-03
   7107.60  4.4635748E-03
   7107.70  4.5029701E-03
   7107.80  4.5431388E-03
   7107.90  4.5841111E-03
   7108.00  4.6259196E-03
   7108.10  4.6685994E-03
   7108.20  4.7121881E-03
   7108.30  4.7567267E-03
   7108.40  4.8022594E-03
   7108.50  4.8488343E-03
   7108.60  4.8965041E-03
   7108.70  4.9453262E-03
   7108.80  4.9953640E-03
   7108.90  5.0466872E-03
   7109.00  5.0993731E-03
   7109.10  5.1535075E-03
   7109.20  5.2091863E-03
   7109.30  5.2665171E-03
   7109.40  5.3256210E-03
   7109.50  5.3866352E-03
   7109.60  5.4497158E-03
   7109.70  5.5150412E-03
   7109.80  5.5828168E-03
   7109.90  5.6532799E-03
   7110.00  5.7267069E-03
   7110.10  5.8034211E-03
   7110.20  5.8838033E-03
   7110.30  5.9683048E-03
   7110.40  6.0574643E-03
   7110.50  6.1519285E-03
   7110.60  6.2524793E-03
   7110.70  6.3600676E-03
   7110.80  6.4758571E-03
   7110.90  6.6012789E-03
   7111.00  6.7380990E-03
   7111.10  6.8884994E-03
   7111.20  7.0551691E-03
   7111.30  7.2413923E-03
   7111.40  7.4511043E-03
   7111.50  7.6888556E-03
   7111.60  7.9595842E-03
   7111.70  8.2680731E-03
   7111.80  8.6180281E-03
   7111.90  9.0109179E-03
   7112.00  9.4449300E-03
   7112.10  9.9145037E-03
   7112.20  1.0406864E-02
   7112.30  1.0897414E-02
   7112.40  1.1344865E-02
   7112.50  1.1693441E-02
   7112.60  1.1890125E-02
   7112.70  1.1911445E-02
   7112.80  1.1778626E-02
   7112.90  1.1546545E-02
   7113.00  1.1277266E-02
   7113.10  1.1019279E-02
   7113.20  1.0801069E-02
   7113.30  1.0634447E-02
   7113.40  1.0520618E-02
   7113.50  1.0455216E-02
   7113.60  1.0431506E-02
   7113.70  1.0442185E-02
   7113.80  1.0480458E-02
   7113.90  1.0540752E-02
   7114.00  1.0619174E-02
   7114.10  1.0713591E-02
   7114.20  1.0823324E-02
   7114.30  1.0948581E-02
   7114.40  1.1089921E-02
   7114.50  1.1247899E-02
   7114.60  1.1422917E-02
   7114.70  1.1615225E-02
   7114.80  1.1824981E-02
   7114.90  1.2052330E-02
   7115.00  1.2297459E-02
   7115.10  1.2560647E-02
   7115.20  1.2842287E-02
   7115.30  1.3142911E-02
   7115.40  1.3463195E-02
   7115.50  1.3803973E-02
   7115.60  1.4166237E-02
   7115.70  1.4551149E-02
   7115.80  1.4960037E-02
   7115.90  1.5394412E-02
   7116.00  1.5855972E-02
   7116.10  1.6346627E-02
   7116.20  1.6868519E-02
   7116.30  1.7424053E-02
   7116.40  1.8015931E-02
   7116.50  1.8647189E-02
   7116.60  1.9321235E-02
   7116.70  2.0041889E-02
   7116.80  2.0813428E-02
   7116.90  2.1640624E-02
   7117.00  2.2528782E-02
   7117.20  2.4512088E-02
   7117.40  2.6817701E-02
   7117.60  2.9509902E-02
   7117.80  3.2661838E-02
   7118.00  3.6352371E-02
   7118.20  4.0658805E-02
   7118.40  4.5639850E-02
   7118.60  5.1303538E-02
   7118.80  5.7570236E-02
   7119.00  6.4266526E-02
   7119.20  7.1186613E-02
   7119.40  7.8200537E-02
   7119.60  8.5316792E-02
   7119.80  9.2634494E-02
   7120.00  1.0023404E-01
   7120.20  1.0809570E-01
   7120.40  1.1607465E-01
   7120.60  1.2393252E-01
   7120.80  1.3144078E-01
   7121.00  1.3851000E-01
   7121.20  1.4523307E-01
   7121.40  1.5181408E-01
   7121.60  1.5847384E-01
   7121.80  1.6540866E-01
   7122.00  1.7279854E-01
   7122.20  1.8082983E-01
   7122.40  1.8970197E-01
   7122.60  1.9959491E-01
   7122.80  2.1059747E-01
   7123.00  2.2263088E-01
   7123.20  2.3541224E-01
   7123.40  2.4847995E-01
   7123.60  2.6127230E-01
   7123.80  2.7323193E-01
   7124.00  2.8390100E-01
   7124.20  2.9297746E-01
   7124.40  3.0032720E-01
   7124.60  3.0597523E-01
   7124.80  3.1009902E-01
   7125.00  3.1301676E-01
   7125.20  3.1514438E-01
   7125.40  3.1691711E-01
   7125.60  3.1870555E-01
   7125.80  3.2076332E-01
   7126.00  3.2321984E-01
   7126.20  3.2610415E-01
   7126.40  3.2937598E-01
   7126.60  3.3294821E-01
   7126.80  3.3669866E-01
   7127.00  3.4047806E-01
   7127.20  3.4412077E-01
   7127.40  3.4746062E-01
   7127.60  3.5034938E-01
   7127.80  3.5267270E-01
   7128.00  3.5435913E-01
   7128.20  3.5538048E-01
   7128.40  3.5574464E-01
   7128.60  3.5548450E-01
   7128.80  3.5464664E-01
   7129.00  3.5328247E-01
   7129.20  3.5144296E-01
   7129.40  3.4917676E-01
   7129.60  3.4653061E-01
   7129.80  3.4355085E-01
   7130.00  3.4028483E-01
   7130.20  3.3678164E-01
   7130.40  3.3309181E-01
   7130.60  3.2926625E-01
   7130.80  3.2535470E-01
   7131.00  3.2140402E-01
   7131.20  3.1745684E-01
   7131.40  3.1355047E-01
   7131.60  3.0971645E-01
   7131.80  3.0598044E-01
   7132.00  3.0236243E-01
   7133.00  2.8640511E-01
   7134.00  2.7401665E-01
   7135.00  2.6437867E-01
   7136.00  2.5667223E-01
   7137.00  2.5069089E-01
   7138.00  2.4661238E-01
   7139.00  2.4442629E-01
   7140.00  2.4372788E-01
   7141.00  2.4389501E-01
   7142.00  2.4429249E-01
   7143.00  2.4439520E-01
   7144.00  2.4385897E-01
   7145.00  2.4251398E-01
   7146.00  2.4029558E-01
   7147.00  2.3721231E-01
   7148.00  2.3339060E-01
   7149.00  2.2909922E-01
   7150.00  2.2468273E-01
   7151.00  2.2046606E-01
   7152.00  2.1670489E-01
   7153.00  2.1357744E-01
   7154.00  2.1118572E-01
   7155.00  2.0955997E-01
   7156.00  2.0867466E-01
   7157.00  2.0847552E-01
   7158.00  2.0890515E-01
   7159.00  2.0991619E-01
   7160.00  2.1147117E-01
   7161.00  2.1353357E-01
   7162.00  2.1605410E-01
   7163.00  2.1895718E-01
   7164.00  2.2213757E-01
   7165.00  2.2547421E-01
   7166.00  2.2885720E-01
   7167.00  2.3221384E-01
   7168.00  2.3552149E-01
   7169.00  2.3880385E-01
   7170.00  2.4211419E-01
   7171.00  2.4551061E-01
   7172.00  2.4902816E-01
   7173.00  2.5265406E-01
   7174.00  2.5631321E-01
   7175.00  2.5987076E-01
   7176.00  2.6315436E-01
   7177.00  2.6599128E-01
   7178.00  2.6824818E-01
   7179.00  2.6985916E-01
   7180.00  2.7083417E-01
   7181.00  2.7124989E-01
   7182.00  2.7123138E-01
   7183.00  2.7093043E-01
   7184.00  2.7050239E-01
   7185.00  2.7008241E-01
   7186.00  2.6976519E-01
   7187.00  2.6959401E-01
   7188.00  2.6956198E-01
   7189.00  2.6962399E-01
   7190.00  2.6971353E-01
   7191.00  2.6975929E-01
   7192.00  2.6969808E-01
   7193.00  2.6948325E-01
   7194.00  2.6908872E-01
   7195.00  2.6850881E-01
   7196.00  2.6775441E-01
   7197.00  2.6684801E-01
   7198.00  2.6582005E-01
   7199.00  2.6470770E-01
   7200.00  2.6355510E-01
   7201.00  2.6241311E-01
   7202.00  2.6133692E-01
   7203.00  2.6038116E-01
   7204.00  2.5959324E-01
   7205.00  2.5900618E-01
   7206.00  2.5863293E-01
   7207.00  2.5846412E-01
   7208.00  2.5847049E-01
   7209.00  2.5860970E-01
   7210.00  2.5883524E-01
   7211.00  2.5910467E-01
   7212.00  2.5938496E-01
