    Energy    <xanes>    
   7072.00  5.2433455E-04
   7072.50  5.3070281E-04
   7073.00  5.3721612E-04
   7073.50  5.4387943E-04
   7074.00  5.5069791E-04
   7074.50  5.5767698E-04
   7075.00  5.6482229E-04
   7075.50  5.7213980E-04
   7076.00  5.7963570E-04
   7076.50  5.8731653E-04
   7077.00  5.9518911E-04
   7077.50  6.0326062E-04
   7078.00  6.1153860E-04
   7078.50  6.2003097E-04
   7079.00  6.2874605E-04
   7079.50  6.3769261E-04
   7080.00  6.4687985E-04
   7080.50  6.5631751E-04
   7081.00  6.6601581E-04
   7081.50  6.7598556E-04
   7082.00  6.8623816E-04
   7082.50  6.9678566E-04
   7083.00  7.0764079E-04
   7083.50  7.1881702E-04
   7084.00  7.3032862E-04
   7084.50  7.4219070E-04
   7085.00  7.5441929E-04
   7085.50  7.6703140E-04
   7086.00  7.8004512E-04
   7086.50  7.9347967E-04
   7087.00  8.0735550E-04
   7087.50  8.2169442E-04
   7088.00  8.3651966E-04
   7088.50  8.5185605E-04
   7089.00  8.6773011E-04
   7089.50  8.8417021E-04
   7090.00  9.0120674E-04
   7090.50  9.1887231E-04
   7091.00  9.3720189E-04
   7091.50  9.5623311E-04
   7092.00  9.7600647E-04
   7092.50  9.9656562E-04
   7093.00  1.0179577E-03
   7093.50  1.0402336E-03
   7094.00  1.0634485E-03
   7094.50  1.0876623E-03
   7095.00  1.1129399E-03
   7095.50  1.1393520E-03
   7096.00  1.1669758E-03
   7096.50  1.1958955E-03
   7097.00  1.2262032E-03
   7097.50  1.2580000E-03
   7098.00  1.2913972E-03
   7098.50  1.3265172E-03
   7099.00  1.3634954E-03
   7099.50  1.4024817E-03
   7100.00  1.4436425E-03
   7100.50  1.4871635E-03
   7101.00  1.5332519E-03
   7101.50  1.5821404E-03
   7102.00  1.6340910E-03
   7102.50  1.6893997E-03
   7103.00  1.7484028E-03
   7103.50  1.8114841E-03
   7104.00  1.8790842E-03
   7104.50  1.9517116E-03
   7105.00  2.0299582E-03
   7105.50  2.1145181E-03
   7106.00  2.2062135E-03
   7106.50  2.3060308E-03
   7107.00  2.4151706E-03
   7107.10  2.4382423E-03
   7107.20  2.4617589E-03
   7107.30  2.4857346E-03
   7107.40  2.5101846E-03
   7107.50  2.5351247E-03
   7107.60  2.5605715E-03
   7107.70  2.5865427E-03
   7107.80  2.6130570E-03
   7107.90  2.6401341E-03
   7108.00  2.6677952E-03
   7108.10  2.6960627E-03
   7108.20  2.7249603E-03
   7108.30  2.7545137E-03
   7108.40  2.7847503E-03
   7108.50  2.8156995E-03
   7108.60  2.8473932E-03
   7108.70  2.8798657E-03
   7108.80  2.9131545E-03
   7108.90  2.9473001E-03
   7109.00  2.9823473E-03
   7109.10  3.0183450E-03
   7109.20  3.0553474E-03
   7109.30  3.0934144E-03
   7109.40  3.1326133E-03
   7109.50  3.1730190E-03
   7109.60  3.2147167E-03
   7109.70  3.2578027E-03
   7109.80  3.3023874E-03
   7109.90  3.3485979E-03
   7110.00  3.3965818E-03
   7110.10  3.4465115E-03
   7110.20  3.4985902E-03
   7110.30  3.5530592E-03
   7110.40  3.6102076E-03
   7110.50  3.6703839E-03
   7110.60  3.7340115E-03
   7110.70  3.8016077E-03
   7110.80  3.8738078E-03
   7110.90  3.9513922E-03
   7111.00  4.0353170E-03
   7111.10  4.1267403E-03
   7111.20  4.2270300E-03
   7111.30  4.3377237E-03
   7111.40  4.4603825E-03
   7111.50  4.5962493E-03
   7111.60  4.7456143E-03
   7111.70  4.9068850E-03
   7111.80  5.0756757E-03
   7111.90  5.2446739E-03
   7112.00  5.4052974E-03
   7112.10  5.5500178E-03
   7112.20  5.6740705E-03
   7112.30  5.7761386E-03
   7112.40  5.8574141E-03
   7112.50  5.9206276E-03
   7112.60  5.9695810E-03
   7112.70  6.0088921E-03
   7112.80  6.0435845E-03
   7112.90  6.0785270E-03
   7113.00  6.1179526E-03
   7113.10  6.1651960E-03
   7113.20  6.2226339E-03
   7113.30  6.2917669E-03
   7113.40  6.3733943E-03
   7113.50  6.4678333E-03
   7113.60  6.5751308E-03
   7113.70  6.6952323E-03
   7113.80  6.8280966E-03
   7113.90  6.9737647E-03
   7114.00  7.1323988E-03
   7114.10  7.3043017E-03
   7114.20  7.4899298E-03
   7114.30  7.6899016E-03
   7114.40  7.9050084E-03
   7114.50  8.1362262E-03
   7114.60  8.3847311E-03
   7114.70  8.6519176E-03
   7114.80  8.9394202E-03
   7114.90  9.2491416E-03
   7115.00  9.5832871E-03
   7115.10  9.9444075E-03
   7115.20  1.0335447E-02
   7115.30  1.0759791E-02
   7115.40  1.1221318E-02
   7115.50  1.1724429E-02
   7115.60  1.2274057E-02
   7115.70  1.2875627E-02
   7115.80  1.3534921E-02
   7115.90  1.4257827E-02
   7116.00  1.5049890E-02
   7116.10  1.5915663E-02
   7116.20  1.6857862E-02
   7116.30  1.7876470E-02
   7116.40  1.8968137E-02
   7116.50  2.0126337E-02
   7116.60  2.1342757E-02
   7116.70  2.2609930E-02
   7116.80  2.3924420E-02
   7116.90  2.5289231E-02
   7117.00  2.6714249E-02
   7117.20  2.9806797E-02
   7117.40  3.3327598E-02
   7117.60  3.7363144E-02
   7117.80  4.1955916E-02
   7118.00  4.7116678E-02
   7118.20  5.2808877E-02
   7118.40  5.8949403E-02
   7118.60  6.5461243E-02
   7118.80  7.2330424E-02
   7119.00  7.9591634E-02
   7119.20  8.7221667E-02
   7119.40  9.5005042E-02
   7119.60  1.0247378E-01
   7119.80  1.0902763E-01
   7120.00  1.1424873E-01
   7120.20  1.1815931E-01
   7120.40  1.2114018E-01
   7120.60  1.2361163E-01
   7120.80  1.2580027E-01
   7121.00  1.2771738E-01
   7121.20  1.2925494E-01
   7121.40  1.3029049E-01
   7121.60  1.3076095E-01
   7121.80  1.3070787E-01
   7122.00  1.3029368E-01
   7122.20  1.2977506E-01
   7122.40  1.2943535E-01
   7122.60  1.2950774E-01
   7122.80  1.3012231E-01
   7123.00  1.3128924E-01
   7123.20  1.3291681E-01
   7123.40  1.3485638E-01
   7123.60  1.3695869E-01
   7123.80  1.3911852E-01
   7124.00  1.4128958E-01
   7124.20  1.4346963E-01
   7124.40  1.4567246E-01
   7124.60  1.4790595E-01
   7124.80  1.5016448E-01
   7125.00  1.5243200E-01
   7125.20  1.5468731E-01
   7125.40  1.5690588E-01
   7125.60  1.5905794E-01
   7125.80  1.6110590E-01
   7126.00  1.6300488E-01
   7126.20  1.6470746E-01
   7126.40  1.6617057E-01
   7126.60  1.6736139E-01
   7126.80  1.6825996E-01
   7127.00  1.6885882E-01
   7127.20  1.6916096E-01
   7127.40  1.6917756E-01
   7127.60  1.6892612E-01
   7127.80  1.6842895E-01
   7128.00  1.6771161E-01
   7128.20  1.6680134E-01
   7128.40  1.6572525E-01
   7128.60  1.6450860E-01
   7128.80  1.6317336E-01
   7129.00  1.6173724E-01
   7129.20  1.6021354E-01
   7129.40  1.5861179E-01
   7129.60  1.5693902E-01
   7129.80  1.5520148E-01
   7130.00  1.5340620E-01
   7130.20  1.5156220E-01
   7130.40  1.4968110E-01
   7130.60  1.4777710E-01
   7130.80  1.4586651E-01
   7131.00  1.4396699E-01
   7131.20  1.4209665E-01
   7131.40  1.4027317E-01
   7131.60  1.3851304E-01
   7131.80  1.3683087E-01
   7132.00  1.3523892E-01
   7133.00  1.2886457E-01
   7134.00  1.2505352E-01
   7135.00  1.2306970E-01
   7136.00  1.2216991E-01
   7137.00  1.2173213E-01
   7138.00  1.2114297E-01
   7139.00  1.1996130E-01
   7140.00  1.1803723E-01
   7141.00  1.1546574E-01
   7142.00  1.1251629E-01
   7143.00  1.0954561E-01
   7144.00  1.0687791E-01
   7145.00  1.0471965E-01
   7146.00  1.0315581E-01
   7147.00  1.0219691E-01
   7148.00  1.0182432E-01
   7149.00  1.0201141E-01
