    Energy    <xanes>    
  30451.00  1.1072254E-03
  30451.50  1.1241963E-03
  30452.00  1.1416446E-03
  30452.50  1.1595899E-03
  30453.00  1.1780527E-03
  30453.50  1.1970551E-03
  30454.00  1.2166199E-03
  30454.50  1.2367714E-03
  30455.00  1.2575354E-03
  30455.50  1.2789390E-03
  30456.00  1.3010109E-03
  30456.50  1.3237816E-03
  30457.00  1.3472833E-03
  30457.50  1.3715502E-03
  30458.00  1.3966185E-03
  30458.50  1.4225268E-03
  30459.00  1.4493162E-03
  30459.50  1.4770300E-03
  30460.00  1.5057148E-03
  30460.50  1.5354201E-03
  30461.00  1.5661985E-03
  30461.50  1.5981064E-03
  30462.00  1.6312039E-03
  30462.50  1.6655554E-03
  30463.00  1.7012299E-03
  30463.50  1.7383013E-03
  30464.00  1.7768487E-03
  30464.50  1.8169573E-03
  30465.00  1.8587187E-03
  30465.50  1.9022315E-03
  30466.00  1.9476018E-03
  30466.50  1.9949443E-03
  30467.00  2.0443829E-03
  30467.50  2.0960515E-03
  30468.00  2.1500953E-03
  30468.50  2.2066718E-03
  30469.00  2.2659520E-03
  30469.50  2.3281220E-03
  30470.00  2.3933845E-03
  30470.50  2.4619609E-03
  30471.00  2.5340928E-03
  30471.50  2.6100452E-03
  30472.00  2.6901082E-03
  30472.50  2.7746010E-03
  30473.00  2.8638744E-03
  30473.50  2.9583157E-03
  30474.00  3.0583526E-03
  30474.50  3.1644585E-03
  30475.00  3.2771587E-03
  30475.50  3.3970371E-03
  30476.00  3.5247446E-03
  30476.50  3.6610077E-03
  30477.00  3.8066398E-03
  30477.50  3.9625539E-03
  30478.00  4.1297766E-03
  30478.50  4.3094659E-03
  30479.00  4.5029311E-03
  30479.50  4.7116566E-03
  30480.00  4.9373296E-03
  30480.50  5.1818733E-03
  30481.00  5.4474850E-03
  30481.50  5.7366826E-03
  30482.00  6.0523577E-03
  30482.50  6.3978388E-03
  30483.00  6.7769650E-03
  30483.50  7.1941711E-03
  30484.00  7.6545846E-03
  30484.50  8.1641341E-03
