    Energy    <xanes>    
   7072.00  5.4196602E-04
   7072.50  5.4866634E-04
   7073.00  5.5552439E-04
   7073.50  5.6254579E-04
   7074.00  5.6973641E-04
   7074.50  5.7710240E-04
   7075.00  5.8465022E-04
   7075.50  5.9238667E-04
   7076.00  6.0031885E-04
   7076.50  6.0845426E-04
   7077.00  6.1680077E-04
   7077.50  6.2536665E-04
   7078.00  6.3416062E-04
   7078.50  6.4319187E-04
   7079.00  6.5247008E-04
   7079.50  6.6200547E-04
   7080.00  6.7180882E-04
   7080.50  6.8189153E-04
   7081.00  6.9226565E-04
   7081.50  7.0294393E-04
   7082.00  7.1393986E-04
   7082.50  7.2526777E-04
   7083.00  7.3694283E-04
   7083.50  7.4898117E-04
   7084.00  7.6139991E-04
   7084.50  7.7421727E-04
   7085.00  7.8745266E-04
   7085.50  8.0112675E-04
   7086.00  8.1526159E-04
   7086.50  8.2988075E-04
   7087.00  8.4500941E-04
   7087.50  8.6067453E-04
   7088.00  8.7690500E-04
   7088.50  8.9373180E-04
   7089.00  9.1118824E-04
   7089.50  9.2931013E-04
   7090.00  9.4813605E-04
   7090.50  9.6770759E-04
   7091.00  9.8806971E-04
   7091.50  1.0092710E-03
   7092.00  1.0313642E-03
   7092.50  1.0544064E-03
   7093.00  1.0784598E-03
   7093.50  1.1035921E-03
   7094.00  1.1298770E-03
   7094.50  1.1573955E-03
   7095.00  1.1862358E-03
   7095.50  1.2164952E-03
   7096.00  1.2482803E-03
   7096.50  1.2817091E-03
   7097.00  1.3169117E-03
   7097.50  1.3540325E-03
   7098.00  1.3932320E-03
   7098.50  1.4346890E-03
   7099.00  1.4786035E-03
   7099.50  1.5251999E-03
   7100.00  1.5747306E-03
   7100.50  1.6274811E-03
   7101.00  1.6837747E-03
   7101.50  1.7439802E-03
   7102.00  1.8085192E-03
   7102.50  1.8778764E-03
   7103.00  1.9526121E-03
   7103.50  2.0333772E-03
   7104.00  2.1209331E-03
   7104.50  2.2161757E-03
   7105.00  2.3201676E-03
   7105.50  2.4341787E-03
   7106.00  2.5597409E-03
   7106.50  2.6987203E-03
   7107.00  2.8534164E-03
   7107.10  2.8864823E-03
   7107.20  2.9203154E-03
   7107.30  2.9549433E-03
   7107.40  2.9903948E-03
   7107.50  3.0267002E-03
   7107.60  3.0638914E-03
   7107.70  3.1020018E-03
   7107.80  3.1410667E-03
   7107.90  3.1811234E-03
   7108.00  3.2222109E-03
   7108.10  3.2643708E-03
   7108.20  3.3076467E-03
