    Energy    <xanes>    
   5949.00  1.1243636E-03
   5949.50  1.1377568E-03
   5950.00  1.1514506E-03
   5950.50  1.1654550E-03
   5951.00  1.1797808E-03
   5951.50  1.1944388E-03
   5952.00  1.2094408E-03
   5952.50  1.2247989E-03
   5953.00  1.2405256E-03
   5953.50  1.2566344E-03
   5954.00  1.2731392E-03
   5954.50  1.2900546E-03
   5955.00  1.3073960E-03
   5955.50  1.3251795E-03
   5956.00  1.3434220E-03
   5956.50  1.3621413E-03
   5957.00  1.3813563E-03
   5957.50  1.4010866E-03
   5958.00  1.4213530E-03
   5958.50  1.4421775E-03
   5959.00  1.4635832E-03
   5959.50  1.4855945E-03
   5960.00  1.5082372E-03
   5960.50  1.5315385E-03
   5961.00  1.5555273E-03
   5961.50  1.5802342E-03
   5962.00  1.6056915E-03
   5962.50  1.6319337E-03
   5963.00  1.6589971E-03
   5963.50  1.6869204E-03
   5964.00  1.7157450E-03
   5964.50  1.7455147E-03
   5965.00  1.7762761E-03
   5965.50  1.8080793E-03
   5966.00  1.8409773E-03
   5966.50  1.8750271E-03
   5967.00  1.9102896E-03
   5967.50  1.9468301E-03
   5968.00  1.9847185E-03
   5968.50  2.0240299E-03
   5969.00  2.0648453E-03
   5969.50  2.1072516E-03
   5970.00  2.1513426E-03
   5970.50  2.1972198E-03
   5971.00  2.2449927E-03
   5971.50  2.2947800E-03
   5972.00  2.3467104E-03
   5972.50  2.4009241E-03
   5973.00  2.4575733E-03
   5973.50  2.5168242E-03
   5974.00  2.5788586E-03
   5974.50  2.6438754E-03
   5975.00  2.7120929E-03
   5975.50  2.7837513E-03
   5976.00  2.8591155E-03
   5976.50  2.9384782E-03
   5977.00  3.0221639E-03
   5977.50  3.1105335E-03
   5978.00  3.2039891E-03
   5978.50  3.3029808E-03
   5979.00  3.4080134E-03
   5979.50  3.5196562E-03
   5980.00  3.6385529E-03
   5980.50  3.7654348E-03
   5981.00  3.9011370E-03
   5981.50  4.0466175E-03
   5982.00  4.2029820E-03
   5982.50  4.3715143E-03
   5983.00  4.5537154E-03
   5983.50  4.7513542E-03
   5984.00  4.9665327E-03
   5984.10  5.0118865E-03
   5984.20  5.0580636E-03
   5984.30  5.1050873E-03
   5984.40  5.1529820E-03
   5984.50  5.2017730E-03
   5984.60  5.2514866E-03
   5984.70  5.3021503E-03
   5984.80  5.3537927E-03
   5984.90  5.4064437E-03
   5985.00  5.4601343E-03
   5985.10  5.5148970E-03
   5985.20  5.5707658E-03
   5985.30  5.6277760E-03
   5985.40  5.6859648E-03
   5985.50  5.7453709E-03
   5985.60  5.8060348E-03
   5985.70  5.8679990E-03
   5985.80  5.9313079E-03
   5985.90  5.9960082E-03
   5986.00  6.0621487E-03
   5986.10  6.1297806E-03
   5986.20  6.1989577E-03
   5986.30  6.2697363E-03
   5986.40  6.3421758E-03
   5986.50  6.4163382E-03
   5986.60  6.4922888E-03
   5986.70  6.5700962E-03
   5986.80  6.6498322E-03
   5986.90  6.7315724E-03
   5987.00  6.8153959E-03
   5987.10  6.9013856E-03
   5987.20  6.9896286E-03
   5987.30  7.0802157E-03
   5987.40  7.1732418E-03
   5987.50  7.2688061E-03
   5987.60  7.3670116E-03
   5987.70  7.4679657E-03
   5987.80  7.5717794E-03
   5987.90  7.6785678E-03
   5988.00  7.7884498E-03
   5988.10  7.9015478E-03
   5988.20  8.0179877E-03
   5988.30  8.1378990E-03
   5988.40  8.2614149E-03
