    Energy    <xanes>    
   5949.00  1.1256975E-03
   5949.50  1.1393723E-03
   5950.00  1.1533595E-03
   5950.50  1.1676697E-03
   5951.00  1.1823141E-03
   5951.50  1.1973044E-03
   5952.00  1.2126529E-03
   5952.50  1.2283724E-03
   5953.00  1.2444764E-03
   5953.50  1.2609790E-03
   5954.00  1.2778950E-03
   5954.50  1.2952401E-03
   5955.00  1.3130304E-03
   5955.50  1.3312832E-03
   5956.00  1.3500167E-03
   5956.50  1.3692497E-03
   5957.00  1.3890023E-03
   5957.50  1.4092957E-03
   5958.00  1.4301521E-03
   5958.50  1.4515949E-03
   5959.00  1.4736491E-03
   5959.50  1.4963408E-03
   5960.00  1.5196977E-03
   5960.50  1.5437493E-03
   5961.00  1.5685266E-03
   5961.50  1.5940626E-03
   5962.00  1.6203923E-03
   5962.50  1.6475530E-03
   5963.00  1.6755840E-03
   5963.50  1.7045274E-03
   5964.00  1.7344281E-03
   5964.50  1.7653337E-03
   5965.00  1.7972953E-03
   5965.50  1.8303673E-03
   5966.00  1.8646080E-03
   5966.50  1.9000796E-03
   5967.00  1.9368491E-03
   5967.50  1.9749882E-03
   5968.00  2.0145740E-03
   5968.50  2.0556896E-03
   5969.00  2.0984243E-03
   5969.50  2.1428747E-03
   5970.00  2.1891451E-03
   5970.50  2.2373484E-03
   5971.00  2.2876070E-03
   5971.50  2.3400538E-03
   5972.00  2.3948335E-03
   5972.50  2.4521035E-03
   5973.00  2.5120359E-03
   5973.50  2.5748190E-03
   5974.00  2.6406591E-03
   5974.50  2.7097829E-03
   5975.00  2.7824403E-03
   5975.50  2.8589067E-03
   5976.00  2.9394874E-03
   5976.50  3.0245210E-03
   5977.00  3.1143844E-03
   5977.50  3.2094984E-03
   5978.00  3.3103342E-03
   5978.50  3.4174216E-03
   5979.00  3.5313583E-03
   5979.50  3.6528210E-03
   5980.00  3.7825799E-03
   5980.50  3.9215149E-03
   5981.00  4.0706365E-03
   5981.50  4.2311118E-03
   5982.00  4.4042966E-03
   5982.50  4.5917763E-03
   5983.00  4.7954179E-03
   5983.50  5.0174378E-03
   5984.00  5.2604905E-03
   5984.10  5.3118960E-03
   5984.20  5.3642978E-03
   5984.30  5.4177256E-03
   5984.40  5.4722109E-03
   5984.50  5.5277859E-03
   5984.60  5.5844847E-03
   5984.70  5.6423426E-03
   5984.80  5.7013965E-03
   5984.90  5.7616851E-03
   5985.00  5.8232484E-03
   5985.10  5.8861288E-03
   5985.20  5.9503702E-03
   5985.30  6.0160187E-03
   5985.40  6.0831227E-03
   5985.50  6.1517325E-03
   5985.60  6.2219014E-03
   5985.70  6.2936847E-03
   5985.80  6.3671409E-03
   5985.90  6.4423310E-03
   5986.00  6.5193195E-03
   5986.10  6.5981737E-03
   5986.20  6.6789647E-03
   5986.30  6.7617670E-03
   5986.40  6.8466592E-03
   5986.50  6.9337236E-03
   5986.60  7.0230473E-03
   5986.70  7.1147215E-03
   5986.80  7.2088423E-03
   5986.90  7.3055110E-03
   5987.00  7.4048340E-03
   5987.10  7.5069230E-03
   5987.20  7.6118957E-03
   5987.30  7.7198755E-03
   5987.40  7.8309919E-03
   5987.50  7.9453805E-03
   5987.60  8.0631836E-03
   5987.70  8.1845494E-03
   5987.80  8.3096328E-03
   5987.90  8.4385953E-03
   5988.00  8.5716045E-03
   5988.10  8.7088345E-03
   5988.20  8.8504660E-03
   5988.30  8.9966856E-03
   5988.40  9.1476867E-03
   5988.50  9.3036691E-03
   5988.60  9.4648394E-03
   5988.70  9.6314112E-03
   5988.80  9.8036060E-03
   5988.90  9.9816529E-03
   5989.00  1.0165790E-02
   5989.10  1.0356493E-02
   5989.20  1.0554260E-02
   5989.30  1.0759366E-02
   5989.40  1.0972095E-02
   5989.50  1.1192734E-02
   5989.60  1.1421570E-02
   5989.70  1.1658890E-02
   5989.80  1.1904970E-02
   5989.90  1.2160079E-02
   5990.00  1.2424467E-02
   5990.10  1.2698366E-02
   5990.20  1.2981986E-02
   5990.30  1.3275513E-02
   5990.40  1.3579111E-02
   5990.50  1.3892930E-02
   5990.60  1.4217109E-02
   5990.70  1.4551790E-02
   5990.80  1.4897134E-02
   5990.90  1.5253341E-02
   5991.00  1.5620665E-02
   5991.10  1.5999439E-02
   5991.20  1.6390090E-02
   5991.30  1.6793156E-02
   5991.40  1.7209289E-02
   5991.50  1.7639260E-02
   5991.60  1.8083944E-02
   5991.70  1.8544304E-02
   5991.80  1.9021361E-02
   5991.90  1.9516157E-02
   5992.00  2.0029713E-02
   5992.10  2.0562985E-02
   5992.20  2.1116815E-02
   5992.30  2.1691889E-02
   5992.40  2.2288698E-02
   5992.50  2.2907507E-02
   5992.60  2.3548332E-02
   5992.70  2.4210926E-02
   5992.80  2.4894785E-02
   5992.90  2.5599153E-02
   5993.00  2.6323050E-02
   5993.10  2.7065309E-02
   5993.20  2.7824617E-02
   5993.30  2.8599568E-02
   5993.40  2.9388717E-02
   5993.50  3.0190636E-02
   5993.60  3.1003964E-02
   5993.70  3.1827451E-02
   5993.80  3.2659992E-02
   5993.90  3.3500649E-02
   5994.00  3.4348660E-02
   5994.20  3.6064534E-02
   5994.40  3.7804640E-02
   5994.60  3.9567653E-02
   5994.80  4.1352886E-02
   5995.00  4.3159404E-02
   5995.20  4.4985486E-02
   5995.40  4.6828532E-02
   5995.60  4.8685371E-02
   5995.80  5.0552844E-02
   5996.00  5.2428486E-02
   5996.20  5.4311158E-02
   5996.40  5.6201526E-02
   5996.60  5.8102326E-02
   5996.80  6.0018405E-02
   5997.00  6.1956506E-02
   5997.20  6.3924782E-02
   5997.40  6.5932001E-02
   5997.60  6.7986456E-02
   5997.80  7.0094650E-02
   5998.00  7.2259882E-02
   5998.20  7.4480856E-02
   5998.40  7.6750452E-02
   5998.60  7.9054810E-02
   5998.80  8.1372896E-02
   5999.00  8.3676766E-02
   5999.20  8.5932752E-02
   5999.40  8.8103648E-02
   5999.60  9.0151800E-02
   5999.80  9.2042708E-02
   6000.00  9.3748502E-02
   6000.20  9.5250613E-02
   6000.40  9.6541063E-02
