    Energy    <xanes>    
   5949.00  8.5879215E-04
   5949.50  8.6905021E-04
   5950.00  8.7954076E-04
   5950.50  8.9027176E-04
   5951.00  9.0125150E-04
   5951.50  9.1248869E-04
   5952.00  9.2399243E-04
   5952.50  9.3577226E-04
   5953.00  9.4783818E-04
   5953.50  9.6020068E-04
   5954.00  9.7287076E-04
   5954.50  9.8585999E-04
   5955.00  9.9918049E-04
   5955.50  1.0128450E-03
   5956.00  1.0268670E-03
   5956.50  1.0412607E-03
   5957.00  1.0560407E-03
   5957.50  1.0712230E-03
   5958.00  1.0868240E-03
   5958.50  1.1028612E-03
   5959.00  1.1193530E-03
   5959.50  1.1363190E-03
   5960.00  1.1537798E-03
   5960.50  1.1717572E-03
   5961.00  1.1902744E-03
   5961.50  1.2093560E-03
   5962.00  1.2290280E-03
   5962.50  1.2493181E-03
   5963.00  1.2702557E-03
   5963.50  1.2918723E-03
   5964.00  1.3142013E-03
   5964.50  1.3372782E-03
   5965.00  1.3611412E-03
   5965.50  1.3858309E-03
   5966.00  1.4113909E-03
   5966.50  1.4378678E-03
   5967.00  1.4653117E-03
   5967.50  1.4937763E-03
   5968.00  1.5233195E-03
   5968.50  1.5540036E-03
   5969.00  1.5858958E-03
   5969.50  1.6190687E-03
   5970.00  1.6536008E-03
   5970.50  1.6895772E-03
   5971.00  1.7270903E-03
   5971.50  1.7662407E-03
   5972.00  1.8071378E-03
   5972.50  1.8499011E-03
   5973.00  1.8946614E-03
   5973.50  1.9415621E-03
   5974.00  1.9907605E-03
   5974.50  2.0424303E-03
   5975.00  2.0967628E-03
   5975.50  2.1539704E-03
   5976.00  2.2142883E-03
   5976.50  2.2779788E-03
   5977.00  2.3453351E-03
   5977.50  2.4166855E-03
   5978.00  2.4923998E-03
   5978.50  2.5728957E-03
   5979.00  2.6586471E-03
   5979.50  2.7501943E-03
   5980.00  2.8481561E-03
   5980.50  2.9532455E-03
   5981.00  3.0662889E-03
   5981.50  3.1882502E-03
   5982.00  3.3202622E-03
   5982.50  3.4636670E-03
   5983.00  3.6200689E-03
   5983.50  3.7914052E-03
   5984.00  3.9800414E-03
   5984.10  4.0200904E-03
   5984.20  4.0609725E-03
   5984.30  4.1027156E-03
   5984.40  4.1453487E-03
   5984.50  4.1889023E-03
   5984.60  4.2334083E-03
   5984.70  4.2789003E-03
   5984.80  4.3254133E-03
   5984.90  4.3729843E-03
   5985.00  4.4216521E-03
   5985.10  4.4714573E-03
   5985.20  4.5224429E-03
   5985.30  4.5746539E-03
   5985.40  4.6281378E-03
   5985.50  4.6829446E-03
   5985.60  4.7391267E-03
   5985.70  4.7967397E-03
   5985.80  4.8558418E-03
   5985.90  4.9164946E-03
   5986.00  4.9787628E-03
   5986.10  5.0427145E-03
   5986.20  5.1084216E-03
   5986.30  5.1759594E-03
   5986.40  5.2454072E-03
   5986.50  5.3168482E-03
   5986.60  5.3903693E-03
   5986.70  5.4660615E-03
   5986.80  5.5440196E-03
   5986.90  5.6243419E-03
   5987.00  5.7071303E-03
   5987.10  5.7924893E-03
   5987.20  5.8805259E-03
   5987.30  5.9713487E-03
   5987.40  6.0650665E-03
   5987.50  6.1617878E-03
   5987.60  6.2616187E-03
   5987.70  6.3646618E-03
   5987.80  6.4710137E-03
   5987.90  6.5807637E-03
   5988.00  6.6939915E-03
   5988.10  6.8107656E-03
   5988.20  6.9311420E-03
   5988.30  7.0551638E-03
   5988.40  7.1828613E-03
   5988.50  7.3142540E-03
   5988.60  7.4493537E-03
   5988.70  7.5881693E-03
   5988.80  7.7307132E-03
   5988.90  7.8770089E-03
   5989.00  8.0270993E-03
   5989.10  8.1812223E-03
   5989.20  8.3396586E-03
   5989.30  8.5025685E-03
   5989.40  8.6701598E-03
   5989.50  8.8426897E-03
   5989.60  9.0204641E-03
   5989.70  9.2038348E-03
   5989.80  9.3931947E-03
   5989.90  9.5889731E-03
   5990.00  9.7916302E-03
   5990.10  1.0001653E-02
   5990.20  1.0219553E-02
   5990.30  1.0445866E-02
   5990.40  1.0681153E-02
   5990.50  1.0926002E-02
   5990.60  1.1181036E-02
   5990.70  1.1446912E-02
   5990.80  1.1724330E-02
   5990.90  1.2014034E-02
   5991.00  1.2316807E-02
   5991.10  1.2633475E-02
   5991.20  1.2964894E-02
   5991.30  1.3311945E-02
   5991.40  1.3675515E-02
   5991.50  1.4056484E-02
   5991.60  1.4455700E-02
   5991.70  1.4873955E-02
   5991.80  1.5311958E-02
   5991.90  1.5770301E-02
   5992.00  1.6249421E-02
   5992.10  1.6749566E-02
   5992.20  1.7270746E-02
   5992.30  1.7812695E-02
   5992.40  1.8374828E-02
   5992.50  1.8956201E-02
   5992.60  1.9555479E-02
   5992.70  2.0170916E-02
   5992.80  2.0800344E-02
   5992.90  2.1441185E-02
   5993.00  2.2090482E-02
   5993.10  2.2744951E-02
   5993.20  2.3401064E-02
   5993.30  2.4055143E-02
   5993.40  2.4703477E-02
   5993.50  2.5342454E-02
   5993.60  2.5968683E-02
   5993.70  2.6579119E-02
   5993.80  2.7171172E-02
   5993.90  2.7742781E-02
   5994.00  2.8292479E-02
   5994.20  2.9323317E-02
   5994.40  3.0263914E-02
   5994.60  3.1122766E-02
   5994.80  3.1914429E-02
   5995.00  3.2657055E-02
   5995.20  3.3370187E-02
   5995.40  3.4073065E-02
   5995.60  3.4783465E-02
   5995.80  3.5516977E-02
   5996.00  3.6286581E-02
   5996.20  3.7102423E-02
   5996.40  3.7971761E-02
   5996.60  3.8899060E-02
   5996.80  3.9886249E-02
   5997.00  4.0933149E-02
   5997.20  4.2038029E-02
   5997.40  4.3198249E-02
   5997.60  4.4410871E-02
   5997.80  4.5673135E-02
