    Energy    <xanes>    
  11642.00  1.7901343E-04
  11642.50  1.8091744E-04
  11643.00  1.8286084E-04
  11643.50  1.8484489E-04
  11644.00  1.8687092E-04
  11644.50  1.8894031E-04
  11645.00  1.9105452E-04
  11645.50  1.9321505E-04
  11646.00  1.9542350E-04
  11646.50  1.9768153E-04
  11647.00  1.9999089E-04
  11647.50  2.0235340E-04
  11648.00  2.0477099E-04
  11648.50  2.0724568E-04
  11649.00  2.0977961E-04
  11649.50  2.1237499E-04
  11650.00  2.1503420E-04
  11650.50  2.1775971E-04
  11651.00  2.2055414E-04
  11651.50  2.2342028E-04
  11652.00  2.2636103E-04
  11652.50  2.2937950E-04
  11653.00  2.3247896E-04
  11653.50  2.3566290E-04
  11654.00  2.3893499E-04
  11654.50  2.4229918E-04
  11655.00  2.4575961E-04
  11655.50  2.4932074E-04
  11656.00  2.5298731E-04
  11656.50  2.5676437E-04
  11657.00  2.6065734E-04
  11657.50  2.6467201E-04
  11658.00  2.6881459E-04
  11658.50  2.7309176E-04
  11659.00  2.7751072E-04
  11659.50  2.8207919E-04
  11660.00  2.8680555E-04
  11660.50  2.9169885E-04
  11661.00  2.9676890E-04
  11661.50  3.0202636E-04
  11662.00  3.0748284E-04
  11662.50  3.1315101E-04
  11663.00  3.1904475E-04
  11663.50  3.2517927E-04
  11664.00  3.3157130E-04
  11664.50  3.3823934E-04
  11665.00  3.4520381E-04
  11665.50  3.5248743E-04
  11666.00  3.6011551E-04
  11666.50  3.6811634E-04
  11667.00  3.7652171E-04
  11667.50  3.8536745E-04
  11668.00  3.9469414E-04
  11668.50  4.0454793E-04
  11669.00  4.1498161E-04
  11669.50  4.2605583E-04
  11670.00  4.3784069E-04
  11670.50  4.5041764E-04
  11671.00  4.6388197E-04
  11671.50  4.7834584E-04
  11672.00  4.9394219E-04
  11672.50  5.1082973E-04
  11673.00  5.2919937E-04
  11673.50  5.4928255E-04
  11674.00  5.7136215E-04
  11674.50  5.9578677E-04
  11675.00  6.2298957E-04
  11675.50  6.5351309E-04
  11676.00  6.8804189E-04
  11676.50  7.2744499E-04
  11677.00  7.7282956E-04
  11677.10  7.8274221E-04
  11677.20  7.9296225E-04
  11677.30  8.0350325E-04
  11677.40  8.1437939E-04
  11677.50  8.2560554E-04
  11677.60  8.3719722E-04
  11677.70  8.4917066E-04
  11677.80  8.6154278E-04
  11677.90  8.7433123E-04
  11678.00  8.8755435E-04
  11678.10  9.0123118E-04
  11678.20  9.1538144E-04
  11678.30  9.3002553E-04
  11678.40  9.4518444E-04
  11678.50  9.6087972E-04
  11678.60  9.7713341E-04
  11678.70  9.9396793E-04
  11678.80  1.0114059E-03
  11678.90  1.0294702E-03
  11679.00  1.0481834E-03
  11679.10  1.0675680E-03
  11679.20  1.0876455E-03
  11679.30  1.1084369E-03
  11679.40  1.1299617E-03
  11679.50  1.1522374E-03
  11679.60  1.1752796E-03
  11679.70  1.1991005E-03
  11679.80  1.2237091E-03
  11679.90  1.2491097E-03
  11680.00  1.2753014E-03
  11680.10  1.3022773E-03
  11680.20  1.3300228E-03
  11680.30  1.3585154E-03
  11680.40  1.3877226E-03
  11680.50  1.4176017E-03
  11680.60  1.4480976E-03
  11680.70  1.4791425E-03
  11680.80  1.5106545E-03
  11680.90  1.5425366E-03
  11681.00  1.5746763E-03
  11681.10  1.6069452E-03
  11681.20  1.6391990E-03
  11681.30  1.6712782E-03
  11681.40  1.7030086E-03
  11681.50  1.7342038E-03
  11681.60  1.7646667E-03
  11681.70  1.7941928E-03
  11681.80  1.8225737E-03
  11681.90  1.8496011E-03
  11682.00  1.8750712E-03
  11682.10  1.8987856E-03
  11682.20  1.9205579E-03
  11682.30  1.9402245E-03
  11682.40  1.9576472E-03
  11682.50  1.9727168E-03
  11682.60  1.9853569E-03
  11682.70  1.9955263E-03
  11682.80  2.0032204E-03
  11682.90  2.0084712E-03
  11683.00  2.0113470E-03
  11683.10  2.0119495E-03
  11683.20  2.0104116E-03
  11683.30  2.0068930E-03
  11683.40  2.0015762E-03
  11683.50  1.9946611E-03
  11683.60  1.9863605E-03
  11683.70  1.9768946E-03
  11683.80  1.9664865E-03
  11683.90  1.9553576E-03
  11684.00  1.9437239E-03
  11684.10  1.9317924E-03
  11684.20  1.9197588E-03
  11684.30  1.9078052E-03
  11684.40  1.8960988E-03
  11684.50  1.8847910E-03
  11684.60  1.8740170E-03
  11684.70  1.8638962E-03
  11684.80  1.8545322E-03
  11684.90  1.8460136E-03
  11685.00  1.8384149E-03
  11685.10  1.8317978E-03
  11685.20  1.8262114E-03
  11685.30  1.8216943E-03
  11685.40  1.8182748E-03
  11685.50  1.8159725E-03
  11685.60  1.8147989E-03
  11685.70  1.8147585E-03
  11685.80  1.8158493E-03
  11685.90  1.8180640E-03
  11686.00  1.8213904E-03
  11686.10  1.8258119E-03
  11686.20  1.8313084E-03
  11686.30  1.8378565E-03
  11686.40  1.8454300E-03
  11686.50  1.8540008E-03
  11686.60  1.8635386E-03
  11686.70  1.8740120E-03
  11686.80  1.8853886E-03
  11686.90  1.8976355E-03
  11687.00  1.9107196E-03
  11687.20  1.9392692E-03
  11687.40  1.9707861E-03
  11687.60  2.0050411E-03
