    Energy    <xanes>    
   5949.00  1.5879713E-03
   5949.50  1.6056185E-03
   5950.00  1.6241744E-03
   5950.50  1.6431347E-03
   5951.00  1.6625129E-03
   5951.50  1.6823228E-03
   5952.00  1.7025788E-03
   5952.50  1.7232962E-03
   5953.00  1.7444908E-03
   5953.50  1.7661792E-03
   5954.00  1.7883788E-03
   5954.50  1.8111077E-03
   5955.00  1.8343850E-03
   5955.50  1.8582308E-03
   5956.00  1.8826659E-03
   5956.50  1.9077124E-03
   5957.00  1.9333934E-03
   5957.50  1.9597333E-03
   5958.00  1.9867576E-03
   5958.50  2.0144932E-03
   5959.00  2.0429685E-03
   5959.50  2.0722134E-03
   5960.00  2.1022592E-03
   5960.50  2.1331394E-03
   5961.00  2.1648890E-03
   5961.50  2.1975451E-03
   5962.00  2.2311469E-03
   5962.50  2.2657361E-03
   5963.00  2.3013567E-03
   5963.50  2.3380554E-03
   5964.00  2.3758818E-03
   5964.50  2.4148885E-03
   5965.00  2.4551315E-03
   5965.50  2.4966705E-03
   5966.00  2.5395690E-03
   5966.50  2.5838947E-03
   5967.00  2.6297200E-03
   5967.50  2.6771222E-03
   5968.00  2.7261840E-03
   5968.50  2.7769942E-03
   5969.00  2.8296480E-03
   5969.50  2.8842474E-03
   5970.00  2.9409025E-03
   5970.50  2.9997316E-03
   5971.00  3.0608626E-03
   5971.50  3.1244334E-03
   5972.00  3.1905935E-03
   5972.50  3.2595046E-03
   5973.00  3.3313426E-03
   5973.50  3.4062988E-03
   5974.00  3.4845813E-03
   5974.50  3.5664179E-03
   5975.00  3.6520576E-03
   5975.50  3.7417734E-03
   5976.00  3.8358655E-03
   5976.50  3.9346648E-03
   5977.00  4.0385368E-03
   5977.50  4.1478866E-03
   5978.00  4.2631641E-03
   5978.50  4.3848710E-03
   5979.00  4.5135684E-03
   5979.50  4.6498860E-03
   5980.00  4.7945336E-03
   5980.50  4.9483142E-03
   5981.00  5.1121405E-03
   5981.50  5.2870555E-03
   5982.00  5.4742564E-03
   5982.50  5.6751269E-03
