    Energy    <xanes>    
   5949.00  1.1573618E-03
   5949.50  1.1713385E-03
   5950.00  1.1856333E-03
   5950.50  1.2002572E-03
   5951.00  1.2152216E-03
   5951.50  1.2305383E-03
   5952.00  1.2462198E-03
   5952.50  1.2622792E-03
   5953.00  1.2787301E-03
   5953.50  1.2955869E-03
   5954.00  1.3128646E-03
   5954.50  1.3305790E-03
   5955.00  1.3487466E-03
   5955.50  1.3673850E-03
   5956.00  1.3865124E-03
   5956.50  1.4061482E-03
   5957.00  1.4263126E-03
   5957.50  1.4470270E-03
   5958.00  1.4683140E-03
   5958.50  1.4901974E-03
   5959.00  1.5127023E-03
   5959.50  1.5358554E-03
   5960.00  1.5596846E-03
   5960.50  1.5842197E-03
   5961.00  1.6094922E-03
   5961.50  1.6355354E-03
   5962.00  1.6623848E-03
   5962.50  1.6900778E-03
   5963.00  1.7186545E-03
   5963.50  1.7481573E-03
   5964.00  1.7786314E-03
   5964.50  1.8101251E-03
   5965.00  1.8426898E-03
   5965.50  1.8763803E-03
   5966.00  1.9112554E-03
   5966.50  1.9473779E-03
   5967.00  1.9848152E-03
   5967.50  2.0236394E-03
   5968.00  2.0639283E-03
   5968.50  2.1057651E-03
   5969.00  2.1492399E-03
   5969.50  2.1944495E-03
   5970.00  2.2414985E-03
   5970.50  2.2905002E-03
   5971.00  2.3415773E-03
   5971.50  2.3948627E-03
   5972.00  2.4505012E-03
   5972.50  2.5086502E-03
   5973.00  2.5694814E-03
   5973.50  2.6331825E-03
   5974.00  2.6999593E-03
   5974.50  2.7700371E-03
   5975.00  2.8436642E-03
   5975.50  2.9211142E-03
   5976.00  3.0026893E-03
   5976.50  3.0887245E-03
   5977.00  3.1795919E-03
   5977.50  3.2757064E-03
   5978.00  3.3775315E-03
   5978.50  3.4855871E-03
   5979.00  3.6004582E-03
   5979.50  3.7228057E-03
   5980.00  3.8533792E-03
   5980.50  3.9930324E-03
   5981.00  4.1427425E-03
   5981.50  4.3036332E-03
   5982.00  4.4770042E-03
   5982.50  4.6643679E-03
   5983.00  4.8674955E-03
   5983.50  5.0884765E-03
   5984.00  5.3297960E-03
   5984.10  5.3807528E-03
   5984.20  5.4326670E-03
   5984.30  5.4855663E-03
   5984.40  5.5394793E-03
   5984.50  5.5944359E-03
   5984.60  5.6504673E-03
   5984.70  5.7076058E-03
   5984.80  5.7658853E-03
   5984.90  5.8253408E-03
   5985.00  5.8860090E-03
   5985.10  5.9479282E-03
   5985.20  6.0111383E-03
   5985.30  6.0756809E-03
   5985.40  6.1415995E-03
   5985.50  6.2089396E-03
   5985.60  6.2777487E-03
   5985.70  6.3480765E-03
   5985.80  6.4199750E-03
   5985.90  6.4934986E-03
   5986.00  6.5687042E-03
   5986.10  6.6456513E-03
   5986.20  6.7244024E-03
   5986.30  6.8050228E-03
   5986.40  6.8875810E-03
   5986.50  6.9721487E-03
   5986.60  7.0588007E-03
   5986.70  7.1476157E-03
   5986.80  7.2386756E-03
   5986.90  7.3320664E-03
   5987.00  7.4278777E-03
   5987.10  7.5262028E-03
   5987.20  7.6271390E-03
   5987.30  7.7307877E-03
   5987.40  7.8372539E-03
   5987.50  7.9466463E-03
   5987.60  8.0590773E-03
   5987.70  8.1746628E-03
   5987.80  8.2935220E-03
   5987.90  8.4157772E-03
   5988.00  8.5415539E-03
   5988.10  8.6709804E-03
   5988.20  8.8041885E-03
   5988.30  8.9413132E-03
   5988.40  9.0824941E-03
   5988.50  9.2278759E-03
   5988.60  9.3776099E-03
   5988.70  9.5318558E-03
   5988.80  9.6907835E-03
   5988.90  9.8545755E-03
   5989.00  1.0023429E-02
   5989.10  1.0197792E-02
   5989.20  1.0378144E-02
   5989.30  1.0564755E-02
   5989.40  1.0757917E-02
   5989.50  1.0957940E-02
   5989.60  1.1165159E-02
   5989.70  1.1379928E-02
   5989.80  1.1602620E-02
