    Energy    <xanes>    
   5949.00  2.3065105E-03
   5949.50  2.3340890E-03
   5950.00  2.3622939E-03
   5950.50  2.3911465E-03
   5951.00  2.4206695E-03
   5951.50  2.4508862E-03
   5952.00  2.4818213E-03
   5952.50  2.5135005E-03
   5953.00  2.5459509E-03
   5953.50  2.5792008E-03
   5954.00  2.6132799E-03
   5954.50  2.6482195E-03
   5955.00  2.6840524E-03
   5955.50  2.7208130E-03
   5956.00  2.7585377E-03
   5956.50  2.7972647E-03
   5957.00  2.8370342E-03
   5957.50  2.8778886E-03
   5958.00  2.9198728E-03
   5958.50  2.9630339E-03
   5959.00  3.0074219E-03
   5959.50  3.0530895E-03
   5960.00  3.1000925E-03
   5960.50  3.1484901E-03
   5961.00  3.1983448E-03
   5961.50  3.2497232E-03
   5962.00  3.3026957E-03
   5962.50  3.3573374E-03
   5963.00  3.4137278E-03
   5963.50  3.4719518E-03
   5964.00  3.5320999E-03
   5964.50  3.5942685E-03
   5965.00  3.6585606E-03
   5965.50  3.7250862E-03
   5966.00  3.7939632E-03
   5966.50  3.8653177E-03
   5967.00  3.9392853E-03
   5967.50  4.0160114E-03
   5968.00  4.0956523E-03
   5968.50  4.1783766E-03
   5969.00  4.2643660E-03
   5969.50  4.3538168E-03
   5970.00  4.4469412E-03
   5970.50  4.5439693E-03
   5971.00  4.6451508E-03
   5971.50  4.7507571E-03
   5972.00  4.8610838E-03
   5972.50  4.9764536E-03
   5973.00  5.0972192E-03
   5973.50  5.2237673E-03
   5974.00  5.3565223E-03
   5974.50  5.4959517E-03
   5975.00  5.6425711E-03
   5975.50  5.7969512E-03
   5976.00  5.9597253E-03
   5976.50  6.1315978E-03
   5977.00  6.3133553E-03
   5977.50  6.5058791E-03
   5978.00  6.7101595E-03
   5978.50  6.9273147E-03
   5979.00  7.1586118E-03
   5979.50  7.4054937E-03
   5980.00  7.6696115E-03
   5980.50  7.9528652E-03
   5981.00  8.2574542E-03
   5981.50  8.5859416E-03
   5982.00  8.9413369E-03
   5982.50  9.3272028E-03
   5983.00  9.7477963E-03
   5983.50  1.0208258E-02
   5984.00  1.0714868E-02
   5984.10  1.0822381E-02
   5984.20  1.0932115E-02
   5984.30  1.1044143E-02
   5984.40  1.1158545E-02
   5984.50  1.1275400E-02
   5984.60  1.1394793E-02
   5984.70  1.1516815E-02
   5984.80  1.1641558E-02
   5984.90  1.1769121E-02
   5985.00  1.1899608E-02
   5985.10  1.2033128E-02
   5985.20  1.2169794E-02
   5985.30  1.2309729E-02
   5985.40  1.2453058E-02
   5985.50  1.2599915E-02
   5985.60  1.2750441E-02
   5985.70  1.2904785E-02
   5985.80  1.3063102E-02
   5985.90  1.3225559E-02
   5986.00  1.3392328E-02
   5986.10  1.3563592E-02
   5986.20  1.3739543E-02
   5986.30  1.3920384E-02
   5986.40  1.4106326E-02
   5986.50  1.4297593E-02
   5986.60  1.4494415E-02
   5986.70  1.4697036E-02
   5986.80  1.4905708E-02
   5986.90  1.5120689E-02
   5987.00  1.5342249E-02
   5987.10  1.5570661E-02
   5987.20  1.5806202E-02
   5987.30  1.6049150E-02
   5987.40  1.6299782E-02
   5987.50  1.6558364E-02
   5987.60  1.6825154E-02
   5987.70  1.7100390E-02
   5987.80  1.7384286E-02
   5987.90  1.7677022E-02
   5988.00  1.7978741E-02
   5988.10  1.8289540E-02
   5988.20  1.8609463E-02
   5988.30  1.8938503E-02
   5988.40  1.9276593E-02
   5988.50  1.9623620E-02
   5988.60  1.9979424E-02
   5988.70  2.0343823E-02
   5988.80  2.0716624E-02
   5988.90  2.1097658E-02
   5989.00  2.1486801E-02
   5989.10  2.1884451E-02
   5989.20  2.2291133E-02
   5989.30  2.2707080E-02
   5989.40  2.3132689E-02
   5989.50  2.3568527E-02
   5989.60  2.4015333E-02
   5989.70  2.4474014E-02
   5989.80  2.4945625E-02
   5989.90  2.5431353E-02
   5990.00  2.5932489E-02
   5990.10  2.6450408E-02
   5990.20  2.6986540E-02
   5990.30  2.7542358E-02
   5990.40  2.8119352E-02
   5990.50  2.8719015E-02
   5990.60  2.9342831E-02
   5990.70  2.9992257E-02
   5990.80  3.0668713E-02
   5990.90  3.1373567E-02
   5991.00  3.2108119E-02
   5991.10  3.2873594E-02
   5991.20  3.3671119E-02
   5991.30  3.4501716E-02
   5991.40  3.5366282E-02
   5991.50  3.6265579E-02
   5991.60  3.7200218E-02
   5991.70  3.8170643E-02
   5991.80  3.9177125E-02
   5991.90  4.0219744E-02
   5992.00  4.1298381E-02
   5992.10  4.2412715E-02
   5992.20  4.3562216E-02
   5992.30  4.4746147E-02
   5992.40  4.5963570E-02
   5992.50  4.7213363E-02
   5992.60  4.8494234E-02
   5992.70  4.9804759E-02
   5992.80  5.1143415E-02
   5992.90  5.2508630E-02
   5993.00  5.3898841E-02
   5993.10  5.5312553E-02
   5993.20  5.6748408E-02
   5993.30  5.8205251E-02
   5993.40  5.9682190E-02
   5993.50  6.1178648E-02
   5993.60  6.2694399E-02
   5993.70  6.4229588E-02
   5993.80  6.5784728E-02
   5993.90  6.7360675E-02
   5994.00  6.8958586E-02
   5994.20  7.2226046E-02
   5994.40  7.5599711E-02
   5994.60  7.9092030E-02
   5994.80  8.2712626E-02
   5995.00  8.6466143E-02
   5995.20  9.0350935E-02
   5995.40  9.4358872E-02
   5995.60  9.8476331E-02
   5995.80  1.0268626E-01
   5996.00  1.0697092E-01
   5996.20  1.1131458E-01
   5996.40  1.1570543E-01
   5996.60  1.2013601E-01
   5996.80  1.2460195E-01
   5997.00  1.2909919E-01
   5997.20  1.3362059E-01
   5997.40  1.3815273E-01
   5997.60  1.4267402E-01
   5997.80  1.4715457E-01
   5998.00  1.5155811E-01
   5998.20  1.5584543E-01
   5998.40  1.5997860E-01
   5998.60  1.6392502E-01
   5998.80  1.6766034E-01
   5999.00  1.7116970E-01
   5999.20  1.7444729E-01
   5999.40  1.7749422E-01
   5999.60  1.8031535E-01
   5999.80  1.8291563E-01
   6000.00  1.8529666E-01
   6000.20  1.8745406E-01
   6000.40  1.8937620E-01
   6000.60  1.9104462E-01
   6000.80  1.9243617E-01
   6001.00  1.9352645E-01
   6001.20  1.9429399E-01
   6001.40  1.9472421E-01
   6001.60  1.9481256E-01
   6001.80  1.9456620E-01
   6002.00  1.9400409E-01
   6002.20  1.9315572E-01
   6002.40  1.9205879E-01
   6002.60  1.9075629E-01
   6002.80  1.8929354E-01
   6003.00  1.8771536E-01
   6003.20  1.8606376E-01
   6003.40  1.8437625E-01
   6003.60  1.8268471E-01
   6003.80  1.8101499E-01
   6004.00  1.7938703E-01
   6004.20  1.7781530E-01
   6004.40  1.7630965E-01
   6004.60  1.7487617E-01
   6004.80  1.7351807E-01
   6005.00  1.7223652E-01
   6005.20  1.7103124E-01
   6005.40  1.6990106E-01
   6005.60  1.6884417E-01
   6005.80  1.6785838E-01
   6006.00  1.6694120E-01
   6006.20  1.6608992E-01
   6006.40  1.6530165E-01
   6006.60  1.6457331E-01
   6006.80  1.6390169E-01
   6007.00  1.6328348E-01
   6007.20  1.6271529E-01
   6007.40  1.6219374E-01
   6007.60  1.6171543E-01
   6007.80  1.6127699E-01
   6008.00  1.6087512E-01
   6008.20  1.6050655E-01
   6008.40  1.6016804E-01
   6008.60  1.5985641E-01
   6008.80  1.5956854E-01
   6009.00  1.5930137E-01
   6010.00  1.5817761E-01
   6011.00  1.5721612E-01
   6012.00  1.5633136E-01
   6013.00  1.5564164E-01
   6014.00  1.5534329E-01
   6015.00  1.5557538E-01
   6016.00  1.5635620E-01
   6017.00  1.5758721E-01
   6018.00  1.5908808E-01
   6019.00  1.6064151E-01
   6020.00  1.6204007E-01
   6021.00  1.6312495E-01
   6022.00  1.6380698E-01
   6023.00  1.6407081E-01
   6024.00  1.6396896E-01
   6025.00  1.6360910E-01
   6026.00  1.6313507E-01
   6027.00  1.6270369E-01
   6028.00  1.6246118E-01
   6029.00  1.6252254E-01
   6030.00  1.6295654E-01
   6031.00  1.6377806E-01
   6032.00  1.6494893E-01
   6033.00  1.6638701E-01
   6034.00  1.6798167E-01
   6035.00  1.6961266E-01
   6036.00  1.7116803E-01
   6037.00  1.7255721E-01
   6038.00  1.7371672E-01
   6039.00  1.7460868E-01
   6040.00  1.7521472E-01
   6041.00  1.7552864E-01
   6042.00  1.7555108E-01
   6043.00  1.7528797E-01
   6044.00  1.7475219E-01
   6045.00  1.7396669E-01
   6046.00  1.7296602E-01
   6047.00  1.7179494E-01
   6048.00  1.7050409E-01
   6049.00  1.6914485E-01
   6050.00  1.6776519E-01
   6051.00  1.6640781E-01
   6052.00  1.6510991E-01
   6053.00  1.6390393E-01
   6054.00  1.6281805E-01
   6055.00  1.6187621E-01
   6056.00  1.6109769E-01
   6057.00  1.6049663E-01
   6058.00  1.6008203E-01
   6059.00  1.5985802E-01
   6060.00  1.5982444E-01
   6061.00  1.5997717E-01
   6062.00  1.6030780E-01
   6063.00  1.6080279E-01
   6064.00  1.6144223E-01
   6065.00  1.6219942E-01
   6066.00  1.6304190E-01
   6067.00  1.6393456E-01
   6068.00  1.6484410E-01
   6069.00  1.6574396E-01
   6070.00  1.6661781E-01
   6071.00  1.6746102E-01
   6072.00  1.6827944E-01
   6073.00  1.6908626E-01
   6074.00  1.6989757E-01
   6075.00  1.7072769E-01
   6076.00  1.7158512E-01
   6077.00  1.7246952E-01
   6078.00  1.7337037E-01
   6079.00  1.7426744E-01
   6080.00  1.7513296E-01
   6081.00  1.7593526E-01
   6082.00  1.7664335E-01
   6083.00  1.7723162E-01
   6084.00  1.7768391E-01
   6085.00  1.7799606E-01
   6086.00  1.7817633E-01
   6087.00  1.7824351E-01
   6088.00  1.7822319E-01
   6089.00  1.7814320E-01
