    Energy    <xanes>    
   5949.00  1.0940109E-03
   5949.50  1.1074997E-03
   5950.00  1.1212973E-03
   5950.50  1.1354144E-03
   5951.00  1.1498618E-03
   5951.50  1.1646513E-03
   5952.00  1.1797948E-03
   5952.50  1.1953051E-03
   5953.00  1.2111954E-03
   5953.50  1.2274796E-03
   5954.00  1.2441724E-03
   5954.50  1.2612890E-03
   5955.00  1.2788456E-03
   5955.50  1.2968590E-03
   5956.00  1.3153471E-03
   5956.50  1.3343285E-03
   5957.00  1.3538230E-03
   5957.50  1.3738513E-03
   5958.00  1.3944354E-03
   5958.50  1.4155982E-03
   5959.00  1.4373642E-03
   5959.50  1.4597591E-03
   5960.00  1.4828102E-03
   5960.50  1.5065463E-03
   5961.00  1.5309979E-03
   5961.50  1.5561973E-03
   5962.00  1.5821788E-03
   5962.50  1.6089789E-03
   5963.00  1.6366363E-03
   5963.50  1.6651920E-03
   5964.00  1.6946900E-03
   5964.50  1.7251769E-03
   5965.00  1.7567026E-03
   5965.50  1.7893201E-03
   5966.00  1.8230864E-03
   5966.50  1.8580622E-03
   5967.00  1.8943129E-03
   5967.50  1.9319082E-03
   5968.00  1.9709232E-03
   5968.50  2.0114387E-03
   5969.00  2.0535417E-03
   5969.50  2.0973258E-03
   5970.00  2.1428922E-03
   5970.50  2.1903506E-03
   5971.00  2.2398193E-03
   5971.50  2.2914271E-03
   5972.00  2.3453137E-03
   5972.50  2.4016313E-03
   5973.00  2.4605460E-03
   5973.50  2.5222390E-03
   5974.00  2.5869091E-03
   5974.50  2.6547743E-03
   5975.00  2.7260744E-03
   5975.50  2.8010740E-03
   5976.00  2.8800653E-03
   5976.50  2.9633725E-03
   5977.00  3.0513560E-03
   5977.50  3.1444177E-03
   5978.00  3.2430074E-03
   5978.50  3.3476303E-03
   5979.00  3.4588560E-03
   5979.50  3.5773295E-03
   5980.00  3.7037848E-03
   5980.50  3.8390613E-03
   5981.00  3.9841242E-03
   5981.50  4.1400912E-03
   5982.00  4.3082652E-03
   5982.50  4.4901775E-03
   5983.00  4.6876448E-03
   5983.50  4.9028442E-03
   5984.00  5.1384166E-03
   5984.10  5.1882488E-03
   5984.20  5.2390526E-03
   5984.30  5.2908586E-03
   5984.40  5.3436991E-03
   5984.50  5.3976075E-03
   5984.60  5.4526193E-03
   5984.70  5.5087712E-03
   5984.80  5.5661019E-03
   5984.90  5.6246522E-03
   5985.00  5.6844646E-03
   5985.10  5.7455840E-03
   5985.20  5.8080575E-03
   5985.30  5.8719346E-03
   5985.40  5.9372674E-03
   5985.50  6.0041108E-03
   5985.60  6.0725223E-03
   5985.70  6.1425630E-03
   5985.80  6.2142965E-03
   5985.90  6.2877905E-03
   5986.00  6.3631155E-03
   5986.10  6.4403464E-03
   5986.20  6.5195613E-03
   5986.30  6.6008426E-03
   5986.40  6.6842765E-03
   5986.50  6.7699533E-03
   5986.60  6.8579672E-03
   5986.70  6.9484163E-03
   5986.80  7.0414024E-03
   5986.90  7.1370304E-03
   5987.00  7.2354078E-03
   5987.10  7.3366443E-03
   5987.20  7.4408502E-03
   5987.30  7.5481356E-03
   5987.40  7.6586084E-03
   5987.50  7.7723724E-03
   5987.60  7.8895246E-03
   5987.70  8.0101523E-03
   5987.80  8.1343301E-03
   5987.90  8.2621154E-03
   5988.00  8.3935450E-03
   5988.10  8.5286309E-03
   5988.20  8.6673561E-03
   5988.30  8.8096717E-03
   5988.40  8.9554944E-03
   5988.50  9.1047060E-03
   5988.60  9.2571543E-03
   5988.70  9.4126577E-03
   5988.80  9.5710113E-03
   5988.90  9.7319968E-03
   5989.00  9.8953953E-03
   5989.10  1.0061207E-02
   5989.20  1.0229469E-02
   5989.30  1.0400066E-02
   5989.40  1.0572945E-02
   5989.50  1.0748133E-02
   5989.60  1.0925742E-02
   5989.70  1.1105980E-02
   5989.80  1.1289150E-02
   5989.90  1.1475644E-02
   5990.00  1.1665941E-02
   5990.10  1.1860592E-02
   5990.20  1.2060209E-02
   5990.30  1.2265458E-02
   5990.40  1.2477036E-02
   5990.50  1.2695670E-02
   5990.60  1.2922103E-02
   5990.70  1.3157087E-02
   5990.80  1.3401380E-02
   5990.90  1.3655742E-02
   5991.00  1.3920936E-02
   5991.10  1.4197724E-02
   5991.20  1.4486871E-02
   5991.30  1.4789145E-02
   5991.40  1.5105320E-02
   5991.50  1.5436172E-02
   5991.60  1.5782484E-02
   5991.70  1.6145038E-02
   5991.80  1.6524619E-02
   5991.90  1.6922003E-02
   5992.00  1.7337957E-02
   5992.10  1.7773226E-02
   5992.20  1.8228523E-02
   5992.30  1.8704513E-02
   5992.40  1.9201803E-02
   5992.50  1.9720915E-02
   5992.60  2.0262270E-02
   5992.70  2.0826166E-02
   5992.80  2.1412751E-02
   5992.90  2.2021999E-02
   5993.00  2.2653691E-02
   5993.10  2.3307394E-02
   5993.20  2.3982444E-02
   5993.30  2.4677942E-02
   5993.40  2.5392754E-02
   5993.50  2.6125524E-02
   5993.60  2.6874694E-02
   5993.70  2.7638543E-02
