    Energy    <xanes>    
   6499.00  1.1075967E-03
   6499.50  1.1180213E-03
   6500.00  1.1315463E-03
   6500.50  1.1453827E-03
   6501.00  1.1595414E-03
   6501.50  1.1740337E-03
   6502.00  1.1888715E-03
   6502.50  1.2040670E-03
   6503.00  1.2196334E-03
   6503.50  1.2355843E-03
   6504.00  1.2519340E-03
   6504.50  1.2686974E-03
   6505.00  1.2858905E-03
   6505.50  1.3035297E-03
   6506.00  1.3216326E-03
   6506.50  1.3402176E-03
   6507.00  1.3593038E-03
   6507.50  1.3789119E-03
   6508.00  1.3990633E-03
   6508.50  1.4197806E-03
   6509.00  1.4410880E-03
   6509.50  1.4630107E-03
   6510.00  1.4855755E-03
   6510.50  1.5088108E-03
   6511.00  1.5327468E-03
   6511.50  1.5574153E-03
   6512.00  1.5828501E-03
   6512.50  1.6090873E-03
   6513.00  1.6361650E-03
   6513.50  1.6641240E-03
   6514.00  1.6930075E-03
   6514.50  1.7228619E-03
   6515.00  1.7537365E-03
   6515.50  1.7856839E-03
   6516.00  1.8187607E-03
   6516.50  1.8530273E-03
   6517.00  1.8885484E-03
   6517.50  1.9253936E-03
   6518.00  1.9636378E-03
   6518.50  2.0033615E-03
   6519.00  2.0446515E-03
   6519.50  2.0876017E-03
   6520.00  2.1323133E-03
   6520.50  2.1788963E-03
   6521.00  2.2274698E-03
   6521.50  2.2781633E-03
   6522.00  2.3311179E-03
   6522.50  2.3864875E-03
   6523.00  2.4444403E-03
   6523.50  2.5051606E-03
   6524.00  2.5688511E-03
   6524.50  2.6357346E-03
   6525.00  2.7060572E-03
   6525.50  2.7800914E-03
   6526.00  2.8581398E-03
   6526.50  2.9405394E-03
   6527.00  3.0276670E-03
   6527.50  3.1199453E-03
   6528.00  3.2178510E-03
   6528.50  3.3219235E-03
   6529.00  3.4327766E-03
   6529.50  3.5511129E-03
   6530.00  3.6777412E-03
   6530.50  3.8136001E-03
   6531.00  3.9597869E-03
   6531.50  4.1175975E-03
   6532.00  4.2885786E-03
   6532.50  4.4746008E-03
   6533.00  4.6779619E-03
   6533.50  4.9015378E-03
   6534.00  5.1490110E-03
   6534.10  5.2014871E-03
   6534.20  5.2543101E-03
   6534.30  5.3103865E-03
   6534.40  5.3672425E-03
   6534.50  5.4252328E-03
   6534.60  5.4841014E-03
   6534.70  5.5434035E-03
   6534.71  5.5506938E-03
   6534.81  5.6128120E-03
   6534.91  5.6762638E-03
   6534.94  5.6933678E-03
   6535.04  5.7594423E-03
   6535.14  5.8273180E-03
   6535.24  5.8970899E-03
   6535.34  5.9688614E-03
   6535.44  6.0427453E-03
   6535.54  6.1188646E-03
   6535.64  6.1973544E-03
   6535.74  6.2783632E-03
   6535.84  6.3620548E-03
   6535.94  6.4486106E-03
   6536.04  6.5382321E-03
   6536.14  6.6311439E-03
   6536.24  6.7275975E-03
   6536.34  6.8278757E-03
   6536.44  6.9322977E-03
   6536.54  7.0412258E-03
   6536.64  7.1550729E-03
   6536.74  7.2743119E-03
   6536.84  7.3994879E-03
   6536.94  7.5312325E-03
   6537.04  7.6702816E-03
   6537.14  7.8174987E-03
   6537.24  7.9739034E-03
   6537.34  8.1407075E-03
   6537.44  8.3193625E-03
   6537.54  8.5116183E-03
   6537.64  8.7196004E-03
   6537.74  8.9459076E-03
   6537.84  9.1937359E-03
   6537.94  9.4670321E-03
   6538.04  9.7706751E-03
   6538.14  1.0110669E-02
   6538.24  1.0494303E-02
   6538.34  1.0930154E-02
   6538.44  1.1427727E-02
   6538.54  1.1996364E-02
   6538.64  1.2643133E-02
   6538.74  1.3370096E-02
   6538.84  1.4173042E-02
   6538.94  1.5045208E-02
   6539.04  1.5986678E-02
   6539.14  1.7012235E-02
   6539.24  1.8146801E-02
   6539.34  1.9405551E-02
   6539.44  2.0768179E-02
   6539.54  2.2163433E-02
   6539.64  2.3478595E-02
   6539.74  2.4595424E-02
   6539.84  2.5430872E-02
   6539.94  2.5954937E-02
   6540.04  2.6184238E-02
   6540.14  2.6171417E-02
   6540.24  2.5995934E-02
   6540.34  2.5746230E-02
   6540.44  2.5496519E-02
   6540.54  2.5291046E-02
   6540.64  2.5140353E-02
   6540.74  2.5025981E-02
   6540.84  2.4911030E-02
   6540.94  2.4755579E-02
   6541.04  2.4533588E-02
   6541.14  2.4244328E-02
   6541.24  2.3911650E-02
   6541.34  2.3571285E-02
   6541.44  2.3255214E-02
   6541.54  2.2983944E-02
   6541.64  2.2769545E-02
   6541.74  2.2623004E-02
   6541.84  2.2557882E-02
   6541.94  2.2588292E-02
   6542.04  2.2725059E-02
   6542.14  2.2974030E-02
   6542.24  2.3337017E-02
   6542.34  2.3813865E-02
   6542.44  2.4404344E-02
   6542.54  2.5109411E-02
   6542.64  2.5931926E-02
   6542.74  2.6877021E-02
   6542.84  2.7952281E-02
   6542.94  2.9167843E-02
   6543.04  3.0536430E-02
   6543.14  3.2073340E-02
   6543.24  3.3796353E-02
   6543.34  3.5725539E-02
   6543.44  3.7882966E-02
   6543.54  4.0292286E-02
   6543.64  4.2978202E-02
   6543.74  4.5965623E-02
   6543.84  4.9278187E-02
   6543.94  5.2935676E-02
   6544.04  5.6968470E-02
   6544.14  6.1349913E-02
   6544.24  6.6027470E-02
   6544.34  7.1033653E-02
   6544.44  7.6255824E-02
   6544.54  8.1648232E-02
   6544.64  8.7134088E-02
   6544.74  9.2596294E-02
   6544.84  9.8040620E-02
   6544.94  1.0325747E-01
   6545.14  1.1331307E-01
   6545.34  1.2272863E-01
   6545.54  1.3169494E-01
   6545.74  1.4051428E-01
   6545.94  1.4948612E-01
   6546.14  1.5877504E-01
   6546.34  1.6833205E-01
   6546.54  1.7794840E-01
   6546.74  1.8739850E-01
   6546.94  1.9655975E-01
   6547.14  2.0545036E-01
   6547.34  2.1421538E-01
   6547.54  2.2307682E-01
   6547.74  2.3224038E-01
   6547.94  2.4181679E-01
   6548.14  2.5182832E-01
   6548.34  2.6226751E-01
   6548.54  2.7312015E-01
   6548.74  2.8434096E-01
   6548.94  2.9583889E-01
   6549.14  3.0749523E-01
   6549.34  3.1918678E-01
   6549.54  3.3079491E-01
   6549.74  3.4219494E-01
   6549.94  3.5321592E-01
   6550.14  3.6359509E-01
   6550.34  3.7300487E-01
   6550.54  3.8118711E-01
   6550.74  3.8810563E-01
   6550.94  3.9398281E-01
   6551.14  3.9918435E-01
   6551.34  4.0404140E-01
   6551.54  4.0872438E-01
   6551.74  4.1321805E-01
   6551.94  4.1737569E-01
   6552.14  4.2099934E-01
   6552.34  4.2390068E-01
   6552.54  4.2592490E-01
   6552.74  4.2694880E-01
   6552.94  4.2687777E-01
   6553.14  4.2565845E-01
   6553.34  4.2330316E-01
   6553.54  4.1990668E-01
   6553.74  4.1563701E-01
   6553.94  4.1069763E-01
   6554.14  4.0527614E-01
   6554.34  3.9950163E-01
   6554.54  3.9342760E-01
   6554.74  3.8704454E-01
   6554.94  3.8031356E-01
   6555.14  3.7320514E-01
   6555.34  3.6572791E-01
   6555.54  3.5793978E-01
   6555.74  3.4994193E-01
   6555.94  3.4186248E-01
   6556.14  3.3383751E-01
   6556.34  3.2599511E-01
   6556.54  3.1844504E-01
   6556.74  3.1127396E-01
   6556.94  3.0454468E-01
   6557.14  2.9829792E-01
   6557.34  2.9255513E-01
   6557.54  2.8732161E-01
   6557.74  2.8258975E-01
   6557.94  2.7834187E-01
   6558.14  2.7455305E-01
   6558.34  2.7119350E-01
   6558.54  2.6823078E-01
   6558.74  2.6563163E-01
   6558.94  2.6336353E-01
   6559.14  2.6147185E-01
   6559.34  2.5984676E-01
   6559.54  2.5841387E-01
   6559.74  2.5716547E-01
   6559.94  2.5614477E-01
   6560.94  2.5354101E-01
   6561.94  2.5408029E-01
   6562.94  2.5620171E-01
   6563.94  2.5824411E-01
   6564.94  2.5863508E-01
   6565.94  2.5643040E-01
   6566.94  2.5169128E-01
   6567.94  2.4529476E-01
   6568.94  2.3842488E-01
   6569.94  2.3212157E-01
   6570.94  2.2705391E-01
   6571.94  2.2350873E-01
   6572.94  2.2148934E-01
   6573.94  2.2084348E-01
   6574.94  2.2137995E-01
   6575.94  2.2293591E-01
   6576.94  2.2538038E-01
   6577.94  2.2858778E-01
   6578.94  2.3242771E-01
   6579.94  2.3678144E-01
   6580.94  2.4156030E-01
   6581.94  2.4670174E-01
   6582.94  2.5214198E-01
   6583.94  2.5778220E-01
   6584.94  2.6346941E-01
   6585.94  2.6900592E-01
   6586.94  2.7418594E-01
   6587.94  2.7884132E-01
   6588.94  2.8287177E-01
   6589.94  2.8624422E-01
   6590.94  2.8896687E-01
   6591.94  2.9105896E-01
   6592.94  2.9253741E-01
   6593.94  2.9342728E-01
   6594.94  2.9378487E-01
   6595.94  2.9371281E-01
   6596.94  2.9335192E-01
   6597.94  2.9285018E-01
   6598.94  2.9232337E-01
   6599.94  2.9182566E-01
   6600.94  2.9134103E-01
   6601.94  2.9079603E-01
   6602.94  2.9008699E-01
   6603.94  2.8911248E-01
   6604.94  2.8780243E-01
   6605.94  2.8613631E-01
   6606.94  2.8414649E-01
   6607.94  2.8190803E-01
   6608.94  2.7952131E-01
   6609.94  2.7709531E-01
   6610.94  2.7473590E-01
   6611.94  2.7253857E-01
   6612.94  2.7058261E-01
   6613.94  2.6892545E-01
   6614.94  2.6759808E-01
   6615.94  2.6660390E-01
   6616.94  2.6592178E-01
   6617.94  2.6551272E-01
   6618.94  2.6532808E-01
   6619.94  2.6531788E-01
   6620.94  2.6543804E-01
   6621.94  2.6565633E-01
   6622.94  2.6595610E-01
   6623.94  2.6633746E-01
   6624.94  2.6681491E-01
   6625.94  2.6741146E-01
   6626.94  2.6815043E-01
   6627.94  2.6904723E-01
   6628.94  2.7010361E-01
   6629.94  2.7130563E-01
   6630.94  2.7262532E-01
   6631.94  2.7402513E-01
   6632.94  2.7546376E-01
   6633.94  2.7690204E-01
   6634.94  2.7830723E-01
   6635.94  2.7965489E-01
   6636.94  2.8092815E-01
   6637.94  2.8211553E-01
   6638.94  2.8320892E-01
