    Energy    <xanes>    
   5949.00  5.7297834E-04
   5949.50  5.7984961E-04
   5950.00  5.8687666E-04
   5950.50  5.9406479E-04
   5951.00  6.0141956E-04
   5951.50  6.0894679E-04
   5952.00  6.1665257E-04
   5952.50  6.2454326E-04
   5953.00  6.3262556E-04
   5953.50  6.4090647E-04
   5954.00  6.4939335E-04
   5954.50  6.5809390E-04
   5955.00  6.6701625E-04
   5955.50  6.7616891E-04
   5956.00  6.8556083E-04
   5956.50  6.9520146E-04
   5957.00  7.0510072E-04
   5957.50  7.1526908E-04
   5958.00  7.2571757E-04
   5958.50  7.3645783E-04
   5959.00  7.4750217E-04
   5959.50  7.5886358E-04
   5960.00  7.7055579E-04
   5960.50  7.8259335E-04
   5961.00  7.9499167E-04
   5961.50  8.0776708E-04
   5962.00  8.2093691E-04
   5962.50  8.3451956E-04
   5963.00  8.4853460E-04
   5963.50  8.6300283E-04
   5964.00  8.7794643E-04
   5964.50  8.9338901E-04
   5965.00  9.0935581E-04
   5965.50  9.2587374E-04
   5966.00  9.4297161E-04
   5966.50  9.6068027E-04
   5967.00  9.7903277E-04
   5967.50  9.9806458E-04
   5968.00  1.0178138E-03
   5968.50  1.0383216E-03
   5969.00  1.0596319E-03
   5969.50  1.0817926E-03
   5970.00  1.1048552E-03
   5970.50  1.1288754E-03
   5971.00  1.1539137E-03
   5971.50  1.1800356E-03
   5972.00  1.2073125E-03
   5972.50  1.2358223E-03
   5973.00  1.2656497E-03
   5973.50  1.2968875E-03
   5974.00  1.3296376E-03
   5974.50  1.3640116E-03
   5975.00  1.4001326E-03
   5975.50  1.4381363E-03
   5976.00  1.4781729E-03
   5976.50  1.5204090E-03
   5977.00  1.5650299E-03
   5977.50  1.6122423E-03
   5978.00  1.6622776E-03
   5978.50  1.7153957E-03
   5979.00  1.7718895E-03
   5979.50  1.8320903E-03
   5980.00  1.8963745E-03
   5980.50  1.9651716E-03
   5981.00  2.0389742E-03
   5981.50  2.1183496E-03
   5982.00  2.2039556E-03
   5982.50  2.2965591E-03
   5983.00  2.3970600E-03
   5983.50  2.5065227E-03
   5984.00  2.6262159E-03
   5984.10  2.6515112E-03
   5984.20  2.6772893E-03
   5984.30  2.7035644E-03
   5984.40  2.7303512E-03
   5984.50  2.7576651E-03
   5984.60  2.7855221E-03
   5984.70  2.8139387E-03
   5984.80  2.8429322E-03
   5984.90  2.8725209E-03
   5985.00  2.9027235E-03
   5985.10  2.9335597E-03
   5985.20  2.9650500E-03
   5985.30  2.9972159E-03
   5985.40  3.0300799E-03
   5985.50  3.0636653E-03
   5985.60  3.0979966E-03
   5985.70  3.1330997E-03
   5985.80  3.1690011E-03
   5985.90  3.2057292E-03
   5986.00  3.2433134E-03
   5986.10  3.2817844E-03
   5986.20  3.3211748E-03
   5986.30  3.3615184E-03
   5986.40  3.4028507E-03
   5986.50  3.4452092E-03
   5986.60  3.4886329E-03
   5986.70  3.5331629E-03
   5986.80  3.5788421E-03
   5986.90  3.6257158E-03
   5987.00  3.6738311E-03
   5987.10  3.7232376E-03
   5987.20  3.7739870E-03
   5987.30  3.8261334E-03
   5987.40  3.8797332E-03
   5987.50  3.9348455E-03
   5987.60  3.9915314E-03
   5987.70  4.0498548E-03
   5987.80  4.1098819E-03
   5987.90  4.1716812E-03
   5988.00  4.2353239E-03
   5988.10  4.3008836E-03
   5988.20  4.3684365E-03
   5988.30  4.4380617E-03
   5988.40  4.5098413E-03
   5988.50  4.5838614E-03
   5988.60  4.6602119E-03
   5988.70  4.7389882E-03
   5988.80  4.8202915E-03
   5988.90  4.9042305E-03
   5989.00  4.9909221E-03
   5989.10  5.0806098E-03
   5989.20  5.1735537E-03
   5989.30  5.2699132E-03
   5989.40  5.3698606E-03
   5989.50  5.4735823E-03
   5989.60  5.5812787E-03
   5989.70  5.6931642E-03
   5989.80  5.8094673E-03
   5989.90  5.9304299E-03
   5990.00  6.0563065E-03
   5990.10  6.1873634E-03
   5990.20  6.3238779E-03
   5990.30  6.4661367E-03
   5990.40  6.6144346E-03
   5990.50  6.7690726E-03
   5990.60  6.9303558E-03
   5990.70  7.0985907E-03
   5990.80  7.2740825E-03
   5990.90  7.4571316E-03
   5991.00  7.6480301E-03
   5991.10  7.8470579E-03
   5991.20  8.0544790E-03
   5991.30  8.2705381E-03
   5991.40  8.4954575E-03
   5991.50  8.7294348E-03
   5991.60  8.9726416E-03
   5991.70  9.2252233E-03
   5991.80  9.4873000E-03
   5991.90  9.7589679E-03
   5992.00  1.0040301E-02
   5992.10  1.0331353E-02
   5992.20  1.0632157E-02
   5992.30  1.0942725E-02
   5992.40  1.1263044E-02
   5992.50  1.1593067E-02
   5992.60  1.1932700E-02
   5992.70  1.2281794E-02
   5992.80  1.2640119E-02
   5992.90  1.3007352E-02
   5993.00  1.3383054E-02
   5993.10  1.3766661E-02
   5993.20  1.4157470E-02
   5993.30  1.4554643E-02
   5993.40  1.4957217E-02
   5993.50  1.5364126E-02
   5993.60  1.5774234E-02
   5993.70  1.6186384E-02
   5993.80  1.6599444E-02
   5993.90  1.7012363E-02
   5994.00  1.7424224E-02
   5994.20  1.8242053E-02
   5994.40  1.9049769E-02
   5994.60  1.9848052E-02
   5994.80  2.0641028E-02
   5995.00  2.1435284E-02
   5995.20  2.2238708E-02
   5995.40  2.3059487E-02
   5995.60  2.3905428E-02
   5995.80  2.4783544E-02
   5996.00  2.5699805E-02
   5996.20  2.6658945E-02
   5996.40  2.7664251E-02
   5996.60  2.8717298E-02
   5996.80  2.9817670E-02
   5997.00  3.0962681E-02
   5997.20  3.2147209E-02
   5997.40  3.3363706E-02
   5997.60  3.4602470E-02
   5997.80  3.5852180E-02
   5998.00  3.7100647E-02
   5998.20  3.8335665E-02
   5998.40  3.9545784E-02
   5998.60  4.0720871E-02
