    Energy    <xanes>    
   7072.00  1.0601884E-03
   7072.50  1.0725546E-03
   7073.00  1.0852828E-03
   7073.50  1.0982968E-03
   7074.00  1.1116063E-03
   7074.50  1.1252211E-03
   7075.00  1.1391520E-03
   7075.50  1.1534100E-03
   7076.00  1.1680065E-03
   7076.50  1.1829537E-03
   7077.00  1.1982642E-03
   7077.50  1.2139512E-03
   7078.00  1.2300288E-03
   7078.50  1.2465115E-03
   7079.00  1.2634147E-03
   7079.50  1.2807544E-03
   7080.00  1.2985477E-03
   7080.50  1.3168123E-03
   7081.00  1.3355671E-03
   7081.50  1.3548318E-03
   7082.00  1.3746273E-03
   7082.50  1.3949756E-03
   7083.00  1.4158998E-03
   7083.50  1.4374246E-03
   7084.00  1.4595758E-03
   7084.50  1.4823809E-03
   7085.00  1.5058688E-03
   7085.50  1.5300705E-03
   7086.00  1.5550184E-03
   7086.50  1.5807473E-03
   7087.00  1.6072939E-03
   7087.50  1.6346974E-03
   7088.00  1.6629994E-03
   7088.50  1.6922443E-03
   7089.00  1.7224793E-03
   7089.50  1.7537550E-03
   7090.00  1.7861253E-03
   7090.50  1.8196480E-03
   7091.00  1.8543849E-03
   7091.50  1.8904022E-03
   7092.00  1.9277711E-03
   7092.50  1.9665681E-03
   7093.00  2.0068755E-03
   7093.50  2.0487821E-03
   7094.00  2.0923835E-03
   7094.50  2.1377834E-03
   7095.00  2.1850935E-03
   7095.50  2.2344355E-03
   7096.00  2.2859412E-03
   7096.50  2.3397539E-03
   7097.00  2.3960301E-03
   7097.50  2.4549404E-03
   7098.00  2.5166716E-03
   7098.50  2.5814281E-03
   7099.00  2.6494349E-03
   7099.50  2.7209395E-03
   7100.00  2.7962151E-03
   7100.50  2.8755640E-03
   7101.00  2.9593215E-03
   7101.50  3.0478607E-03
   7102.00  3.1415981E-03
   7102.50  3.2409997E-03
   7103.00  3.3465892E-03
   7103.50  3.4589572E-03
   7104.00  3.5787719E-03
   7104.50  3.7067937E-03
   7105.00  3.8438907E-03
   7105.50  3.9910605E-03
   7106.00  4.1494555E-03
   7106.50  4.3204166E-03
   7107.00  4.5055161E-03
   7107.10  4.5448847E-03
   7107.20  4.5847276E-03
   7107.30  4.6249566E-03
   7107.40  4.6655823E-03
   7107.50  4.7066158E-03
   7107.60  4.7495043E-03
   7107.70  4.7929357E-03
   7107.80  4.8368111E-03
   7107.90  4.8811436E-03
   7108.00  4.9259470E-03
   7108.01  4.9292078E-03
   7108.11  4.9755508E-03
   7108.21  5.0227559E-03
   7108.31  5.0708488E-03
