    Energy    <xanes>    
   7072.00  1.0586092E-03
   7072.50  1.0716279E-03
   7073.00  1.0849484E-03
   7073.50  1.0985812E-03
   7074.00  1.1125372E-03
   7074.50  1.1268281E-03
   7075.00  1.1414658E-03
   7075.50  1.1564631E-03
   7076.00  1.1718333E-03
   7076.50  1.1875902E-03
   7077.00  1.2037486E-03
   7077.50  1.2203240E-03
   7078.00  1.2373323E-03
   7078.50  1.2547909E-03
   7079.00  1.2727175E-03
   7079.50  1.2911311E-03
   7080.00  1.3100517E-03
   7080.50  1.3295003E-03
   7081.00  1.3494991E-03
   7081.50  1.3700717E-03
   7082.00  1.3912428E-03
   7082.50  1.4130388E-03
   7083.00  1.4354876E-03
   7083.50  1.4586186E-03
   7084.00  1.4824632E-03
   7084.50  1.5070547E-03
   7085.00  1.5324285E-03
   7085.50  1.5586221E-03
   7086.00  1.5856758E-03
   7086.50  1.6136322E-03
   7087.00  1.6425369E-03
   7087.50  1.6724386E-03
   7088.00  1.7033896E-03
   7088.50  1.7354456E-03
   7089.00  1.7686665E-03
   7089.50  1.8031164E-03
   7090.00  1.8388645E-03
   7090.50  1.8759850E-03
   7091.00  1.9145580E-03
   7091.50  1.9546700E-03
   7092.00  1.9964144E-03
   7092.50  2.0398923E-03
   7093.00  2.0852135E-03
   7093.50  2.1324971E-03
   7094.00  2.1818727E-03
   7094.50  2.2334818E-03
   7095.00  2.2874787E-03
   7095.50  2.3440325E-03
   7096.00  2.4033287E-03
   7096.50  2.4655712E-03
   7097.00  2.5309847E-03
   7097.50  2.5998175E-03
   7098.00  2.6723449E-03
   7098.50  2.7488726E-03
   7099.00  2.8297413E-03
   7099.50  2.9153321E-03
   7100.00  3.0060726E-03
   7100.50  3.1024445E-03
   7101.00  3.2049923E-03
   7101.50  3.3143348E-03
   7102.00  3.4311782E-03
   7102.50  3.5563328E-03
   7103.00  3.6907335E-03
   7103.50  3.8354668E-03
   7104.00  3.9918037E-03
   7104.50  4.1612438E-03
   7105.00  4.3455738E-03
   7105.50  4.5469457E-03
   7106.00  4.7679869E-03
   7106.50  5.0119576E-03
   7107.00  5.2829853E-03
   7107.10  5.3408822E-03
   7107.20  5.4001203E-03
   7107.30  5.4607529E-03
   7107.40  5.5228368E-03
   7107.50  5.5864323E-03
   7107.60  5.6516037E-03
   7107.70  5.7184200E-03
   7107.80  5.7869548E-03
   7107.90  5.8572873E-03
   7108.00  5.9295027E-03
   7108.10  6.0036929E-03
   7108.20  6.0799573E-03
   7108.30  6.1584036E-03
   7108.40  6.2391492E-03
   7108.50  6.3223219E-03
   7108.60  6.4080618E-03
   7108.70  6.4965228E-03
   7108.80  6.5878748E-03
   7108.90  6.6823058E-03
   7109.00  6.7800250E-03
   7109.10  6.8812661E-03
   7109.20  6.9862917E-03
   7109.30  7.0953981E-03
   7109.40  7.2089216E-03
   7109.50  7.3272461E-03
   7109.60  7.4508124E-03
   7109.70  7.5801301E-03
   7109.80  7.7157920E-03
   7109.90  7.8584925E-03
   7110.00  8.0090510E-03
   7110.10  8.1684413E-03
   7110.20  8.3378296E-03
   7110.30  8.5186221E-03
   7110.40  8.7125275E-03
   7110.50  8.9216351E-03
   7110.60  9.1485151E-03
   7110.70  9.3963419E-03
   7110.80  9.6690434E-03
   7110.90  9.9714676E-03
   7111.00  1.0309542E-02
   7111.10  1.0690364E-02
   7111.20  1.1122070E-02
   7111.30  1.1613205E-02
   7111.40  1.2171063E-02
   7111.50  1.2798246E-02
   7111.60  1.3486768E-02
   7111.70  1.4210323E-02
   7111.80  1.4918777E-02
   7111.90  1.5543002E-02
   7112.00  1.6016434E-02
   7112.10  1.6303816E-02
   7112.20  1.6416775E-02
   7112.30  1.6404512E-02
   7112.40  1.6329066E-02
   7112.50  1.6244689E-02
   7112.60  1.6189414E-02
   7112.70  1.6185833E-02
   7112.80  1.6245357E-02
   7112.90  1.6372524E-02
   7113.00  1.6568217E-02
   7113.10  1.6831788E-02
   7113.20  1.7162356E-02
   7113.30  1.7559542E-02
   7113.40  1.8023849E-02
   7113.50  1.8556834E-02
   7113.60  1.9161172E-02
   7113.70  1.9840639E-02
   7113.80  2.0600044E-02
   7113.90  2.1445091E-02
   7114.00  2.2382152E-02
   7114.10  2.3417900E-02
   7114.20  2.4558763E-02
   7114.30  2.5810155E-02
   7114.40  2.7175502E-02
   7114.50  2.8655212E-02
   7114.60  3.0245866E-02
   7114.70  3.1940179E-02
   7114.80  3.3728320E-02
   7114.90  3.5601033E-02
   7115.00  3.7554328E-02
   7115.10  3.9594548E-02
   7115.20  4.1741942E-02
   7115.30  4.4031164E-02
   7115.40  4.6508321E-02
   7115.50  4.9225736E-02
   7115.60  5.2236096E-02
   7115.70  5.5587218E-02
   7115.80  5.9317698E-02
   7115.90  6.3453162E-02
   7116.00  6.8002703E-02
   7116.10  7.2955350E-02
   7116.20  7.8276809E-02
   7116.30  8.3907144E-02
   7116.40  8.9760529E-02
   7116.50  9.5728428E-02
   7116.60  1.0168726E-01
   7116.70  1.0751045E-01
   7116.80  1.1308272E-01
   7116.90  1.1831295E-01
   7117.00  1.2314188E-01
   7117.20  1.3151905E-01
   7117.40  1.3830991E-01
   7117.60  1.4388356E-01
   7117.80  1.4876632E-01
   7118.00  1.5359242E-01
   7118.20  1.5904554E-01
   7118.40  1.6570872E-01
   7118.60  1.7383937E-01
   7118.80  1.8322245E-01
   7119.00  1.9327727E-01
   7119.20  2.0341713E-01
   7119.40  2.1337073E-01
   7119.60  2.2316764E-01
   7119.80  2.3286417E-01
   7120.00  2.4231485E-01
   7120.20  2.5116782E-01
   7120.40  2.5905718E-01
   7120.60  2.6582926E-01
   7120.80  2.7161679E-01
   7121.00  2.7671585E-01
   7121.20  2.8139458E-01
   7121.40  2.8577558E-01
   7121.60  2.8982520E-01
   7121.80  2.9340431E-01
   7122.00  2.9632278E-01
   7122.20  2.9836403E-01
   7122.40  2.9929119E-01
   7122.60  2.9888299E-01
   7122.80  2.9702004E-01
   7123.00  2.9376793E-01
   7123.20  2.8938220E-01
   7123.40  2.8422781E-01
   7123.60  2.7867475E-01
   7123.80  2.7302769E-01
   7124.00  2.6750205E-01
   7124.20  2.6223074E-01
   7124.40  2.5728591E-01
   7124.60  2.5270680E-01
   7124.80  2.4852568E-01
   7125.00  2.4478352E-01
   7125.20  2.4153167E-01
   7125.40  2.3882338E-01
   7125.60  2.3670314E-01
   7125.80  2.3520046E-01
   7126.00  2.3432917E-01
   7126.20  2.3408996E-01
   7126.40  2.3447245E-01
   7126.60  2.3545497E-01
   7126.80  2.3700227E-01
   7127.00  2.3906261E-01
   7127.20  2.4156617E-01
   7127.40  2.4442582E-01
   7127.60  2.4754085E-01
   7127.80  2.5080285E-01
   7128.00  2.5410294E-01
   7128.20  2.5733908E-01
   7128.40  2.6042227E-01
   7128.60  2.6328087E-01
   7128.80  2.6586264E-01
   7129.00  2.6813464E-01
   7129.20  2.7008128E-01
   7129.40  2.7170135E-01
   7129.60  2.7300448E-01
   7129.80  2.7400790E-01
   7130.00  2.7473352E-01
   7130.20  2.7520576E-01
   7130.40  2.7545011E-01
   7130.60  2.7549213E-01
   7130.80  2.7535705E-01
   7131.00  2.7506951E-01
   7131.20  2.7465352E-01
   7131.40  2.7413242E-01
   7131.60  2.7352879E-01
   7131.80  2.7286428E-01
   7132.00  2.7215945E-01
   7133.00  2.6864209E-01
   7134.00  2.6618767E-01
   7135.00  2.6513315E-01
   7136.00  2.6466907E-01
   7137.00  2.6351879E-01
   7138.00  2.6067424E-01
   7139.00  2.5577308E-01
