    Energy    <xanes>    
  12618.00  3.2771358E-04
  12618.50  3.3240469E-04
  12619.00  3.3722274E-04
  12619.50  3.4217291E-04
  12620.00  3.4726063E-04
  12620.50  3.5249166E-04
  12621.00  3.5787204E-04
  12621.50  3.6340821E-04
  12622.00  3.6910694E-04
  12622.50  3.7497541E-04
  12623.00  3.8102123E-04
  12623.50  3.8725247E-04
  12624.00  3.9367769E-04
  12624.50  4.0030598E-04
  12625.00  4.0714701E-04
  12625.50  4.1421106E-04
  12626.00  4.2150910E-04
  12626.50  4.2905280E-04
  12627.00  4.3685463E-04
  12627.50  4.4492792E-04
  12628.00  4.5328691E-04
  12628.50  4.6194687E-04
  12629.00  4.7092415E-04
  12629.50  4.8023631E-04
  12630.00  4.8990223E-04
  12630.50  4.9994221E-04
  12631.00  5.1037813E-04
  12631.50  5.2123362E-04
  12632.00  5.3253418E-04
  12632.50  5.4430744E-04
  12633.00  5.5658334E-04
  12633.50  5.6939438E-04
  12634.00  5.8277592E-04
  12634.50  5.9676647E-04
  12635.00  6.1140808E-04
  12635.50  6.2674673E-04
  12636.00  6.4283281E-04
  12636.50  6.5972165E-04
  12637.00  6.7747417E-04
  12637.50  6.9615753E-04
  12638.00  7.1584604E-04
  12638.50  7.3662206E-04
  12639.00  7.5857714E-04
  12639.50  7.8181334E-04
  12640.00  8.0644478E-04
  12640.50  8.3259945E-04
  12641.00  8.6042137E-04
  12641.50  8.9007320E-04
  12642.00  9.2173930E-04
  12642.50  9.5562946E-04
  12643.00  9.9198347E-04
  12643.50  1.0310766E-03
  12644.00  1.0732262E-03
  12644.50  1.1188005E-03
  12645.00  1.1682286E-03
  12645.50  1.2220138E-03
  12646.00  1.2807499E-03
  12646.50  1.3451428E-03
  12647.00  1.4160375E-03
  12647.50  1.4944539E-03
  12648.00  1.5816340E-03
  12648.50  1.6791042E-03
  12649.00  1.7887614E-03
  12649.50  1.9129889E-03
  12650.00  2.0548208E-03
  12650.50  2.2181733E-03
  12651.00  2.4081817E-03
  12651.50  2.6316974E-03
  12652.00  2.8980417E-03
  12652.50  3.2201769E-03
  12653.00  3.6165784E-03
  12653.10  3.7069530E-03
  12653.20  3.8016083E-03
  12653.30  3.9008376E-03
  12653.40  4.0049602E-03
  12653.50  4.1143238E-03
  12653.60  4.2293082E-03
  12653.70  4.3503282E-03
  12653.80  4.4778382E-03
  12653.90  4.6123360E-03
  12654.00  4.7543684E-03
  12654.10  4.9045367E-03
  12654.20  5.0635033E-03
  12654.30  5.2319987E-03
  12654.40  5.4108307E-03
  12654.50  5.6008930E-03
  12654.60  5.8031771E-03
  12654.70  6.0187839E-03
  12654.80  6.2489385E-03
  12654.90  6.4950066E-03
  12655.00  6.7585125E-03
  12655.10  7.0411613E-03
  12655.20  7.3448624E-03
  12655.30  7.6717585E-03
  12655.40  8.0242563E-03
  12655.50  8.4050636E-03
  12655.60  8.8172299E-03
