    Energy    <xanes>    
  31774.00  4.6289952E-04
  31774.50  4.6933623E-04
  31775.00  4.7593997E-04
  31775.50  4.8271720E-04
  31776.00  4.8967474E-04
  31776.50  4.9681975E-04
  31777.00  5.0415979E-04
  31777.50  5.1170280E-04
  31778.00  5.1945720E-04
  31778.50  5.2743182E-04
  31779.00  5.3563603E-04
  31779.50  5.4407971E-04
  31780.00  5.5277332E-04
  31780.50  5.6172792E-04
  31781.00  5.7095525E-04
  31781.50  5.8046772E-04
  31782.00  5.9027853E-04
  31782.50  6.0040168E-04
  31783.00  6.1085207E-04
  31783.50  6.2164552E-04
  31784.00  6.3279890E-04
  31784.50  6.4433018E-04
  31785.00  6.5625855E-04
  31785.50  6.6860448E-04
  31786.00  6.8138987E-04
  31786.50  6.9463814E-04
  31787.00  7.0837442E-04
  31787.50  7.2262561E-04
  31788.00  7.3742066E-04
  31788.50  7.5279065E-04
  31789.00  7.6876906E-04
  31789.50  7.8539197E-04
  31790.00  8.0269834E-04
  31790.50  8.2073026E-04
  31791.00  8.3953330E-04
  31791.50  8.5915686E-04
  31792.00  8.7965456E-04
  31792.50  9.0108472E-04
  31793.00  9.2351084E-04
  31793.50  9.4700221E-04
  31794.00  9.7163454E-04
  31794.50  9.9749072E-04
  31795.00  1.0246617E-03
  31795.50  1.0532473E-03
  31796.00  1.0833576E-03
  31796.50  1.1151139E-03
  31797.00  1.1486506E-03
  31797.50  1.1841161E-03
  31798.00  1.2216757E-03
  31798.50  1.2615132E-03
  31799.00  1.3038334E-03
  31799.50  1.3488658E-03
  31800.00  1.3968671E-03
  31800.50  1.4481262E-03
  31801.00  1.5029682E-03
  31801.50  1.5617601E-03
  31802.00  1.6249174E-03
  31802.50  1.6929109E-03
  31803.00  1.7662760E-03
  31803.50  1.8456217E-03
  31804.00  1.9316424E-03
  31804.50  2.0251300E-03
  31805.00  2.1269879E-03
  31805.50  2.2382453E-03
  31806.00  2.3600724E-03
  31806.50  2.4937931E-03
  31807.00  2.6408945E-03
  31807.50  2.8030272E-03
  31808.00  2.9819912E-03
  31808.50  3.1796955E-03
  31809.00  3.3980779E-03
  31809.10  3.4444005E-03
  31809.20  3.4916379E-03
  31809.30  3.5398029E-03
  31809.40  3.5889078E-03
  31809.50  3.6389640E-03
  31809.60  3.6899820E-03
  31809.70  3.7419714E-03
  31809.80  3.7949405E-03
  31809.90  3.8488964E-03
  31810.00  3.9038446E-03
  31810.10  3.9597893E-03
  31810.20  4.0167327E-03
  31810.30  4.0746754E-03
  31810.40  4.1336156E-03
  31810.50  4.1935496E-03
  31810.60  4.2544711E-03
  31810.70  4.3163715E-03
  31810.80  4.3792391E-03
  31810.90  4.4430596E-03
  31811.00  4.5078156E-03
  31811.10  4.5734865E-03
  31811.20  4.6400483E-03
  31811.30  4.7074736E-03
  31811.40  4.7757314E-03
  31811.50  4.8447871E-03
  31811.60  4.9146025E-03
  31811.70  4.9851355E-03
  31811.80  5.0563405E-03
  31811.90  5.1281680E-03
  31812.00  5.2005651E-03
  31812.10  5.2734757E-03
  31812.20  5.3468402E-03
  31812.30  5.4205963E-03
  31812.40  5.4946789E-03
  31812.50  5.5690209E-03
  31812.60  5.6435531E-03
  31812.70  5.7182054E-03
  31812.80  5.7929066E-03
  31812.90  5.8675856E-03
  31813.00  5.9421717E-03
  31813.10  6.0165955E-03
  31813.20  6.0907896E-03
  31813.30  6.1646894E-03
  31813.40  6.2382336E-03
  31813.50  6.3113655E-03
  31813.60  6.3840331E-03
  31813.70  6.4561906E-03
  31813.80  6.5277985E-03
  31813.90  6.5988242E-03
  31814.00  6.6692433E-03
  31814.10  6.7390364E-03
  31814.20  6.8081918E-03
  31814.30  6.8767087E-03
  31814.40  6.9445963E-03
  31814.50  7.0118730E-03
  31814.60  7.0785667E-03
  31814.70  7.1447142E-03
  31814.80  7.2103612E-03
  31814.90  7.2755616E-03
  31815.00  7.3403765E-03
  31815.10  7.4048740E-03
  31815.20  7.4691278E-03
  31815.30  7.5332165E-03
  31815.40  7.5972226E-03
  31815.50  7.6612311E-03
  31815.60  7.7253289E-03
  31815.70  7.7896030E-03
  31815.80  7.8541399E-03
  31815.90  7.9190244E-03
  31816.00  7.9843382E-03
  31816.10  8.0501591E-03
  31816.20  8.1165602E-03
  31816.30  8.1836083E-03
  31816.40  8.2513641E-03
  31816.50  8.3198803E-03
  31816.60  8.3892019E-03
  31816.70  8.4593650E-03
  31816.80  8.5303964E-03
  31816.90  8.6023137E-03
  31817.00  8.6751243E-03
  31817.10  8.7488257E-03
  31817.20  8.8234050E-03
  31817.30  8.8988393E-03
  31817.40  8.9750957E-03
  31817.50  9.0521310E-03
  31817.60  9.1298926E-03
  31817.70  9.2083183E-03
  31817.80  9.2873372E-03
  31817.90  9.3668696E-03
  31818.00  9.4468280E-03
  31818.10  9.5271174E-03
  31818.20  9.6076362E-03
  31818.30  9.6882766E-03
  31818.40  9.7689257E-03
  31818.50  9.8494658E-03
  31818.60  9.9297755E-03
  31818.70  1.0009731E-02
  31818.80  1.0089204E-02
  31818.90  1.0168069E-02
  31819.00  1.0246196E-02
  31819.20  1.0399726E-02
  31819.40  1.0548784E-02
  31819.60  1.0692399E-02
  31819.80  1.0829655E-02
  31820.00  1.0959716E-02
  31820.20  1.1081831E-02
  31820.40  1.1195350E-02
  31820.60  1.1299729E-02
  31820.80  1.1394531E-02
  31821.00  1.1479430E-02
  31821.20  1.1554208E-02
  31821.40  1.1618750E-02
  31821.60  1.1673042E-02
  31821.80  1.1717161E-02
  31822.00  1.1751273E-02
  31822.20  1.1775622E-02
  31822.40  1.1790527E-02
  31822.60  1.1796377E-02
  31822.80  1.1793619E-02
  31823.00  1.1782759E-02
  31823.20  1.1764352E-02
  31823.40  1.1739000E-02
  31823.60  1.1707341E-02
  31823.80  1.1670048E-02
  31824.00  1.1627820E-02
  31824.20  1.1581373E-02
  31824.40  1.1531437E-02
  31824.60  1.1478742E-02
  31824.80  1.1424015E-02
  31825.00  1.1367969E-02
  31825.20  1.1311296E-02
  31825.40  1.1254660E-02
  31825.60  1.1198690E-02
  31825.80  1.1143974E-02
  31826.00  1.1091058E-02
  31826.20  1.1040435E-02
  31826.40  1.0992551E-02
