    Energy    <xanes>    
   7072.00  2.5514692E-04
   7072.50  2.5820211E-04
   7073.00  2.6132576E-04
   7073.50  2.6452016E-04
   7074.00  2.6778771E-04
   7074.50  2.7113093E-04
   7075.00  2.7455244E-04
   7075.50  2.7805498E-04
   7076.00  2.8164143E-04
   7076.50  2.8531480E-04
   7077.00  2.8907824E-04
   7077.50  2.9293507E-04
   7078.00  2.9688877E-04
   7078.50  3.0094297E-04
   7079.00  3.0510150E-04
   7079.50  3.0936841E-04
   7080.00  3.1374791E-04
   7080.50  3.1824447E-04
   7081.00  3.2286279E-04
   7081.50  3.2760781E-04
   7082.00  3.3248474E-04
   7082.50  3.3749910E-04
   7083.00  3.4265670E-04
   7083.50  3.4796369E-04
   7084.00  3.5342657E-04
   7084.50  3.5905221E-04
   7085.00  3.6484791E-04
   7085.50  3.7082140E-04
   7086.00  3.7698088E-04
   7086.50  3.8333506E-04
   7087.00  3.8989320E-04
   7087.50  3.9666516E-04
   7088.00  4.0366143E-04
   7088.50  4.1089321E-04
   7089.00  4.1837244E-04
   7089.50  4.2611189E-04
   7090.00  4.3412522E-04
   7090.50  4.4242704E-04
   7091.00  4.5103304E-04
   7091.50  4.5996005E-04
   7092.00  4.6922617E-04
   7092.50  4.7885089E-04
   7093.00  4.8885519E-04
   7093.50  4.9926176E-04
   7094.00  5.1009510E-04
   7094.50  5.2138178E-04
   7095.00  5.3315059E-04
   7095.50  5.4543285E-04
   7096.00  5.5826263E-04
   7096.50  5.7167712E-04
   7097.00  5.8571700E-04
   7097.50  6.0042680E-04
   7098.00  6.1585547E-04
   7098.50  6.3205689E-04
   7099.00  6.4909055E-04
   7099.50  6.6702233E-04
   7100.00  6.8592541E-04
   7100.50  7.0588134E-04
   7101.00  7.2698137E-04
   7101.50  7.4932798E-04
   7102.00  7.7303684E-04
   7102.50  7.9823909E-04
   7103.00  8.2508435E-04
   7103.50  8.5374433E-04
   7104.00  8.8441768E-04
   7104.50  9.1733614E-04
   7105.00  9.5277291E-04
   7105.50  9.9105408E-04
   7106.00  1.0325749E-03
   7106.50  1.0778233E-03
   7107.00  1.1274167E-03
   7107.10  1.1379234E-03
   7107.20  1.1486427E-03
   7107.30  1.1595828E-03
   7107.40  1.1707521E-03
   7107.50  1.1821599E-03
   7107.60  1.1938158E-03
   7107.70  1.2057305E-03
   7107.80  1.2179151E-03
   7107.90  1.2303819E-03
   7108.00  1.2431439E-03
   7108.10  1.2562153E-03
   7108.20  1.2696117E-03
   7108.30  1.2833496E-03
   7108.40  1.2974476E-03
   7108.50  1.3119256E-03
   7108.60  1.3268058E-03
   7108.70  1.3421125E-03
   7108.80  1.3578728E-03
   7108.90  1.3741166E-03
   7109.00  1.3908775E-03
   7109.10  1.4081930E-03
   7109.20  1.4261054E-03
   7109.30  1.4446626E-03
   7109.40  1.4639190E-03
   7109.50  1.4839367E-03
   7109.60  1.5047872E-03
   7109.70  1.5265529E-03
   7109.80  1.5493298E-03
   7109.90  1.5732296E-03
   7110.00  1.5983841E-03
   7110.10  1.6249491E-03
   7110.20  1.6531099E-03
   7110.30  1.6830889E-03
   7110.40  1.7151542E-03
   7110.50  1.7496316E-03
   7110.60  1.7869192E-03
   7110.70  1.8275065E-03
   7110.80  1.8719988E-03
   7110.90  1.9211468E-03
   7111.00  1.9758838E-03
   7111.10  2.0373676E-03
   7111.20  2.1070237E-03
   7111.30  2.1865768E-03
   7111.40  2.2780439E-03
   7111.50  2.3836332E-03
   7111.60  2.5054580E-03
   7111.70  2.6449364E-03
   7111.80  2.8017655E-03
   7111.90  2.9725039E-03
   7112.00  3.1491143E-03
   7112.10  3.3182136E-03
   7112.20  3.4618124E-03
   7112.30  3.5616119E-03
   7112.40  3.6058273E-03
   7112.50  3.5948457E-03
   7112.60  3.5411060E-03
   7112.70  3.4630632E-03
   7112.80  3.3780241E-03
   7112.90  3.2981282E-03
   7113.00  3.2299491E-03
   7113.10  3.1759567E-03
   7113.20  3.1362451E-03
   7113.30  3.1098282E-03
   7113.40  3.0954114E-03
   7113.50  3.0917691E-03
   7113.60  3.0978803E-03
   7113.70  3.1129425E-03
   7113.80  3.1363360E-03
   7113.90  3.1675830E-03
   7114.00  3.2063147E-03
   7114.10  3.2522517E-03
   7114.20  3.3051945E-03
   7114.30  3.3650189E-03
   7114.40  3.4316756E-03
   7114.50  3.5051907E-03
   7114.60  3.5856672E-03
   7114.70  3.6732861E-03
   7114.80  3.7683080E-03
   7114.90  3.8710753E-03
   7115.00  3.9820150E-03
   7115.10  4.1016438E-03
   7115.20  4.2305754E-03
   7115.30  4.3695304E-03
   7115.40  4.5193479E-03
   7115.50  4.6810006E-03
   7115.60  4.8556119E-03
   7115.70  5.0444763E-03
   7115.80  5.2490833E-03
   7115.90  5.4711446E-03
   7116.00  5.7126244E-03
   7116.10  5.9757725E-03
   7116.20  6.2631577E-03
   7116.30  6.5776984E-03
   7116.40  6.9226841E-03
   7116.50  7.3017773E-03
   7116.60  7.7189807E-03
   7116.70  8.1785424E-03
   7116.80  8.6847672E-03
   7116.90  9.2416928E-03
   7117.00  9.8526027E-03
   7117.20  1.1241811E-02
   7117.40  1.2838852E-02
   7117.60  1.4588242E-02
   7117.80  1.6418389E-02
   7118.00  1.8288289E-02
   7118.20  2.0196799E-02
   7118.40  2.2138584E-02
   7118.60  2.4063271E-02
   7118.80  2.5885817E-02
   7119.00  2.7542053E-02
   7119.20  2.9044892E-02
   7119.40  3.0479830E-02
   7119.60  3.1933796E-02
   7119.80  3.3436414E-02
   7120.00  3.4968715E-02
   7120.20  3.6511683E-02
   7120.40  3.8081685E-02
   7120.60  3.9729984E-02
   7120.80  4.1517614E-02
   7121.00  4.3490002E-02
   7121.20  4.5666497E-02
   7121.40  4.8045137E-02
   7121.60  5.0616353E-02
   7121.80  5.3375487E-02
   7122.00  5.6321785E-02
   7122.20  5.9438494E-02
   7122.40  6.2663661E-02
   7122.60  6.5872156E-02
   7122.80  6.8887426E-02
   7123.00  7.1524805E-02
   7123.20  7.3645119E-02
   7123.40  7.5188039E-02
   7123.60  7.6171260E-02
   7123.80  7.6665994E-02
   7124.00  7.6767756E-02
   7124.20  7.6575067E-02
   7124.40  7.6180251E-02
   7124.60  7.5670071E-02
   7124.80  7.5129519E-02
   7125.00  7.4641870E-02
   7125.20  7.4283015E-02
   7125.40  7.4113369E-02
   7125.60  7.4171750E-02
   7125.80  7.4473365E-02
   7126.00  7.5011571E-02
   7126.20  7.5762115E-02
   7126.40  7.6688407E-02
   7126.60  7.7746585E-02
   7126.80  7.8889525E-02
   7127.00  8.0069604E-02
   7127.20  8.1240471E-02
   7127.40  8.2358280E-02
   7127.60  8.3382652E-02
   7127.80  8.4277456E-02
   7128.00  8.5011425E-02
   7128.20  8.5558687E-02
   7128.40  8.5899358E-02
   7128.60  8.6020310E-02
   7128.80  8.5916028E-02
   7129.00  8.5589282E-02
   7129.20  8.5051294E-02
   7129.40  8.4321133E-02
   7129.60  8.3424340E-02
   7129.80  8.2390957E-02
   7130.00  8.1253265E-02
