    Energy    <xanes>    
   7072.00  2.5954956E-04
   7072.50  2.6271028E-04
   7073.00  2.6594341E-04
   7073.50  2.6925141E-04
   7074.00  2.7263691E-04
   7074.50  2.7610262E-04
   7075.00  2.7965139E-04
   7075.50  2.8328620E-04
   7076.00  2.8701020E-04
   7076.50  2.9082666E-04
   7077.00  2.9473904E-04
   7077.50  2.9875095E-04
   7078.00  3.0286619E-04
   7078.50  3.0708876E-04
   7079.00  3.1142286E-04
   7079.50  3.1587293E-04
   7080.00  3.2044362E-04
   7080.50  3.2513985E-04
   7081.00  3.2996679E-04
   7081.50  3.3492992E-04
   7082.00  3.4003501E-04
   7082.50  3.4528816E-04
   7083.00  3.5069584E-04
   7083.50  3.5626488E-04
   7084.00  3.6200252E-04
   7084.50  3.6791644E-04
   7085.00  3.7401479E-04
   7085.50  3.8030623E-04
   7086.00  3.8679995E-04
   7086.50  3.9350574E-04
   7087.00  4.0043404E-04
   7087.50  4.0759597E-04
   7088.00  4.1500338E-04
   7088.50  4.2266896E-04
   7089.00  4.3060626E-04
   7089.50  4.3882979E-04
   7090.00  4.4735513E-04
   7090.50  4.5619897E-04
   7091.00  4.6537926E-04
   7091.50  4.7491530E-04
   7092.00  4.8482790E-04
   7092.50  4.9513950E-04
   7093.00  5.0587436E-04
   7093.50  5.1705872E-04
   7094.00  5.2872102E-04
   7094.50  5.4089211E-04
   7095.00  5.5360558E-04
   7095.50  5.6689798E-04
   7096.00  5.8080920E-04
   7096.50  5.9538287E-04
   7097.00  6.1066678E-04
   7097.50  6.2671338E-04
   7098.00  6.4358041E-04
   7098.50  6.6133151E-04
   7099.00  6.8003705E-04
   7099.50  6.9977503E-04
   7100.00  7.2063212E-04
   7100.50  7.4270491E-04
   7101.00  7.6610139E-04
   7101.50  7.9094263E-04
   7102.00  8.1736489E-04
   7102.50  8.4552205E-04
   7103.00  8.7558854E-04
   7103.50  9.0776295E-04
   7104.00  9.4227234E-04
   7104.50  9.7937760E-04
   7105.00  1.0193800E-03
   7105.50  1.0626296E-03
   7106.00  1.1095354E-03
   7106.50  1.1605787E-03
   7107.00  1.2163304E-03
   7107.10  1.2281036E-03
   7107.20  1.2400980E-03
   7107.30  1.2523200E-03
   7107.40  1.2647762E-03
   7107.50  1.2774734E-03
   7107.60  1.2904186E-03
   7107.70  1.3036193E-03
   7107.80  1.3170832E-03
   7107.90  1.3308183E-03
   7108.00  1.3448330E-03
   7108.10  1.3591360E-03
   7108.20  1.3737363E-03
   7108.30  1.3886437E-03
   7108.40  1.4038679E-03
   7108.50  1.4194194E-03
   7108.60  1.4353092E-03
   7108.70  1.4515486E-03
   7108.80  1.4681497E-03
   7108.90  1.4851251E-03
   7109.00  1.5024881E-03
   7109.10  1.5202526E-03
   7109.20  1.5384334E-03
   7109.30  1.5570461E-03
   7109.40  1.5761071E-03
   7109.50  1.5956338E-03
   7109.60  1.6156449E-03
   7109.70  1.6361602E-03
   7109.80  1.6572007E-03
   7109.90  1.6787890E-03
   7110.00  1.7009496E-03
   7110.10  1.7237088E-03
   7110.20  1.7470949E-03
   7110.30  1.7711392E-03
   7110.40  1.7958759E-03
   7110.50  1.8213425E-03
   7110.60  1.8475812E-03
   7110.70  1.8746390E-03
   7110.80  1.9025689E-03
   7110.90  1.9314317E-03
   7111.00  1.9612965E-03
   7111.10  1.9922430E-03
   7111.20  2.0243617E-03
   7111.30  2.0577546E-03
   7111.40  2.0925311E-03
   7111.50  2.1287993E-03
   7111.60  2.1666460E-03
   7111.70  2.2061038E-03
   7111.80  2.2471099E-03
   7111.90  2.2894783E-03
   7112.00  2.3329678E-03
   7112.10  2.3775532E-03
   7112.20  2.4230857E-03
   7112.30  2.4695419E-03
   7112.40  2.5170700E-03
   7112.50  2.5659422E-03
   7112.60  2.6164904E-03
   7112.70  2.6690528E-03
   7112.80  2.7239462E-03
   7112.90  2.7814581E-03
   7113.00  2.8418515E-03
   7113.10  2.9053727E-03
   7113.20  2.9722605E-03
   7113.30  3.0427544E-03
   7113.40  3.1171022E-03
   7113.50  3.1955668E-03
   7113.60  3.2784321E-03
   7113.70  3.3660080E-03
   7113.80  3.4586345E-03
   7113.90  3.5566860E-03
   7114.00  3.6605753E-03
   7114.10  3.7707587E-03
   7114.20  3.8877420E-03
   7114.30  4.0120870E-03
   7114.40  4.1444198E-03
   7114.50  4.2854397E-03
   7114.60  4.4359299E-03
   7114.70  4.5967700E-03
   7114.80  4.7689504E-03
   7114.90  4.9535894E-03
   7115.00  5.1519536E-03
   7115.10  5.3654806E-03
