    Energy    <xanes>    
   7072.00  2.6308575E-04
   7072.50  2.6618166E-04
   7073.00  2.6934660E-04
   7073.50  2.7258287E-04
   7074.00  2.7589290E-04
   7074.50  2.7927921E-04
   7075.00  2.8274446E-04
   7075.50  2.8629140E-04
   7076.00  2.8992293E-04
   7076.50  2.9364211E-04
   7077.00  2.9745210E-04
   7077.50  3.0135625E-04
   7078.00  3.0535806E-04
   7078.50  3.0946121E-04
   7079.00  3.1366956E-04
   7079.50  3.1798718E-04
   7080.00  3.2241834E-04
   7080.50  3.2696754E-04
   7081.00  3.3163951E-04
   7081.50  3.3643925E-04
   7082.00  3.4137203E-04
   7082.50  3.4644339E-04
   7083.00  3.5165922E-04
   7083.50  3.5702570E-04
   7084.00  3.6254941E-04
   7084.50  3.6823729E-04
   7085.00  3.7409669E-04
   7085.50  3.8013542E-04
   7086.00  3.8636175E-04
   7086.50  3.9278449E-04
   7087.00  3.9941296E-04
   7087.50  4.0625714E-04
   7088.00  4.1332759E-04
   7088.50  4.2063563E-04
   7089.00  4.2819331E-04
   7089.50  4.3601349E-04
   7090.00  4.4410997E-04
   7090.50  4.5249747E-04
   7091.00  4.6119183E-04
   7091.50  4.7020999E-04
   7092.00  4.7957020E-04
   7092.50  4.8929209E-04
   7093.00  4.9939679E-04
   7093.50  5.0990712E-04
   7094.00  5.2084773E-04
   7094.50  5.3224530E-04
   7095.00  5.4412874E-04
   7095.50  5.5652947E-04
   7096.00  5.6948162E-04
   7096.50  5.8302241E-04
   7097.00  5.9719245E-04
   7097.50  6.1203617E-04
   7098.00  6.2760225E-04
   7098.50  6.4394419E-04
   7099.00  6.6112084E-04
   7099.50  6.7919720E-04
   7100.00  6.9824515E-04
   7100.50  7.1834443E-04
   7101.00  7.3958376E-04
   7101.50  7.6206213E-04
   7102.00  7.8589037E-04
   7102.50  8.1119297E-04
   7103.00  8.3811027E-04
   7103.50  8.6680118E-04
   7104.00  8.9744634E-04
   7104.50  9.3025208E-04
   7105.00  9.6545535E-04
   7105.50  1.0033298E-03
   7106.00  1.0441935E-03
   7106.50  1.0884190E-03
   7107.00  1.1364466E-03
   7107.10  1.1465528E-03
   7107.20  1.1568365E-03
   7107.30  1.1673025E-03
   7107.40  1.1779558E-03
   7107.50  1.1888018E-03
   7107.60  1.1998458E-03
   7107.70  1.2110936E-03
   7107.80  1.2225512E-03
   7107.90  1.2342248E-03
   7108.00  1.2461209E-03
   7108.10  1.2582462E-03
   7108.20  1.2706079E-03
   7108.30  1.2832135E-03
   7108.40  1.2960708E-03
   7108.50  1.3091881E-03
   7108.60  1.3225739E-03
   7108.70  1.3362376E-03
   7108.80  1.3501887E-03
   7108.90  1.3644376E-03
   7109.00  1.3789950E-03
   7109.10  1.3938727E-03
   7109.20  1.4090830E-03
   7109.30  1.4246391E-03
   7109.40  1.4405553E-03
   7109.50  1.4568470E-03
   7109.60  1.4735309E-03
   7109.70  1.4906251E-03
   7109.80  1.5081496E-03
   7109.90  1.5261263E-03
   7110.00  1.5445796E-03
   7110.10  1.5635368E-03
   7110.20  1.5830286E-03
   7110.30  1.6030898E-03
