    Energy    <xanes>    
   7072.00  5.2672286E-04
   7072.50  5.3284760E-04
   7073.00  5.3930294E-04
   7073.50  5.4590582E-04
   7074.00  5.5266132E-04
   7074.50  5.5957472E-04
   7075.00  5.6665157E-04
   7075.50  5.7389766E-04
   7076.00  5.8131907E-04
   7076.50  5.8892216E-04
   7077.00  5.9671361E-04
   7077.50  6.0470043E-04
   7078.00  6.1288997E-04
   7078.50  6.2128996E-04
   7079.00  6.2990852E-04
   7079.50  6.3875420E-04
   7080.00  6.4783597E-04
   7080.50  6.5716331E-04
   7081.00  6.6674620E-04
   7081.50  6.7659514E-04
   7082.00  6.8672125E-04
   7082.50  6.9713625E-04
   7083.00  7.0785252E-04
   7083.50  7.1888316E-04
   7084.00  7.3024204E-04
   7084.50  7.4194385E-04
   7085.00  7.5400416E-04
   7085.50  7.6643949E-04
   7086.00  7.7926737E-04
   7086.50  7.9250647E-04
   7087.00  8.0617661E-04
   7087.50  8.2029892E-04
   7088.00  8.3489592E-04
   7088.50  8.4999164E-04
   7089.00  8.6561175E-04
   7089.50  8.8178369E-04
   7090.00  8.9853684E-04
   7090.50  9.1590270E-04
   7091.00  9.3391506E-04
   7091.50  9.5261024E-04
   7092.00  9.7202731E-04
   7092.50  9.9220834E-04
   7093.00  1.0131988E-03
   7093.50  1.0350476E-03
   7094.00  1.0578080E-03
   7094.50  1.0815375E-03
   7095.00  1.1062986E-03
   7095.50  1.1321591E-03
   7096.00  1.1591933E-03
   7096.50  1.1874819E-03
   7097.00  1.2171135E-03
   7097.50  1.2481849E-03
   7098.00  1.2808028E-03
   7098.50  1.3150847E-03
   7099.00  1.3511603E-03
   7099.50  1.3891733E-03
   7100.00  1.4292833E-03
   7100.50  1.4716684E-03
   7101.00  1.5165277E-03
   7101.50  1.5640846E-03
   7102.00  1.6145914E-03
   7102.50  1.6683338E-03
   7103.00  1.7256371E-03
   7103.50  1.7868742E-03
   7104.00  1.8524752E-03
   7104.50  1.9229405E-03
   7105.00  1.9988572E-03
   7105.50  2.0809223E-03
   7106.00  2.1699746E-03
   7106.50  2.2670411E-03
   7107.00  2.3734068E-03
   7107.03  2.3799266E-03
   7107.13  2.4025822E-03
   7107.23  2.4256942E-03
   7107.33  2.4492793E-03
   7107.43  2.4733553E-03
   7107.53  2.4979409E-03
   7107.63  2.5230563E-03
   7107.73  2.5487229E-03
   7107.83  2.5749639E-03
   7107.93  2.6018040E-03
   7108.03  2.6292698E-03
   7108.13  2.6573903E-03
   7108.23  2.6861965E-03
   7108.33  2.7157226E-03
   7108.43  2.7460054E-03
   7108.53  2.7770854E-03
   7108.63  2.8090070E-03
