    Energy    <xanes>    
   7072.00  1.5276611E-03
   7072.50  1.5448054E-03
   7073.00  1.5628193E-03
   7073.50  1.5812287E-03
   7074.00  1.6000464E-03
   7074.50  1.6192861E-03
   7075.00  1.6389621E-03
   7075.50  1.6590890E-03
   7076.00  1.6796826E-03
   7076.50  1.7007590E-03
   7077.00  1.7223352E-03
   7077.50  1.7444291E-03
   7078.00  1.7670592E-03
   7078.50  1.7902453E-03
   7079.00  1.8140078E-03
   7079.50  1.8383683E-03
   7080.00  1.8633493E-03
   7080.50  1.8889748E-03
   7081.00  1.9152696E-03
   7081.50  1.9422602E-03
   7082.00  1.9699742E-03
   7082.50  1.9984409E-03
   7083.00  2.0276911E-03
   7083.50  2.0577572E-03
   7084.00  2.0886735E-03
   7084.50  2.1204764E-03
   7085.00  2.1532042E-03
   7085.50  2.1868974E-03
   7086.00  2.2215991E-03
   7086.50  2.2573550E-03
   7087.00  2.2942132E-03
   7087.50  2.3322254E-03
   7088.00  2.3714461E-03
   7088.50  2.4119335E-03
   7089.00  2.4537496E-03
   7089.50  2.4969605E-03
   7090.00  2.5416368E-03
   7090.50  2.5878539E-03
   7091.00  2.6356926E-03
   7091.50  2.6852394E-03
   7092.00  2.7365872E-03
   7092.50  2.7898359E-03
   7093.00  2.8450927E-03
   7093.50  2.9024736E-03
   7094.00  2.9621034E-03
   7094.50  3.0241174E-03
   7095.00  3.0886620E-03
   7095.50  3.1558961E-03
   7096.00  3.2259926E-03
   7096.50  3.2991400E-03
   7097.00  3.3755443E-03
   7097.50  3.4554310E-03
   7098.00  3.5390481E-03
   7098.50  3.6266684E-03
   7099.00  3.7185938E-03
   7099.50  3.8151591E-03
   7100.00  3.9167369E-03
   7100.50  4.0237442E-03
   7101.00  4.1366495E-03
   7101.50  4.2559823E-03
   7102.00  4.3823445E-03
   7102.50  4.5164254E-03
   7103.00  4.6590209E-03
   7103.50  4.8110580E-03
   7104.00  4.9736293E-03
   7104.50  5.1480384E-03
   7105.00  5.3358654E-03
   7105.50  5.5390604E-03
   7106.00  5.7600843E-03
   7106.50  6.0021253E-03
   7107.00  6.2694492E-03
   7107.10  6.3265281E-03
   7107.20  6.3852131E-03
   7107.30  6.4449784E-03
   7107.40  6.5058827E-03
   7107.50  6.5679900E-03
   7107.60  6.6322565E-03
   7107.70  6.6985491E-03
   7107.80  6.7662748E-03
   7107.90  6.8355256E-03
   7108.00  6.9064030E-03
   7108.04  6.9378459E-03
   7108.14  7.0123281E-03
   7108.24  7.0891170E-03
   7108.34  7.1683724E-03
   7108.44  7.2502724E-03
   7108.54  7.3350154E-03
   7108.64  7.4228238E-03
   7108.74  7.5139477E-03
   7108.84  7.6086691E-03
   7108.94  7.7073075E-03
   7109.04  7.8102262E-03
   7109.14  7.9178403E-03
   7109.24  8.0306260E-03
   7109.34  8.1491324E-03
   7109.44  8.2739952E-03
   7109.54  8.4059547E-03
   7109.64  8.5458773E-03
   7109.74  8.6947823E-03
   7109.84  8.8538762E-03
   7109.94  9.0245950E-03
   7110.04  9.2086583E-03
   7110.14  9.4081381E-03
   7110.24  9.6255466E-03
   7110.34  9.8639481E-03
   7110.44  1.0127103E-02
   7110.54  1.0419650E-02
   7110.64  1.0747341E-02
   7110.74  1.1117323E-02
   7110.84  1.1538491E-02
   7110.94  1.2021869E-02
   7111.04  1.2580982E-02
   7111.14  1.3232057E-02
   7111.24  1.3993731E-02
   7111.34  1.4885600E-02
   7111.44  1.5924473E-02
   7111.54  1.7116729E-02
   7111.64  1.8445582E-02
   7111.74  1.9855094E-02
   7111.84  2.1239874E-02
   7111.94  2.2456218E-02
   7112.04  2.3363735E-02
   7112.14  2.3880877E-02
   7112.24  2.4016852E-02
   7112.34  2.3859260E-02
   7112.44  2.3535128E-02
   7112.54  2.3172976E-02
   7112.64  2.2876471E-02
   7112.74  2.2708195E-02
   7112.84  2.2681798E-02
