    Energy    <xanes>    
   7072.00  2.6905351E-04
   7072.50  2.7233766E-04
   7073.00  2.7569796E-04
   7073.50  2.7913707E-04
   7074.00  2.8265778E-04
   7074.50  2.8626300E-04
   7075.00  2.8995578E-04
   7075.50  2.9373933E-04
   7076.00  2.9761700E-04
   7076.50  3.0159232E-04
   7077.00  3.0566899E-04
   7077.50  3.0985091E-04
   7078.00  3.1414215E-04
   7078.50  3.1854704E-04
   7079.00  3.2307010E-04
   7079.50  3.2771610E-04
   7080.00  3.3249008E-04
   7080.50  3.3739735E-04
   7081.00  3.4244351E-04
   7081.50  3.4763450E-04
   7082.00  3.5297656E-04
   7082.50  3.5847632E-04
   7083.00  3.6414081E-04
   7083.50  3.6997745E-04
   7084.00  3.7599413E-04
   7084.50  3.8219922E-04
   7085.00  3.8860161E-04
   7085.50  3.9521076E-04
   7086.00  4.0203673E-04
   7086.50  4.0909026E-04
   7087.00  4.1638277E-04
   7087.50  4.2392649E-04
   7088.00  4.3173446E-04
   7088.50  4.3982065E-04
   7089.00  4.4820000E-04
   7089.50  4.5688857E-04
   7090.00  4.6590356E-04
   7090.50  4.7526349E-04
   7091.00  4.8498828E-04
   7091.50  4.9509942E-04
   7092.00  5.0562007E-04
   7092.50  5.1657530E-04
   7093.00  5.2799223E-04
   7093.50  5.3990027E-04
   7094.00  5.5233136E-04
   7094.50  5.6532024E-04
   7095.00  5.7890480E-04
   7095.50  5.9312637E-04
   7096.00  6.0803019E-04
   7096.50  6.2366584E-04
   7097.00  6.4008781E-04
   7097.50  6.5735606E-04
   7098.00  6.7553679E-04
   7098.50  6.9470324E-04
   7099.00  7.1493663E-04
   7099.50  7.3632733E-04
   7100.00  7.5897616E-04
   7100.50  7.8299591E-04
   7101.00  8.0851325E-04
   7101.50  8.3567089E-04
   7102.00  8.6463022E-04
   7102.50  8.9557452E-04
   7103.00  9.2871277E-04
   7103.50  9.6428442E-04
   7104.00  1.0025652E-03
   7104.50  1.0438743E-03
   7105.00  1.0885836E-03
   7105.50  1.1371289E-03
   7106.00  1.1900249E-03
   7106.50  1.2478845E-03
   7107.00  1.3114436E-03
   7107.10  1.3249148E-03
   7107.20  1.3386571E-03
   7107.30  1.3526788E-03
   7107.40  1.3669887E-03
   7107.50  1.3815960E-03
   7107.60  1.3965100E-03
   7107.70  1.4117407E-03
   7107.80  1.4272985E-03
   7107.90  1.4431943E-03
   7108.00  1.4594394E-03
   7108.10  1.4760458E-03
   7108.20  1.4930259E-03
   7108.30  1.5103928E-03
   7108.40  1.5281604E-03
   7108.50  1.5463430E-03
   7108.60  1.5649559E-03
   7108.70  1.5840152E-03
   7108.80  1.6035378E-03
   7108.90  1.6235414E-03
   7109.00  1.6440450E-03
   7109.10  1.6650687E-03
   7109.20  1.6866334E-03
   7109.30  1.7087619E-03
   7109.40  1.7314779E-03
   7109.50  1.7548070E-03
   7109.60  1.7787765E-03
   7109.70  1.8034156E-03
   7109.80  1.8287555E-03
   7109.90  1.8548302E-03
   7110.00  1.8816761E-03
   7110.10  1.9093329E-03
   7110.20  1.9378437E-03
   7110.30  1.9672558E-03
   7110.40  1.9976215E-03
   7110.50  2.0289983E-03
   7110.60  2.0614508E-03
   7110.70  2.0950511E-03
   7110.80  2.1298810E-03
   7110.90  2.1660334E-03
   7111.00  2.2036142E-03
   7111.10  2.2427441E-03
   7111.20  2.2835598E-03
   7111.30  2.3262120E-03
   7111.40  2.3708588E-03
   7111.50  2.4176497E-03
   7111.60  2.4666961E-03
   7111.70  2.5180298E-03
   7111.80  2.5715671E-03
   7111.90  2.6271262E-03
   7112.00  2.6847556E-03
   7112.10  2.7444075E-03
   7112.20  2.8060728E-03
   7112.30  2.8699047E-03
   7112.40  2.9361812E-03
   7112.50  3.0052550E-03
   7112.60  3.0775184E-03
   7112.70  3.1533854E-03
   7112.80  3.2332856E-03
   7112.90  3.3176633E-03
   7113.00  3.4069806E-03
   7113.10  3.5017228E-03
   7113.20  3.6024058E-03
   7113.30  3.7095869E-03
   7113.40  3.8238748E-03
   7113.50  3.9459419E-03
   7113.60  4.0765371E-03
   7113.70  4.2164987E-03
   7113.80  4.3667700E-03
   7113.90  4.5284148E-03
   7114.00  4.7026359E-03
   7114.10  4.8907944E-03
   7114.20  5.0944310E-03
   7114.30  5.3152888E-03
   7114.40  5.5553364E-03
   7114.50  5.8167920E-03
   7114.60  6.1021462E-03
