    Energy    <xanes>    
   6499.00  2.7446555E-04
   6499.50  2.7785028E-04
   6500.00  2.8131382E-04
   6500.50  2.8485893E-04
   6501.00  2.8848848E-04
   6501.50  2.9220549E-04
   6502.00  2.9601313E-04
   6502.50  2.9991471E-04
   6503.00  3.0391371E-04
   6503.50  3.0801377E-04
   6504.00  3.1221874E-04
   6504.50  3.1653264E-04
   6505.00  3.2095970E-04
   6505.50  3.2550439E-04
   6506.00  3.3017139E-04
   6506.50  3.3496564E-04
   6507.00  3.3989237E-04
   6507.50  3.4495705E-04
   6508.00  3.5016549E-04
   6508.50  3.5552382E-04
   6509.00  3.6103851E-04
   6509.50  3.6671642E-04
   6510.00  3.7256481E-04
   6510.50  3.7859136E-04
   6511.00  3.8480422E-04
   6511.50  3.9121204E-04
   6512.00  3.9782402E-04
   6512.50  4.0464993E-04
   6513.00  4.1170016E-04
   6513.50  4.1898580E-04
   6514.00  4.2651865E-04
   6514.50  4.3431132E-04
   6515.00  4.4237729E-04
   6515.50  4.5073095E-04
   6516.00  4.5938773E-04
   6516.50  4.6836416E-04
   6517.00  4.7767800E-04
   6517.50  4.8734831E-04
   6518.00  4.9739561E-04
   6518.50  5.0784201E-04
   6519.00  5.1871135E-04
   6519.50  5.3002941E-04
   6520.00  5.4182404E-04
   6520.50  5.5412547E-04
   6521.00  5.6696646E-04
   6521.50  5.8038267E-04
   6522.00  5.9441289E-04
   6522.50  6.0909947E-04
   6523.00  6.2448869E-04
   6523.50  6.4063121E-04
   6524.00  6.5758267E-04
   6524.50  6.7540421E-04
   6525.00  6.9416326E-04
   6525.50  7.1393431E-04
   6526.00  7.3479984E-04
   6526.50  7.5685150E-04
   6527.00  7.8019130E-04
   6527.50  8.0493322E-04
   6528.00  8.3120494E-04
   6528.50  8.5915000E-04
   6529.00  8.8893033E-04
   6529.50  9.2072928E-04
   6530.00  9.5475533E-04
   6530.50  9.9124657E-04
   6531.00  1.0304762E-03
   6531.50  1.0727591E-03
   6532.00  1.1184609E-03
   6532.50  1.1680078E-03
   6533.00  1.2219010E-03
   6533.50  1.2807339E-03
   6534.00  1.3452157E-03
   6534.10  1.3588623E-03
   6534.20  1.3727761E-03
   6534.30  1.3869652E-03
   6534.40  1.4014379E-03
   6534.50  1.4162028E-03
   6534.60  1.4312691E-03
   6534.70  1.4466461E-03
   6534.80  1.4623437E-03
   6534.90  1.4783723E-03
   6535.00  1.4947426E-03
   6535.10  1.5114661E-03
   6535.20  1.5285544E-03
   6535.30  1.5460201E-03
   6535.40  1.5638763E-03
   6535.50  1.5821366E-03
   6535.60  1.6008156E-03
   6535.70  1.6199285E-03
   6535.80  1.6394913E-03
   6535.90  1.6595212E-03
   6536.00  1.6800360E-03
   6536.10  1.7010550E-03
   6536.20  1.7225984E-03
   6536.30  1.7446878E-03
   6536.40  1.7673464E-03
   6536.50  1.7905988E-03
   6536.60  1.8144716E-03
   6536.70  1.8389933E-03
   6536.80  1.8641949E-03
   6536.90  1.8901100E-03
   6537.00  1.9167750E-03
   6537.10  1.9442301E-03
   6537.20  1.9725195E-03
   6537.30  2.0016922E-03
   6537.40  2.0318030E-03
   6537.50  2.0629137E-03
   6537.60  2.0950943E-03
   6537.70  2.1284253E-03
   6537.80  2.1629994E-03
   6537.90  2.1989253E-03
   6538.00  2.2363304E-03
   6538.10  2.2753658E-03
   6538.20  2.3162097E-03
   6538.30  2.3590707E-03
   6538.40  2.4041856E-03
   6538.50  2.4518065E-03
   6538.60  2.5021660E-03
   6538.70  2.5554114E-03
   6538.80  2.6115145E-03
   6538.90  2.6702151E-03
   6539.00  2.7311480E-03
   6539.10  2.7943260E-03
   6539.20  2.8598496E-03
   6539.30  2.9282023E-03
   6539.40  3.0001827E-03
   6539.50  3.0766998E-03
   6539.60  3.1585803E-03
   6539.70  3.2463663E-03
   6539.80  3.3400394E-03
   6539.90  3.4386734E-03
   6540.00  3.5401644E-03
   6540.10  3.6413395E-03
   6540.20  3.7387205E-03
   6540.30  3.8298949E-03
   6540.40  3.9148589E-03
   6540.50  3.9963063E-03
   6540.60  4.0785007E-03
   6540.70  4.1656568E-03
   6540.80  4.2609568E-03
   6540.90  4.3664266E-03
   6541.00  4.4832586E-03
   6541.10  4.6121932E-03
   6541.20  4.7537968E-03
   6541.30  4.9086307E-03
   6541.40  5.0773462E-03
   6541.50  5.2607442E-03
   6541.60  5.4598186E-03
   6541.70  5.6757887E-03
   6541.80  5.9101239E-03
   6541.90  6.1645613E-03
   6542.00  6.4411209E-03
   6542.10  6.7421216E-03
   6542.20  7.0701942E-03
   6542.30  7.4282916E-03
   6542.40  7.8196914E-03
   6542.50  8.2479905E-03
   6542.60  8.7170940E-03
   6542.70  9.2312120E-03
   6542.80  9.7948830E-03
   6542.90  1.0413050E-02
   6543.00  1.1091200E-02
