    Energy    <xanes>    
   9619.00  2.9859357E-04
   9619.50  3.0250255E-04
   9620.00  3.0650930E-04
   9620.50  3.1061750E-04
   9621.00  3.1483100E-04
   9621.50  3.1915386E-04
   9622.00  3.2359033E-04
   9622.50  3.2814489E-04
   9623.00  3.3282227E-04
   9623.50  3.3762742E-04
   9624.00  3.4256558E-04
   9624.50  3.4764228E-04
   9625.00  3.5286334E-04
   9625.50  3.5823493E-04
   9626.00  3.6376354E-04
   9626.50  3.6945606E-04
   9627.00  3.7531977E-04
   9627.50  3.8136240E-04
   9628.00  3.8759212E-04
   9628.50  3.9401761E-04
   9629.00  4.0064810E-04
   9629.50  4.0749337E-04
   9630.00  4.1456386E-04
   9630.50  4.2187065E-04
   9631.00  4.2942559E-04
   9631.50  4.3724127E-04
   9632.00  4.4533119E-04
   9632.50  4.5370974E-04
   9633.00  4.6239233E-04
   9633.50  4.7139547E-04
   9634.00  4.8073688E-04
   9634.50  4.9043557E-04
   9635.00  5.0051197E-04
   9635.50  5.1098810E-04
   9636.00  5.2188765E-04
   9636.50  5.3323622E-04
   9637.00  5.4506147E-04
   9637.50  5.5739333E-04
   9638.00  5.7026424E-04
   9638.50  5.8370940E-04
   9639.00  5.9776712E-04
   9639.50  6.1247910E-04
   9640.00  6.2789082E-04
   9640.50  6.4405202E-04
   9641.00  6.6101715E-04
   9641.50  6.7884596E-04
   9642.00  6.9760414E-04
   9642.50  7.1736406E-04
   9643.00  7.3820565E-04
   9643.50  7.6021741E-04
   9644.00  7.8349752E-04
   9644.50  8.0815523E-04
   9645.00  8.3431242E-04
   9645.50  8.6210547E-04
   9646.00  8.9168747E-04
   9646.50  9.2323077E-04
   9647.00  9.5693016E-04
   9647.50  9.9300653E-04
   9648.00  1.0317114E-03
   9648.50  1.0733323E-03
   9649.00  1.1181996E-03
   9649.50  1.1666945E-03
   9650.00  1.2192595E-03
   9650.50  1.2764109E-03
   9651.00  1.3387552E-03
   9651.50  1.4070100E-03
   9652.00  1.4820310E-03
   9652.50  1.5648479E-03
   9653.00  1.6567132E-03
   9653.50  1.7591698E-03
   9654.00  1.8741478E-03
   9654.10  1.8988512E-03
   9654.20  1.9241745E-03
   9654.30  1.9501418E-03
   9654.40  1.9767785E-03
   9654.50  2.0041116E-03
   9654.60  2.0321698E-03
   9654.70  2.0609836E-03
   9654.80  2.0905854E-03
   9654.90  2.1210096E-03
   9655.00  2.1522933E-03
   9655.10  2.1844760E-03
   9655.20  2.2176002E-03
   9655.30  2.2517116E-03
   9655.40  2.2868598E-03
   9655.50  2.3230982E-03
   9655.60  2.3604850E-03
   9655.70  2.3990836E-03
   9655.80  2.4389634E-03
   9655.90  2.4802009E-03
   9656.00  2.5228802E-03
   9656.10  2.5670946E-03
   9656.20  2.6129478E-03
   9656.30  2.6605558E-03
   9656.40  2.7100480E-03
   9656.50  2.7615697E-03
   9656.60  2.8152836E-03
   9656.70  2.8713715E-03
   9656.80  2.9300342E-03
   9656.90  2.9914908E-03
   9657.00  3.0559732E-03
   9657.10  3.1237152E-03
   9657.20  3.1949319E-03
   9657.30  3.2697875E-03
   9657.40  3.3483475E-03
   9657.50  3.4305225E-03
   9657.60  3.5160152E-03
   9657.70  3.6043009E-03
   9657.80  3.6948949E-03
   9657.90  3.7872579E-03
   9658.00  3.8808620E-03
   9658.10  3.9755857E-03
   9658.20  4.0718191E-03
   9658.30  4.1704012E-03
   9658.40  4.2724265E-03
   9658.50  4.3790157E-03
   9658.60  4.4911317E-03
   9658.70  4.6094691E-03
   9658.80  4.7344100E-03
   9658.90  4.8660277E-03
   9659.00  5.0041437E-03
   9659.10  5.1484542E-03
   9659.20  5.2987323E-03
   9659.30  5.4550686E-03
   9659.40  5.6180603E-03
   9659.50  5.7888616E-03
   9659.60  5.9690767E-03
   9659.70  6.1605637E-03
   9659.80  6.3652477E-03
   9659.90  6.5850081E-03
   9660.00  6.8216428E-03
   9660.10  7.0768816E-03
   9660.20  7.3524111E-03
   9660.30  7.6498855E-03
   9660.40  7.9709102E-03
   9660.50  8.3169957E-03
   9660.60  8.6894926E-03
   9660.70  9.0895346E-03
   9660.80  9.5180388E-03
   9660.90  9.9758301E-03
   9661.00  1.0463949E-02
   9661.10  1.0984143E-02
   9661.20  1.1539425E-02
   9661.30  1.2134505E-02
   9661.40  1.2775902E-02
   9661.50  1.3471704E-02
   9661.60  1.4231106E-02
   9661.70  1.5063925E-02
   9661.80  1.5980233E-02
   9661.90  1.6990118E-02
   9662.00  1.8103505E-02
   9662.10  1.9329944E-02
   9662.20  2.0678269E-02
   9662.30  2.2156076E-02
   9662.40  2.3769008E-02
   9662.50  2.5519876E-02
   9662.60  2.7407715E-02
   9662.70  2.9426923E-02
   9662.80  3.1566693E-02
   9662.90  3.3810923E-02
   9663.00  3.6138694E-02
   9663.10  3.8525221E-02
   9663.20  4.0942983E-02
   9663.30  4.3362661E-02
   9663.40  4.5753685E-02
   9663.50  4.8084496E-02
   9663.60  5.0323050E-02
   9663.70  5.2438106E-02
   9663.80  5.4401648E-02
   9663.90  5.6192147E-02
   9664.00  5.7797854E-02
   9664.20  6.0467874E-02
   9664.40  6.2543464E-02
   9664.60  6.4242928E-02
   9664.80  6.5741822E-02
   9665.00  6.7118528E-02
   9665.20  6.8396395E-02
   9665.40  6.9611614E-02
   9665.60  7.0839425E-02
   9665.80  7.2171560E-02
   9666.00  7.3675542E-02
   9666.20  7.5363282E-02
   9666.40  7.7180576E-02
   9666.60  7.9019412E-02
   9666.80  8.0748788E-02
   9667.00  8.2251389E-02
   9667.20  8.3447600E-02
   9667.40  8.4295252E-02
   9667.60  8.4770714E-02
   9667.80  8.4848676E-02
   9668.00  8.4495771E-02
   9668.20  8.3683000E-02
   9668.40  8.2410052E-02
   9668.60  8.0725490E-02
   9668.80  7.8727870E-02
   9669.00  7.6546134E-02
   9669.20  7.4311681E-02
   9669.40  7.2136802E-02
   9669.60  7.0105474E-02
   9669.80  6.8273147E-02
   9670.00  6.6669351E-02
   9670.20  6.5299872E-02
   9670.40  6.4148962E-02
   9670.60  6.3183205E-02
   9670.80  6.2357564E-02
   9671.00  6.1622532E-02
   9671.20  6.0930611E-02
   9671.40  6.0240822E-02
   9671.60  5.9520930E-02
   9671.80  5.8747885E-02
   9672.00  5.7907268E-02
   9672.20  5.6992319E-02
   9672.40  5.6002888E-02
   9672.60  5.4944420E-02
   9672.80  5.3827016E-02
   9673.00  5.2664498E-02
   9673.20  5.1473414E-02
   9673.40  5.0271917E-02
   9673.60  4.9078529E-02
   9673.80  4.7910927E-02
   9674.00  4.6784887E-02
   9674.20  4.5713524E-02
   9674.40  4.4706899E-02
   9674.60  4.3771959E-02
   9674.80  4.2912766E-02
   9675.00  4.2130892E-02
   9675.20  4.1425926E-02
   9675.40  4.0795980E-02
   9675.60  4.0238167E-02
   9675.80  3.9748998E-02
   9676.00  3.9324686E-02
   9676.20  3.8961349E-02
   9676.40  3.8655122E-02
   9676.60  3.8402200E-02
   9676.80  3.8198847E-02
   9677.00  3.8041374E-02
   9677.20  3.7926135E-02
   9677.40  3.7849525E-02
   9677.60  3.7808002E-02
   9677.80  3.7798115E-02
   9678.00  3.7816534E-02
   9678.20  3.7860078E-02
   9678.40  3.7925728E-02
   9678.60  3.8010623E-02
   9678.80  3.8112050E-02
   9679.00  3.8227419E-02
   9680.00  3.8928942E-02
   9681.00  3.9639822E-02
   9682.00  4.0156210E-02
   9683.00  4.0376546E-02
   9684.00  4.0263990E-02
   9685.00  3.9807613E-02
   9686.00  3.9034516E-02
   9687.00  3.8038695E-02
   9688.00  3.6973299E-02
   9689.00  3.6004487E-02
   9690.00  3.5265381E-02
   9691.00  3.4837778E-02
   9692.00  3.4757612E-02
   9693.00  3.5027327E-02
   9694.00  3.5625903E-02
   9695.00  3.6516252E-02
   9696.00  3.7651978E-02
   9697.00  3.8983074E-02
   9698.00  4.0457749E-02
   9699.00  4.2019720E-02
   9700.00  4.3605134E-02
   9701.00  4.5144586E-02
   9702.00  4.6571498E-02
   9703.00  4.7832984E-02
   9704.00  4.8897761E-02
   9705.00  4.9757832E-02
   9706.00  5.0423807E-02
   9707.00  5.0916358E-02
   9708.00  5.1257713E-02
   9709.00  5.1466244E-02
   9710.00  5.1554796E-02
   9711.00  5.1531392E-02
   9712.00  5.1400892E-02
   9713.00  5.1167273E-02
   9714.00  5.0836736E-02
   9715.00  5.0421065E-02
   9716.00  4.9939637E-02
   9717.00  4.9418561E-02
   9718.00  4.8886816E-02
   9719.00  4.8370822E-02
   9720.00  4.7889530E-02
   9721.00  4.7451675E-02
   9722.00  4.7055805E-02
   9723.00  4.6692675E-02
   9724.00  4.6349109E-02
   9725.00  4.6012320E-02
   9726.00  4.5673733E-02
   9727.00  4.5331550E-02
   9728.00  4.4991498E-02
   9729.00  4.4665497E-02
   9730.00  4.4368505E-02
   9731.00  4.4114476E-02
   9732.00  4.3912705E-02
   9733.00  4.3765757E-02
   9734.00  4.3669487E-02
   9735.00  4.3614981E-02
   9736.00  4.3591632E-02
   9737.00  4.3590267E-02
   9738.00  4.3605331E-02
   9739.00  4.3635557E-02
   9740.00  4.3683190E-02
   9741.00  4.3752356E-02
   9742.00  4.3847312E-02
   9743.00  4.3971131E-02
   9744.00  4.4125088E-02
   9745.00  4.4308737E-02
   9746.00  4.4520406E-02
   9747.00  4.4757784E-02
   9748.00  4.5018307E-02
   9749.00  4.5299309E-02
   9750.00  4.5597994E-02
   9751.00  4.5911301E-02
   9752.00  4.6235652E-02
   9753.00  4.6566597E-02
   9754.00  4.6898518E-02
   9755.00  4.7224676E-02
   9756.00  4.7537811E-02
   9757.00  4.7831202E-02
   9758.00  4.8099794E-02
   9759.00  4.8340900E-02
