    Energy    <xanes>    
  11231.00  3.1696199E-03
  11231.50  3.2052765E-03
  11232.00  3.2416965E-03
  11232.50  3.2789049E-03
  11233.00  3.3169274E-03
  11233.50  3.3557910E-03
  11234.00  3.3955240E-03
  11234.50  3.4361559E-03
  11235.00  3.4777175E-03
  11235.50  3.5202412E-03
  11236.00  3.5637607E-03
  11236.50  3.6083115E-03
  11237.00  3.6539308E-03
  11237.50  3.7006575E-03
  11238.00  3.7485324E-03
  11238.50  3.7975987E-03
  11239.00  3.8479013E-03
  11239.50  3.8994878E-03
  11240.00  3.9524080E-03
  11240.50  4.0067146E-03
  11241.00  4.0624630E-03
  11241.50  4.1197116E-03
  11242.00  4.1785221E-03
  11242.50  4.2389596E-03
  11243.00  4.3010929E-03
  11243.50  4.3649949E-03
  11244.00  4.4307426E-03
  11244.50  4.4984178E-03
  11245.00  4.5681071E-03
  11245.50  4.6399025E-03
  11246.00  4.7139018E-03
  11246.50  4.7902091E-03
  11247.00  4.8689350E-03
  11247.50  4.9501978E-03
  11248.00  5.0341234E-03
  11248.50  5.1208467E-03
  11249.00  5.2105116E-03
  11249.50  5.3032727E-03
  11250.00  5.3992956E-03
  11250.50  5.4987582E-03
  11251.00  5.6018520E-03
  11251.50  5.7087835E-03
  11252.00  5.8197751E-03
  11252.50  5.9350678E-03
  11253.00  6.0549222E-03
  11253.50  6.1796213E-03
  11254.00  6.3094728E-03
  11254.50  6.4448118E-03
  11255.00  6.5860044E-03
  11255.50  6.7334512E-03
  11256.00  6.8875918E-03
  11256.50  7.0489100E-03
  11257.00  7.2179394E-03
  11257.50  7.3952705E-03
  11258.00  7.5815590E-03
  11258.50  7.7775354E-03
  11259.00  7.9840165E-03
  11259.50  8.2019195E-03
  11260.00  8.4322784E-03
  11260.50  8.6762645E-03
  11261.00  8.9352113E-03
  11261.50  9.2106453E-03
  11262.00  9.5043238E-03
  11262.50  9.8182827E-03
  11263.00  1.0154896E-02
  11263.50  1.0516955E-02
  11264.00  1.0907759E-02
  11264.50  1.1331248E-02
  11265.00  1.1792156E-02
  11265.50  1.2296218E-02
  11266.00  1.2850422E-02
  11266.10  1.2968001E-02
  11266.20  1.3087999E-02
  11266.30  1.3210495E-02
  11266.40  1.3335573E-02
  11266.50  1.3463320E-02
  11266.60  1.3593825E-02
  11266.70  1.3727183E-02
  11266.80  1.3863490E-02
  11266.90  1.4002848E-02
  11267.00  1.4145362E-02
  11267.10  1.4291140E-02
  11267.20  1.4440295E-02
  11267.30  1.4592943E-02
  11267.40  1.4749205E-02
  11267.50  1.4909202E-02
  11267.60  1.5073063E-02
  11267.70  1.5240916E-02
  11267.80  1.5412895E-02
  11267.90  1.5589135E-02
  11268.00  1.5769771E-02
  11268.10  1.5954942E-02
  11268.20  1.6144785E-02
  11268.30  1.6339438E-02
  11268.40  1.6539034E-02
  11268.50  1.6743706E-02
  11268.60  1.6953580E-02
  11268.70  1.7168774E-02
  11268.80  1.7389400E-02
  11268.90  1.7615555E-02
  11269.00  1.7847325E-02
  11269.10  1.8084777E-02
  11269.20  1.8327958E-02
  11269.30  1.8576893E-02
  11269.40  1.8831579E-02
  11269.50  1.9091982E-02
  11269.60  1.9358038E-02
  11269.70  1.9629645E-02
  11269.80  1.9906660E-02
  11269.90  2.0188904E-02
  11270.00  2.0476153E-02
  11270.10  2.0768144E-02
  11270.20  2.1064576E-02
  11270.30  2.1365110E-02
  11270.40  2.1669379E-02
  11270.50  2.1976992E-02
  11270.60  2.2287545E-02
  11270.70  2.2600634E-02
  11270.80  2.2915864E-02
  11270.90  2.3232868E-02
  11271.00  2.3551323E-02
  11271.10  2.3871227E-02
  11271.20  2.4192660E-02
  11271.30  2.4515526E-02
  11271.40  2.4839834E-02
  11271.50  2.5165708E-02
  11271.60  2.5493393E-02
  11271.70  2.5823256E-02
  11271.80  2.6155786E-02
  11271.90  2.6491587E-02
  11272.00  2.6831367E-02
  11272.10  2.7175928E-02
  11272.20  2.7526149E-02
  11272.30  2.7882971E-02
  11272.40  2.8247375E-02
  11272.50  2.8620371E-02
  11272.60  2.9002979E-02
  11272.70  2.9396208E-02
  11272.80  2.9801052E-02
  11272.90  3.0218468E-02
  11273.00  3.0649369E-02
  11273.10  3.1094619E-02
  11273.20  3.1555015E-02
  11273.30  3.2031290E-02
  11273.40  3.2524103E-02
  11273.50  3.3034032E-02
  11273.60  3.3561571E-02
  11273.70  3.4107127E-02
  11273.80  3.4671011E-02
  11273.90  3.5253436E-02
  11274.00  3.5854513E-02
  11274.10  3.6474243E-02
  11274.20  3.7112516E-02
  11274.30  3.7769107E-02
  11274.40  3.8443669E-02
  11274.50  3.9135736E-02
  11274.60  3.9844719E-02
  11274.70  4.0569905E-02
  11274.80  4.1310465E-02
  11274.90  4.2065456E-02
  11275.00  4.2833825E-02
  11275.10  4.3614425E-02
  11275.20  4.4406021E-02
  11275.30  4.5207310E-02
  11275.40  4.6016933E-02
  11275.50  4.6833495E-02
  11275.60  4.7655589E-02
  11275.70  4.8481809E-02
  11275.80  4.9310776E-02
  11275.90  5.0141160E-02
  11276.00  5.0971693E-02
  11276.20  5.2628584E-02
  11276.40  5.4273280E-02
  11276.60  5.5899589E-02
  11276.80  5.7503519E-02
  11277.00  5.9083340E-02
  11277.20  6.0639506E-02
  11277.40  6.2174492E-02
  11277.60  6.3692582E-02
  11277.80  6.5199630E-02
  11278.00  6.6702819E-02
  11278.20  6.8210412E-02
  11278.40  6.9731478E-02
  11278.60  7.1275590E-02
  11278.80  7.2852489E-02
  11279.00  7.4471717E-02
  11279.20  7.6142246E-02
  11279.40  7.7872128E-02
  11279.60  7.9668197E-02
  11279.80  8.1535847E-02
  11280.00  8.3478898E-02
  11280.20  8.5499564E-02
  11280.40  8.7598492E-02
  11280.60  8.9774872E-02
  11280.80  9.2026587E-02
  11281.00  9.4350380E-02
  11281.20  9.6742007E-02
  11281.40  9.9196386E-02
  11281.60  1.0170770E-01
  11281.80  1.0426946E-01
  11282.00  1.0687457E-01
  11282.20  1.0951528E-01
  11282.40  1.1218322E-01
  11282.60  1.1486929E-01
  11282.80  1.1756360E-01
  11283.00  1.2025545E-01
  11283.20  1.2293329E-01
  11283.40  1.2558477E-01
  11283.60  1.2819685E-01
  11283.80  1.3075606E-01
  11284.00  1.3324883E-01
  11284.20  1.3566194E-01
  11284.40  1.3798300E-01
  11284.60  1.4020099E-01
  11284.80  1.4230673E-01
  11285.00  1.4429326E-01
  11285.20  1.4615607E-01
  11285.40  1.4789321E-01
  11285.60  1.4950514E-01
  11285.80  1.5099451E-01
  11286.00  1.5236578E-01
  11286.20  1.5362475E-01
  11286.40  1.5477816E-01
  11286.60  1.5583320E-01
  11286.80  1.5679718E-01
  11287.00  1.5767721E-01
  11287.20  1.5848000E-01
  11287.40  1.5921174E-01
  11287.60  1.5987808E-01
  11287.80  1.6048410E-01
  11288.00  1.6103442E-01
  11288.20  1.6153327E-01
  11288.40  1.6198456E-01
  11288.60  1.6239208E-01
  11288.80  1.6275949E-01
  11289.00  1.6309049E-01
  11289.20  1.6338886E-01
  11289.40  1.6365849E-01
  11289.60  1.6390341E-01
