    Energy    <xanes>    
  11231.00  3.1419775E-03
  11231.50  3.1784361E-03
  11232.00  3.2156945E-03
  11232.50  3.2537792E-03
  11233.00  3.2927180E-03
  11233.50  3.3325397E-03
  11234.00  3.3732748E-03
  11234.50  3.4149549E-03
  11235.00  3.4576131E-03
  11235.50  3.5012844E-03
  11236.00  3.5460052E-03
  11236.50  3.5918137E-03
  11237.00  3.6387501E-03
  11237.50  3.6868565E-03
  11238.00  3.7361773E-03
  11238.50  3.7867590E-03
  11239.00  3.8386507E-03
  11239.50  3.8919039E-03
  11240.00  3.9465731E-03
  11240.50  4.0027156E-03
  11241.00  4.0603920E-03
  11241.50  4.1196662E-03
  11242.00  4.1806057E-03
  11242.50  4.2432821E-03
  11243.00  4.3077710E-03
  11243.50  4.3741527E-03
  11244.00  4.4425121E-03
  11244.50  4.5129397E-03
  11245.00  4.5855315E-03
  11245.50  4.6603895E-03
  11246.00  4.7376227E-03
  11246.50  4.8173468E-03
  11247.00  4.8996859E-03
  11247.50  4.9847720E-03
  11248.00  5.0727470E-03
  11248.50  5.1637624E-03
  11249.00  5.2579810E-03
  11249.50  5.3555777E-03
  11250.00  5.4567407E-03
  11250.50  5.5616728E-03
  11251.00  5.6705929E-03
  11251.50  5.7837378E-03
  11252.00  5.9013640E-03
  11252.50  6.0237497E-03
  11253.00  6.1511977E-03
  11253.50  6.2840379E-03
  11254.00  6.4226306E-03
  11254.50  6.5673704E-03
  11255.00  6.7186901E-03
  11255.50  6.8770663E-03
  11256.00  7.0430249E-03
  11256.50  7.2171478E-03
  11257.00  7.4000814E-03
  11257.50  7.5925459E-03
  11258.00  7.7953465E-03
  11258.50  8.0093876E-03
  11259.00  8.2356884E-03
  11259.50  8.4754035E-03
  11260.00  8.7298467E-03
  11260.50  9.0005210E-03
  11261.00  9.2891552E-03
  11261.50  9.5977504E-03
  11262.00  9.9286372E-03
  11262.50  1.0284549E-02
  11263.00  1.0668715E-02
  11263.50  1.1084980E-02
  11264.00  1.1537959E-02
  11264.50  1.2033233E-02
  11265.00  1.2577610E-02
  11265.50  1.3179452E-02
  11266.00  1.3849091E-02
  11266.10  1.3992231E-02
  11266.20  1.4138701E-02
  11266.30  1.4288621E-02
  11266.40  1.4442118E-02
  11266.50  1.4599322E-02
  11266.60  1.4760371E-02
  11266.70  1.4925407E-02
  11266.80  1.5094578E-02
  11266.90  1.5268038E-02
  11267.00  1.5445947E-02
  11267.10  1.5628471E-02
  11267.20  1.5815781E-02
  11267.30  1.6008054E-02
  11267.40  1.6205473E-02
  11267.50  1.6408226E-02
  11267.60  1.6616507E-02
  11267.70  1.6830511E-02
  11267.80  1.7050440E-02
  11267.90  1.7276496E-02
  11268.00  1.7508886E-02
  11268.10  1.7747813E-02
  11268.20  1.7993482E-02
  11268.30  1.8246092E-02
  11268.40  1.8505839E-02
  11268.50  1.8772907E-02
  11268.60  1.9047473E-02
  11268.70  1.9329696E-02
  11268.80  1.9619717E-02
  11268.90  1.9917651E-02
  11269.00  2.0223588E-02
  11269.10  2.0537582E-02
  11269.20  2.0859647E-02
  11269.30  2.1189749E-02
  11269.40  2.1527805E-02
  11269.50  2.1873668E-02
  11269.60  2.2227129E-02
  11269.70  2.2587906E-02
  11269.80  2.2955638E-02
  11269.90  2.3329887E-02
