    Energy    <xanes>    
  17958.00  2.4055707E-03
  17958.50  2.4342702E-03
  17959.00  2.4636133E-03
  17959.50  2.4936218E-03
  17960.00  2.5243182E-03
  17960.50  2.5557262E-03
  17961.00  2.5878708E-03
  17961.50  2.6207779E-03
  17962.00  2.6544746E-03
  17962.50  2.6889896E-03
  17963.00  2.7243528E-03
  17963.50  2.7605955E-03
  17964.00  2.7977507E-03
  17964.50  2.8358531E-03
  17965.00  2.8749390E-03
  17965.50  2.9150468E-03
  17966.00  2.9562168E-03
  17966.50  2.9984914E-03
  17967.00  3.0419154E-03
  17967.50  3.0865360E-03
  17968.00  3.1324030E-03
  17968.50  3.1795692E-03
  17969.00  3.2280902E-03
  17969.50  3.2780250E-03
  17970.00  3.3294358E-03
  17970.50  3.3823888E-03
  17971.00  3.4369542E-03
  17971.50  3.4932065E-03
  17972.00  3.5512249E-03
  17972.50  3.6110936E-03
  17973.00  3.6729023E-03
  17973.50  3.7367467E-03
  17974.00  3.8027289E-03
  17974.50  3.8709581E-03
  17975.00  3.9415508E-03
  17975.50  4.0146323E-03
  17976.00  4.0903365E-03
  17976.50  4.1688075E-03
  17977.00  4.2502003E-03
  17977.50  4.3346816E-03
  17978.00  4.4224315E-03
  17978.50  4.5136444E-03
  17979.00  4.6085308E-03
  17979.50  4.7073190E-03
  17980.00  4.8102568E-03
  17980.50  4.9176140E-03
  17981.00  5.0296849E-03
  17981.50  5.1467912E-03
  17982.00  5.2692852E-03
  17982.50  5.3975538E-03
  17983.00  5.5320234E-03
  17983.50  5.6731643E-03
  17984.00  5.8214979E-03
  17984.50  5.9776032E-03
  17985.00  6.1421258E-03
  17985.50  6.3157880E-03
  17986.00  6.4994017E-03
  17986.50  6.6938825E-03
  17987.00  6.9002689E-03
  17987.50  7.1197440E-03
  17988.00  7.3536636E-03
  17988.50  7.6035910E-03
  17989.00  7.8713410E-03
  17989.50  8.1590364E-03
  17990.00  8.4691808E-03
  17990.50  8.8047546E-03
  17991.00  9.1693426E-03
  17991.50  9.5673071E-03
  17992.00  1.0004024E-02
  17992.50  1.0486217E-02
  17993.00  1.1022421E-02
  17993.10  1.1137060E-02
  17993.20  1.1254393E-02
  17993.30  1.1374527E-02
  17993.40  1.1497578E-02
  17993.50  1.1623666E-02
  17993.60  1.1752921E-02
  17993.70  1.1885478E-02
  17993.80  1.2021482E-02
  17993.90  1.2161086E-02
  17994.00  1.2304452E-02
  17994.10  1.2451755E-02
  17994.20  1.2603177E-02
  17994.30  1.2758913E-02
  17994.40  1.2919172E-02
  17994.50  1.3084175E-02
  17994.60  1.3254157E-02
  17994.70  1.3429368E-02
  17994.80  1.3610076E-02
  17994.90  1.3796563E-02
  17995.00  1.3989132E-02
  17995.10  1.4188102E-02
  17995.20  1.4393815E-02
  17995.30  1.4606632E-02
  17995.40  1.4826934E-02
  17995.50  1.5055124E-02
  17995.60  1.5291627E-02
  17995.70  1.5536889E-02
  17995.80  1.5791375E-02
  17995.90  1.6055568E-02
  17996.00  1.6329965E-02
  17996.10  1.6615076E-02
  17996.20  1.6911414E-02
  17996.30  1.7219492E-02
  17996.40  1.7539810E-02
  17996.50  1.7872845E-02
  17996.60  1.8219035E-02
  17996.70  1.8578763E-02
  17996.80  1.8952335E-02
  17996.90  1.9339960E-02
  17997.00  1.9741722E-02
  17997.10  2.0157553E-02
  17997.20  2.0587211E-02
  17997.30  2.1030253E-02
  17997.40  2.1486018E-02
  17997.50  2.1953615E-02
  17997.60  2.2431919E-02
  17997.70  2.2919586E-02
  17997.80  2.3415076E-02
  17997.90  2.3916687E-02
  17998.00  2.4422609E-02
  17998.10  2.4931340E-02
  17998.20  2.5441369E-02
  17998.30  2.5950902E-02
  17998.40  2.6458275E-02
  17998.50  2.6962013E-02
  17998.60  2.7460859E-02
  17998.70  2.7953812E-02
  17998.80  2.8440149E-02
  17998.90  2.8919451E-02
  17999.00  2.9391637E-02
  17999.10  2.9856998E-02
  17999.20  3.0316243E-02
  17999.30  3.0770537E-02
  17999.40  3.1221531E-02
  17999.50  3.1671383E-02
  17999.60  3.2122745E-02
  17999.70  3.2578722E-02
  17999.80  3.3042812E-02
  17999.90  3.3518807E-02
  18000.00  3.4010691E-02
  18000.10  3.4522518E-02
  18000.20  3.5058303E-02
  18000.30  3.5621912E-02
  18000.40  3.6216972E-02
  18000.50  3.6846798E-02
  18000.60  3.7514337E-02
  18000.70  3.8222121E-02
  18000.80  3.8972241E-02
  18000.90  3.9766327E-02
  18001.00  4.0605530E-02
  18001.10  4.1490512E-02
  18001.20  4.2421444E-02
  18001.30  4.3397998E-02
  18001.40  4.4419353E-02
  18001.50  4.5484198E-02
  18001.60  4.6590744E-02
  18001.70  4.7736750E-02
  18001.80  4.8919549E-02
  18001.90  5.0136082E-02
  18002.00  5.1382952E-02
  18002.10  5.2656470E-02
  18002.20  5.3952721E-02
  18002.30  5.5267627E-02
  18002.40  5.6597019E-02
  18002.50  5.7936706E-02
  18002.60  5.9282551E-02
  18002.70  6.0630536E-02
  18002.80  6.1976834E-02
  18002.90  6.3317860E-02
  18003.00  6.4650327E-02
  18003.20  6.7278141E-02
  18003.40  6.9841175E-02
  18003.60  7.2326779E-02
  18003.80  7.4729200E-02
  18004.00  7.7050134E-02
  18004.20  7.9299402E-02
  18004.40  8.1495476E-02
  18004.60  8.3665345E-02
  18004.80  8.5843228E-02
  18005.00  8.8067986E-02
  18005.20  9.0379503E-02
  18005.40  9.2814711E-02
  18005.60  9.5404003E-02
  18005.80  9.8168665E-02
  18006.00  1.0111965E-01
  18006.20  1.0425770E-01
  18006.40  1.0757472E-01
  18006.60  1.1105602E-01
  18006.80  1.1468311E-01
  18007.00  1.1843646E-01
  18007.20  1.2229797E-01
  18007.40  1.2625254E-01
  18007.60  1.3028879E-01
  18007.80  1.3439870E-01
  18008.00  1.3857638E-01
  18008.20  1.4281613E-01
  18008.40  1.4711010E-01
  18008.60  1.5144592E-01
  18008.80  1.5580464E-01
  18009.00  1.6015929E-01
  18009.20  1.6447435E-01
  18009.40  1.6870621E-01
  18009.60  1.7280483E-01
  18009.80  1.7671638E-01
  18010.00  1.8038685E-01
  18010.20  1.8376621E-01
  18010.40  1.8681256E-01
  18010.60  1.8949592E-01
  18010.80  1.9180073E-01
  18011.00  1.9372701E-01
  18011.20  1.9528969E-01
  18011.40  1.9651646E-01
  18011.60  1.9744459E-01
  18011.80  1.9811707E-01
  18012.00  1.9857889E-01
  18012.20  1.9887375E-01
  18012.40  1.9904146E-01
  18012.60  1.9911638E-01
  18012.80  1.9912649E-01
  18013.00  1.9909331E-01
  18013.20  1.9903230E-01
  18013.40  1.9895357E-01
  18013.60  1.9886288E-01
  18013.80  1.9876259E-01
  18014.00  1.9865270E-01
  18014.20  1.9853175E-01
  18014.40  1.9839763E-01
  18014.60  1.9824830E-01
  18014.80  1.9808234E-01
  18015.00  1.9789936E-01
  18015.20  1.9770035E-01
  18015.40  1.9748778E-01
  18015.60  1.9726568E-01
  18015.80  1.9703956E-01
  18016.00  1.9681616E-01
  18016.20  1.9660329E-01
  18016.40  1.9640942E-01
  18016.60  1.9624344E-01
  18016.80  1.9611425E-01
  18017.00  1.9603046E-01
  18017.20  1.9600014E-01
  18017.40  1.9603060E-01
  18017.60  1.9612816E-01
  18017.80  1.9629811E-01
  18018.00  1.9654455E-01
  18019.00  1.9898649E-01
  18020.00  2.0330732E-01
  18021.00  2.0885358E-01
  18022.00  2.1452679E-01
  18023.00  2.1901743E-01
  18024.00  2.2115313E-01
  18025.00  2.2024367E-01
  18026.00  2.1625501E-01
  18027.00  2.0976547E-01
  18028.00  2.0175073E-01
  18029.00  1.9327640E-01
  18030.00  1.8522159E-01
  18031.00  1.7814391E-01
  18032.00  1.7229372E-01
  18033.00  1.6770445E-01
  18034.00  1.6428392E-01
  18035.00  1.6187337E-01
  18036.00  1.6027854E-01
  18037.00  1.5929177E-01
