    Energy    <xanes>    
  17958.00  2.3670655E-03
  17958.50  2.3959128E-03
  17959.00  2.4254162E-03
  17959.50  2.4555980E-03
  17960.00  2.4864816E-03
  17960.50  2.5180915E-03
  17961.00  2.5504533E-03
  17961.50  2.5835939E-03
  17962.00  2.6175414E-03
  17962.50  2.6523253E-03
  17963.00  2.6879765E-03
  17963.50  2.7245277E-03
  17964.00  2.7620129E-03
  17964.50  2.8004681E-03
  17965.00  2.8399310E-03
  17965.50  2.8804415E-03
  17966.00  2.9220413E-03
  17966.50  2.9647747E-03
  17967.00  3.0086883E-03
  17967.50  3.0538311E-03
  17968.00  3.1002552E-03
  17968.50  3.1480155E-03
  17969.00  3.1971701E-03
  17969.50  3.2477806E-03
  17970.00  3.2999123E-03
  17970.50  3.3536343E-03
  17971.00  3.4090202E-03
  17971.50  3.4661482E-03
  17972.00  3.5251014E-03
  17972.50  3.5859684E-03
  17973.00  3.6488437E-03
  17973.50  3.7138282E-03
  17974.00  3.7810295E-03
  17974.50  3.8505631E-03
  17975.00  3.9225524E-03
  17975.50  3.9971301E-03
  17976.00  4.0744385E-03
  17976.50  4.1546309E-03
  17977.00  4.2378723E-03
  17977.50  4.3243408E-03
  17978.00  4.4142290E-03
  17978.50  4.5077454E-03
  17979.00  4.6051160E-03
  17979.50  4.7065867E-03
  17980.00  4.8124251E-03
  17980.50  4.9229232E-03
  17981.00  5.0384006E-03
  17981.50  5.1592074E-03
  17982.00  5.2857288E-03
  17982.50  5.4183890E-03
  17983.00  5.5576570E-03
  17983.50  5.7040528E-03
  17984.00  5.8581550E-03
  17984.50  6.0206091E-03
  17985.00  6.1921389E-03
  17985.50  6.3735586E-03
  17986.00  6.5657885E-03
  17986.50  6.7698739E-03
  17987.00  6.9870081E-03
  17987.50  7.2185617E-03
  17988.00  7.4661185E-03
  17988.50  7.7315217E-03
  17989.00  8.0169324E-03
  17989.50  8.3249066E-03
  17990.00  8.6584954E-03
  17990.50  9.0213786E-03
  17991.00  9.4180462E-03
  17991.50  9.8540465E-03
