    Energy    <xanes>    
   7072.00  1.2758520E-04
   7072.50  1.2910797E-04
   7073.00  1.3066475E-04
   7073.50  1.3225668E-04
   7074.00  1.3388494E-04
   7074.50  1.3555079E-04
   7075.00  1.3725552E-04
   7075.50  1.3900049E-04
   7076.00  1.4078713E-04
   7076.50  1.4261691E-04
   7077.00  1.4449142E-04
   7077.50  1.4641228E-04
   7078.00  1.4838121E-04
   7078.50  1.5040003E-04
   7079.00  1.5247061E-04
   7079.50  1.5459497E-04
   7080.00  1.5677518E-04
   7080.50  1.5901346E-04
   7081.00  1.6131213E-04
   7081.50  1.6367364E-04
   7082.00  1.6610056E-04
   7082.50  1.6859561E-04
   7083.00  1.7116168E-04
   7083.50  1.7380180E-04
   7084.00  1.7651918E-04
   7084.50  1.7931722E-04
   7085.00  1.8219953E-04
   7085.50  1.8516993E-04
   7086.00  1.8823246E-04
   7086.50  1.9139143E-04
   7087.00  1.9465142E-04
   7087.50  1.9801730E-04
   7088.00  2.0149425E-04
   7088.50  2.0508781E-04
   7089.00  2.0880386E-04
   7089.50  2.1264873E-04
   7090.00  2.1662916E-04
   7090.50  2.2075237E-04
   7091.00  2.2502612E-04
   7091.50  2.2945872E-04
   7092.00  2.3405913E-04
   7092.50  2.3883697E-04
   7093.00  2.4380264E-04
   7093.50  2.4896735E-04
   7094.00  2.5434325E-04
   7094.50  2.5994348E-04
   7095.00  2.6578231E-04
   7095.50  2.7187528E-04
   7096.00  2.7823931E-04
   7096.50  2.8489288E-04
   7097.00  2.9185620E-04
   7097.50  2.9915149E-04
   7098.00  3.0680314E-04
   7098.50  3.1483811E-04
   7099.00  3.2328618E-04
   7099.50  3.3218046E-04
   7100.00  3.4155779E-04
   7100.50  3.5145941E-04
   7101.00  3.6193164E-04
   7101.50  3.7302677E-04
   7102.00  3.8480414E-04
   7102.50  3.9733152E-04
   7103.00  4.1068685E-04
   7103.50  4.2496049E-04
   7104.00  4.4025817E-04
   7104.50  4.5670502E-04
   7105.00  4.7445103E-04
   7105.50  4.9367889E-04
   7106.00  5.1461538E-04
   7106.50  5.3754858E-04
   7107.00  5.6285515E-04
   7107.10  5.6824308E-04
   7107.20  5.7375059E-04
   7107.30  5.7938293E-04
   7107.40  5.8514574E-04
   7107.50  5.9104510E-04
   7107.60  5.9708757E-04
   7107.70  6.0328024E-04
   7107.80  6.0963080E-04
   7107.90  6.1614763E-04
   7108.00  6.2283983E-04
   7108.10  6.2971737E-04
   7108.20  6.3679115E-04
   7108.30  6.4407316E-04
   7108.40  6.5157661E-04
   7108.50  6.5931610E-04
   7108.60  6.6730784E-04
   7108.70  6.7556984E-04
