    Energy    <xanes>    
   7072.00  1.3121436E-04
   7072.50  1.3280616E-04
   7073.00  1.3443441E-04
   7073.50  1.3610036E-04
   7074.00  1.3780532E-04
   7074.50  1.3955066E-04
   7075.00  1.4133782E-04
   7075.50  1.4316829E-04
   7076.00  1.4504366E-04
   7076.50  1.4696558E-04
   7077.00  1.4893578E-04
   7077.50  1.5095608E-04
   7078.00  1.5302840E-04
   7078.50  1.5515475E-04
   7079.00  1.5733723E-04
   7079.50  1.5957809E-04
   7080.00  1.6187966E-04
   7080.50  1.6424441E-04
   7081.00  1.6667496E-04
   7081.50  1.6917404E-04
   7082.00  1.7174456E-04
   7082.50  1.7438959E-04
   7083.00  1.7711237E-04
   7083.50  1.7991635E-04
   7084.00  1.8280515E-04
   7084.50  1.8578264E-04
   7085.00  1.8885291E-04
   7085.50  1.9202030E-04
   7086.00  1.9528943E-04
   7086.50  1.9866521E-04
   7087.00  2.0215288E-04
   7087.50  2.0575801E-04
   7088.00  2.0948656E-04
   7088.50  2.1334487E-04
   7089.00  2.1733975E-04
   7089.50  2.2147846E-04
   7090.00  2.2576880E-04
   7090.50  2.3021913E-04
   7091.00  2.3483843E-04
   7091.50  2.3963636E-04
   7092.00  2.4462332E-04
   7092.50  2.4981054E-04
   7093.00  2.5521012E-04
   7093.50  2.6083517E-04
   7094.00  2.6669988E-04
   7094.50  2.7281965E-04
   7095.00  2.7921122E-04
   7095.50  2.8589280E-04
   7096.00  2.9288426E-04
   7096.50  3.0020730E-04
   7097.00  3.0788568E-04
   7097.50  3.1594548E-04
   7098.00  3.2441535E-04
   7098.50  3.3332688E-04
   7099.00  3.4271495E-04
   7099.50  3.5261820E-04
   7100.00  3.6307952E-04
   7100.50  3.7414668E-04
   7101.00  3.8587301E-04
   7101.50  3.9831828E-04
   7102.00  4.1154968E-04
   7102.50  4.2564300E-04
   7103.00  4.4068408E-04
   7103.50  4.5677056E-04
   7104.00  4.7401397E-04
   7104.50  4.9254236E-04
   7105.00  5.1250345E-04
   7105.50  5.3406876E-04
   7106.00  5.5743860E-04
   7106.50  5.8284863E-04
   7107.00  6.1057835E-04
   7107.10  6.1643098E-04
   7107.20  6.2239253E-04
   7107.30  6.2846610E-04
   7107.40  6.3465491E-04
   7107.50  6.4096231E-04
   7107.60  6.4739179E-04
   7107.70  6.5394697E-04
   7107.80  6.6063163E-04
   7107.90  6.6744972E-04
   7108.00  6.7440535E-04
   7108.10  6.8150283E-04
   7108.20  6.8874662E-04
   7108.30  6.9614144E-04
   7108.40  7.0369219E-04
   7108.50  7.1140402E-04
   7108.60  7.1928232E-04
   7108.70  7.2733275E-04
   7108.80  7.3556128E-04
   7108.90  7.4397414E-04
   7109.00  7.5257795E-04
   7109.10  7.6137967E-04
   7109.20  7.7038663E-04
   7109.30  7.7960665E-04
   7109.40  7.8904796E-04
   7109.50  7.9871935E-04
   7109.60  8.0863020E-04
   7109.70  8.1879049E-04
   7109.80  8.2921096E-04
   7109.90  8.3990315E-04
   7110.00  8.5087954E-04
   7110.10  8.6215367E-04
   7110.20  8.7374033E-04
   7110.30  8.8565572E-04
   7110.40  8.9791777E-04
   7110.50  9.1054641E-04
   7110.60  9.2356401E-04
   7110.70  9.3699582E-04
   7110.80  9.5087061E-04
   7110.90  9.6522138E-04
   7111.00  9.8008611E-04
   7111.10  9.9550853E-04
   7111.20  1.0115384E-03
   7111.30  1.0282312E-03
   7111.40  1.0456449E-03
   7111.50  1.0638336E-03
   7111.60  1.0828336E-03
   7111.70  1.1026446E-03
   7111.80  1.1232080E-03
   7111.90  1.1444030E-03
   7112.00  1.1661487E-03
   7112.10  1.1884232E-03
   7112.20  1.2111779E-03
   7112.30  1.2344537E-03
   7112.40  1.2583582E-03
   7112.50  1.2830319E-03
   7112.60  1.3086207E-03
   7112.70  1.3352645E-03
   7112.80  1.3630952E-03
   7112.90  1.3922396E-03
   7113.00  1.4228234E-03
   7113.10  1.4549737E-03
   7113.20  1.4888202E-03
   7113.30  1.5244956E-03
   7113.40  1.5621377E-03
   7113.50  1.6018918E-03
   7113.60  1.6439142E-03
   7113.70  1.6883752E-03
   7113.80  1.7354621E-03
   7113.90  1.7853821E-03
   7114.00  1.8383654E-03
   7114.10  1.8946686E-03
   7114.20  1.9545776E-03
   7114.30  2.0184127E-03
   7114.40  2.0865326E-03
   7114.50  2.1593400E-03
   7114.60  2.2372884E-03
   7114.70  2.3208887E-03
   7114.80  2.4107180E-03
   7114.90  2.5074286E-03
   7115.00  2.6117592E-03
   7115.10  2.7245461E-03
   7115.20  2.8467372E-03
   7115.30  2.9794058E-03
   7115.40  3.1237668E-03
   7115.50  3.2811918E-03
   7115.60  3.4532266E-03
   7115.70  3.6416069E-03
   7115.80  3.8482747E-03
   7115.90  4.0753936E-03
   7116.00  4.3253587E-03
   7116.10  4.6007958E-03
   7116.20  4.9045317E-03
   7116.30  5.2395110E-03
   7116.40  5.6086287E-03
   7116.50  6.0144562E-03
   7116.60  6.4588678E-03
   7116.70  6.9426218E-03
   7116.80  7.4650064E-03
   7116.90  8.0237090E-03
   7117.00  8.6150681E-03
   7117.20  9.8788452E-03
   7117.40  1.1230058E-02
   7117.60  1.2655082E-02
   7117.80  1.4117087E-02
   7118.00  1.5517472E-02
   7118.20  1.6727602E-02
   7118.40  1.7684484E-02
