    Energy    <xanes>    
   6499.00  1.3810710E-04
   6499.50  1.3982055E-04
   6500.00  1.4157425E-04
   6500.50  1.4336961E-04
   6501.00  1.4520813E-04
   6501.50  1.4709136E-04
   6502.00  1.4902093E-04
   6502.50  1.5099858E-04
   6503.00  1.5302608E-04
   6503.50  1.5510534E-04
   6504.00  1.5723834E-04
   6504.50  1.5942717E-04
   6505.00  1.6167402E-04
   6505.50  1.6398121E-04
   6506.00  1.6635119E-04
   6506.50  1.6878651E-04
   6507.00  1.7128989E-04
   6507.50  1.7386419E-04
   6508.00  1.7651244E-04
   6508.50  1.7923782E-04
   6509.00  1.8204373E-04
   6509.50  1.8493374E-04
   6510.00  1.8791166E-04
   6510.50  1.9098149E-04
   6511.00  1.9414752E-04
   6511.50  1.9741428E-04
   6512.00  2.0078660E-04
   6512.50  2.0426963E-04
   6513.00  2.0786882E-04
   6513.50  2.1159002E-04
   6514.00  2.1543947E-04
   6514.50  2.1942381E-04
   6515.00  2.2355018E-04
   6515.50  2.2782620E-04
   6516.00  2.3226007E-04
   6516.50  2.3686055E-04
   6517.00  2.4163711E-04
   6517.50  2.4659989E-04
   6518.00  2.5175986E-04
   6518.50  2.5712884E-04
   6519.00  2.6271960E-04
   6519.50  2.6854598E-04
   6520.00  2.7462299E-04
   6520.50  2.8096689E-04
   6521.00  2.8759542E-04
   6521.50  2.9452787E-04
   6522.00  3.0178532E-04
   6522.50  3.0939084E-04
   6523.00  3.1736968E-04
   6523.50  3.2574962E-04
   6524.00  3.3456121E-04
   6524.50  3.4383818E-04
   6525.00  3.5361784E-04
   6525.50  3.6394157E-04
   6526.00  3.7485540E-04
   6526.50  3.8641067E-04
   6527.00  3.9866486E-04
   6527.50  4.1168248E-04
   6528.00  4.2553623E-04
   6528.50  4.4030837E-04
   6529.00  4.5609230E-04
   6529.50  4.7299463E-04
   6530.00  4.9113757E-04
   6530.50  5.1066203E-04
   6531.00  5.3173140E-04
   6531.50  5.5453641E-04
   6532.00  5.7930136E-04
   6532.50  6.0629230E-04
   6533.00  6.3582789E-04
   6533.50  6.6829427E-04
   6534.00  7.0416599E-04
   6534.10  7.1179865E-04
   6534.20  7.1959617E-04
   6534.30  7.2756426E-04
   6534.40  7.3570891E-04
   6534.50  7.4403645E-04
   6534.60  7.5255356E-04
   6534.70  7.6126725E-04
   6534.80  7.7018498E-04
   6534.90  7.7931463E-04
   6535.00  7.8866456E-04
   6535.10  7.9824363E-04
   6535.20  8.0806131E-04
   6535.30  8.1812765E-04
   6535.40  8.2845342E-04
   6535.50  8.3905014E-04
   6535.60  8.4993018E-04
   6535.70  8.6110683E-04
   6535.80  8.7259446E-04
   6535.90  8.8440860E-04
   6536.00  8.9656611E-04
   6536.10  9.0908538E-04
   6536.20  9.2198649E-04
   6536.30  9.3529151E-04
   6536.40  9.4902479E-04
   6536.50  9.6321329E-04
   6536.60  9.7788705E-04
   6536.70  9.9307975E-04
   6536.80  1.0088293E-03
   6536.90  1.0251787E-03
   6537.00  1.0421772E-03
   6537.10  1.0598812E-03
   6537.20  1.0783563E-03
   6537.30  1.0976792E-03
   6537.40  1.1179402E-03
   6537.50  1.1392470E-03
   6537.60  1.1617287E-03
   6537.70  1.1855417E-03
   6537.80  1.2108773E-03
   6537.90  1.2379706E-03
   6538.00  1.2671125E-03
   6538.10  1.2986629E-03
   6538.20  1.3330653E-03
   6538.30  1.3708562E-03
   6538.40  1.4126609E-03
   6538.50  1.4591523E-03
   6538.60  1.5109379E-03
   6538.70  1.5683314E-03
   6538.80  1.6310084E-03
   6538.90  1.6976723E-03
   6539.00  1.7660452E-03
   6539.10  1.8333986E-03
   6539.20  1.8970588E-03
   6539.30  1.9552842E-03
   6539.40  2.0077641E-03
   6539.50  2.0557074E-03
   6539.60  2.1013063E-03
   6539.70  2.1466116E-03
   6539.80  2.1924238E-03
   6539.90  2.2379151E-03
   6540.00  2.2812273E-03
   6540.10  2.3206809E-03
   6540.20  2.3558774E-03
   6540.30  2.3881122E-03
   6540.40  2.4200076E-03
   6540.50  2.4546892E-03
   6540.60  2.4949770E-03
   6540.70  2.5429404E-03
   6540.80  2.5998741E-03
   6540.90  2.6665216E-03
   6541.00  2.7433482E-03
   6541.10  2.8307566E-03
   6541.20  2.9292271E-03
   6541.30  3.0393995E-03
   6541.40  3.1621210E-03
   6541.50  3.2984780E-03
   6541.60  3.4498201E-03
   6541.70  3.6177827E-03
   6541.80  3.8043059E-03
   6541.90  4.0116482E-03
   6542.00  4.2423886E-03
   6542.10  4.4994140E-03
   6542.20  4.7858920E-03
   6542.30  5.1052400E-03
   6542.40  5.4611173E-03
   6542.50  5.8574605E-03
   6542.60  6.2985471E-03
   6542.70  6.7889914E-03
   6542.80  7.3335119E-03
   6542.90  7.9363303E-03
   6543.00  8.6001870E-03
   6543.10  9.3251273E-03
   6543.20  1.0107349E-02
   6543.30  1.0938471E-02
   6543.40  1.1805578E-02
   6543.50  1.2692286E-02
   6543.60  1.3580864E-02
   6543.70  1.4455132E-02
   6543.80  1.5303420E-02
   6543.90  1.6120475E-02
   6544.00  1.6907224E-02
   6544.20  1.8406243E-02
   6544.40  1.9803874E-02
   6544.60  2.1036818E-02
   6544.80  2.2065295E-02
   6545.00  2.2951150E-02
   6545.20  2.3800696E-02
   6545.40  2.4685427E-02
   6545.60  2.5627182E-02
   6545.80  2.6638695E-02
   6546.00  2.7749859E-02
   6546.20  2.8992686E-02
   6546.40  3.0401004E-02
   6546.60  3.2018777E-02
   6546.80  3.3870375E-02
   6547.00  3.5920707E-02
   6547.20  3.8091509E-02
   6547.40  4.0330420E-02
   6547.60  4.2652101E-02
   6547.80  4.5096016E-02
   6548.00  4.7641879E-02
   6548.20  5.0160336E-02
   6548.40  5.2430698E-02
   6548.60  5.4209044E-02
   6548.80  5.5311299E-02
   6549.00  5.5671632E-02
   6549.20  5.5346684E-02
   6549.40  5.4470500E-02
   6549.60  5.3198387E-02
   6549.80  5.1672649E-02
   6550.00  5.0013101E-02
   6550.20  4.8319241E-02
   6550.40  4.6673938E-02
   6550.60  4.5144840E-02
   6550.80  4.3783247E-02
   6551.00  4.2622357E-02
   6551.20  4.1677256E-02
   6551.40  4.0947666E-02
   6551.60  4.0422581E-02
   6551.80  4.0084974E-02
   6552.00  3.9914969E-02
   6552.20  3.9890916E-02
   6552.40  3.9988856E-02
   6552.60  4.0181535E-02
   6552.80  4.0438058E-02
   6553.00  4.0724698E-02
   6553.20  4.1006698E-02
   6553.40  4.1250617E-02
   6553.60  4.1426783E-02
   6553.80  4.1511541E-02
   6554.00  4.1489014E-02
   6554.20  4.1352086E-02
   6554.40  4.1102357E-02
   6554.60  4.0749068E-02
   6554.80  4.0307232E-02
   6555.00  3.9795429E-02
   6555.20  3.9233683E-02
   6555.40  3.8641694E-02
   6555.60  3.8037534E-02
   6555.80  3.7436809E-02
   6556.00  3.6852218E-02
   6556.20  3.6293461E-02
   6556.40  3.5767388E-02
   6556.60  3.5278332E-02
   6556.80  3.4828532E-02
   6557.00  3.4418574E-02
   6557.20  3.4047808E-02
   6557.40  3.3714700E-02
   6557.60  3.3417127E-02
   6557.80  3.3152609E-02
   6558.00  3.2918488E-02
   6558.20  3.2712076E-02
   6558.40  3.2530763E-02
   6558.60  3.2372102E-02
   6558.80  3.2233852E-02
   6559.00  3.2114009E-02
   6560.00  3.1734706E-02
   6561.00  3.1603055E-02
   6562.00  3.1567009E-02
   6563.00  3.1491696E-02
   6564.00  3.1279161E-02
   6565.00  3.0866992E-02
   6566.00  3.0246807E-02
   6567.00  2.9483264E-02
   6568.00  2.8692614E-02
   6569.00  2.7991938E-02
   6570.00  2.7457698E-02
   6571.00  2.7118229E-02
   6572.00  2.6973546E-02
   6573.00  2.7015149E-02
   6574.00  2.7230341E-02
   6575.00  2.7598634E-02
   6576.00  2.8091413E-02
   6577.00  2.8676310E-02
   6578.00  2.9322824E-02
   6579.00  3.0006791E-02
   6580.00  3.0712374E-02
   6581.00  3.1430958E-02
   6582.00  3.2158230E-02
   6583.00  3.2891635E-02
   6584.00  3.3628368E-02
   6585.00  3.4362732E-02
   6586.00  3.5083207E-02
   6587.00  3.5770710E-02
   6588.00  3.6398757E-02
   6589.00  3.6935647E-02
   6590.00  3.7349075E-02
   6591.00  3.7613271E-02
   6592.00  3.7716777E-02
   6593.00  3.7667122E-02
   6594.00  3.7489467E-02
   6595.00  3.7220063E-02
   6596.00  3.6898301E-02
   6597.00  3.6560597E-02
   6598.00  3.6236573E-02
   6599.00  3.5946405E-02
   6600.00  3.5698800E-02
   6601.00  3.5490422E-02
   6602.00  3.5307853E-02
   6603.00  3.5132077E-02
   6604.00  3.4944171E-02
   6605.00  3.4730205E-02
   6606.00  3.4483960E-02
   6607.00  3.4207180E-02
   6608.00  3.3908004E-02
   6609.00  3.3598433E-02
   6610.00  3.3291748E-02
   6611.00  3.3000692E-02
   6612.00  3.2736808E-02
   6613.00  3.2510527E-02
   6614.00  3.2331256E-02
   6615.00  3.2206936E-02
