    Energy    <xanes>    
   9619.00  4.4064963E-04
   9619.50  4.4616861E-04
   9620.00  4.5196842E-04
   9620.50  4.5791251E-04
   9621.00  4.6400625E-04
   9621.50  4.7025530E-04
   9622.00  4.7666561E-04
   9622.50  4.8324343E-04
   9623.00  4.8999532E-04
   9623.50  4.9692820E-04
   9624.00  5.0404935E-04
   9624.50  5.1136644E-04
   9625.00  5.1888757E-04
   9625.50  5.2662126E-04
   9626.00  5.3457654E-04
   9626.50  5.4276293E-04
   9627.00  5.5119048E-04
   9627.50  5.5986987E-04
   9628.00  5.6881237E-04
   9628.50  5.7802995E-04
   9629.00  5.8753528E-04
   9629.50  5.9734182E-04
   9630.00  6.0746390E-04
   9630.50  6.1791671E-04
   9631.00  6.2871645E-04
   9631.50  6.3988036E-04
   9632.00  6.5142684E-04
   9632.50  6.6337553E-04
   9633.00  6.7574740E-04
   9633.50  6.8856488E-04
   9634.00  7.0185200E-04
   9634.50  7.1563452E-04
   9635.00  7.2994008E-04
   9635.50  7.4479836E-04
   9636.00  7.6024132E-04
   9636.50  7.7630337E-04
   9637.00  7.9302163E-04
   9637.50  8.1043618E-04
   9638.00  8.2859038E-04
   9638.50  8.4753119E-04
   9639.00  8.6730956E-04
   9639.50  8.8798083E-04
   9640.00  9.0960524E-04
   9640.50  9.3224846E-04
   9641.00  9.5598222E-04
   9641.50  9.8088497E-04
   9642.00  1.0070427E-03
   9642.50  1.0345500E-03
   9643.00  1.0635108E-03
   9643.50  1.0940398E-03
   9644.00  1.1262640E-03
   9644.50  1.1603239E-03
   9645.00  1.1963759E-03
   9645.50  1.2345942E-03
   9646.00  1.2751732E-03
   9646.50  1.3183311E-03
   9647.00  1.3643132E-03
   9647.50  1.4133961E-03
   9648.00  1.4658929E-03
   9648.50  1.5221597E-03
   9649.00  1.5826027E-03
   9649.50  1.6476873E-03
   9650.00  1.7179497E-03
   9650.50  1.7940104E-03
   9651.00  1.8765916E-03
   9651.50  1.9665392E-03
   9652.00  2.0648506E-03
   9652.50  2.1727106E-03
   9653.00  2.2915399E-03
   9653.50  2.4230584E-03
   9654.00  2.5693750E-03
   9654.04  2.5812038E-03
   9654.14  2.6125756E-03
   9654.24  2.6444048E-03
   9654.29  2.6598653E-03
   9654.39  2.6932127E-03
   9654.49  2.7273519E-03
   9654.59  2.7623118E-03
   9654.69  2.7981227E-03
   9654.79  2.8348167E-03
   9654.89  2.8724275E-03
   9654.99  2.9109910E-03
   9655.09  2.9505450E-03
   9655.19  2.9911298E-03
   9655.29  3.0327880E-03
   9655.39  3.0755652E-03
   9655.49  3.1195100E-03
   9655.59  3.1646743E-03
   9655.69  3.2111140E-03
   9655.79  3.2588891E-03
   9655.89  3.3080642E-03
   9655.99  3.3587094E-03
   9656.09  3.4109009E-03
   9656.19  3.4647216E-03
   9656.29  3.5202624E-03
   9656.39  3.5776230E-03
   9656.49  3.6369135E-03
   9656.59  3.6982560E-03
   9656.69  3.7617859E-03
   9656.79  3.8276543E-03
   9656.89  3.8960297E-03
   9656.99  3.9671000E-03
   9657.09  4.0410740E-03
   9657.19  4.1181811E-03
   9657.29  4.1986692E-03
   9657.39  4.2827979E-03
   9657.49  4.3708242E-03
   9657.59  4.4629781E-03
   9657.69  4.5594232E-03
   9657.79  4.6602026E-03
   9657.89  4.7651758E-03
   9657.99  4.8739619E-03
   9658.09  4.9859741E-03
   9658.19  5.1007124E-03
   9658.29  5.2174755E-03
   9658.39  5.3356318E-03
   9658.49  5.4549897E-03
   9658.59  5.5759415E-03
   9658.69  5.6994070E-03
   9658.79  5.8266282E-03
   9658.89  5.9589211E-03
   9658.99  6.0974823E-03
   9659.09  6.2432873E-03
   9659.19  6.3970664E-03
   9659.29  6.5593273E-03
   9659.39  6.7304031E-03
   9659.49  6.9105176E-03
   9659.59  7.0998755E-03
   9659.69  7.2987741E-03
   9659.79  7.5077180E-03
   9659.89  7.7275034E-03
   9659.99  7.9592372E-03
   9660.09  8.2042903E-03
   9660.19  8.4642135E-03
   9660.29  8.7406595E-03
   9660.39  9.0353399E-03
   9660.49  9.3500195E-03
   9660.59  9.6865379E-03
   9660.69  1.0046841E-02
   9660.79  1.0433014E-02
   9660.89  1.0847306E-02
   9660.99  1.1292143E-02
   9661.09  1.1770131E-02
   9661.19  1.2284044E-02
   9661.29  1.2836810E-02
   9661.39  1.3431498E-02
   9661.49  1.4071336E-02
   9661.59  1.4759781E-02
   9661.69  1.5500678E-02
   9661.79  1.6298499E-02
   9661.89  1.7158635E-02
   9661.99  1.8087671E-02
   9662.09  1.9093571E-02
   9662.19  2.0185712E-02
   9662.29  2.1374776E-02
   9662.39  2.2672497E-02
   9662.49  2.4091300E-02
   9662.59  2.5643857E-02
   9662.69  2.7342559E-02
   9662.79  2.9198876E-02
   9662.89  3.1222612E-02
   9662.99  3.3421018E-02
   9663.09  3.5797821E-02
   9663.19  3.8352272E-02
   9663.29  4.1078376E-02
   9663.39  4.3964501E-02
   9663.49  4.6993531E-02
   9663.59  5.0143591E-02
   9663.69  5.3389196E-02
   9663.79  5.6702480E-02
   9663.89  6.0054148E-02
   9663.99  6.3413883E-02
   9664.09  6.6750366E-02
   9664.19  7.0029166E-02
   9664.29  7.3206036E-02
   9664.49  7.9171887E-02
   9664.69  8.4440007E-02
   9664.89  8.8929184E-02
   9665.09  9.2702521E-02
   9665.29  9.5899387E-02
   9665.49  9.8645989E-02
   9665.69  1.0103010E-01
   9665.89  1.0314076E-01
   9666.09  1.0510264E-01
   9666.29  1.0706149E-01
   9666.49  1.0913884E-01
   9666.69  1.1139180E-01
   9666.89  1.1379625E-01
