    Energy    <xanes>    
   9619.00  1.5091390E-04
   9619.50  1.5286993E-04
   9620.00  1.5487453E-04
   9620.50  1.5692953E-04
   9621.00  1.5903681E-04
   9621.50  1.6119837E-04
   9622.00  1.6341633E-04
   9622.50  1.6569287E-04
   9623.00  1.6803033E-04
   9623.50  1.7043115E-04
   9624.00  1.7289792E-04
   9624.50  1.7543333E-04
   9625.00  1.7804028E-04
   9625.50  1.8072177E-04
   9626.00  1.8348101E-04
   9626.50  1.8632137E-04
   9627.00  1.8924644E-04
   9627.50  1.9226000E-04
   9628.00  1.9536607E-04
   9628.50  1.9856889E-04
   9629.00  2.0187299E-04
   9629.50  2.0528315E-04
   9630.00  2.0880450E-04
   9630.50  2.1244244E-04
   9631.00  2.1620277E-04
   9631.50  2.2009164E-04
   9632.00  2.2411564E-04
   9632.50  2.2828179E-04
   9633.00  2.3259761E-04
   9633.50  2.3707114E-04
   9634.00  2.4171101E-04
   9634.50  2.4652645E-04
   9635.00  2.5152742E-04
   9635.50  2.5672459E-04
   9636.00  2.6212947E-04
   9636.50  2.6775447E-04
   9637.00  2.7361298E-04
   9637.50  2.7971950E-04
   9638.00  2.8608970E-04
   9638.50  2.9274060E-04
   9639.00  2.9969066E-04
   9639.50  3.0695998E-04
   9640.00  3.1457047E-04
   9640.50  3.2254603E-04
   9641.00  3.3091279E-04
   9641.50  3.3969943E-04
   9642.00  3.4893738E-04
   9642.50  3.5866126E-04
   9643.00  3.6890923E-04
   9643.50  3.7972346E-04
   9644.00  3.9115068E-04
   9644.50  4.0324279E-04
   9645.00  4.1605759E-04
   9645.50  4.2965961E-04
   9646.00  4.4412116E-04
   9646.50  4.5952348E-04
   9647.00  4.7595818E-04
   9647.50  4.9352889E-04
   9648.00  5.1235334E-04
   9648.50  5.3256582E-04
   9649.00  5.5432016E-04
   9649.50  5.7779343E-04
   9650.00  6.0319059E-04
   9650.50  6.3075017E-04
   9651.00  6.6075162E-04
   9651.50  6.9352470E-04
   9652.00  7.2946177E-04
   9652.50  7.6903420E-04
   9653.00  8.1281488E-04
   9653.50  8.6150996E-04
   9654.00  9.1600582E-04
   9654.10  9.2769578E-04
   9654.20  9.3967280E-04
   9654.30  9.5194813E-04
   9654.40  9.6453369E-04
   9654.50  9.7744215E-04
   9654.60  9.9068701E-04
   9654.70  1.0042827E-03
   9654.80  1.0182446E-03
   9654.90  1.0325892E-03
   9655.00  1.0473343E-03
   9655.10  1.0624991E-03
   9655.20  1.0781043E-03
   9655.30  1.0941723E-03
   9655.40  1.1107277E-03
   9655.50  1.1277971E-03
   9655.60  1.1454100E-03
   9655.70  1.1635986E-03
   9655.80  1.1823989E-03
   9655.90  1.2018505E-03
   9656.00  1.2219979E-03
   9656.10  1.2428911E-03
   9656.20  1.2645863E-03
   9656.30  1.2871470E-03
