    Energy    <xanes>    
   7072.00  1.2936097E-04
   7072.50  1.3088825E-04
   7073.00  1.3244948E-04
   7073.50  1.3404580E-04
   7074.00  1.3567839E-04
   7074.50  1.3734850E-04
   7075.00  1.3905741E-04
   7075.50  1.4080648E-04
   7076.00  1.4259713E-04
   7076.50  1.4443084E-04
   7077.00  1.4630916E-04
   7077.50  1.4823374E-04
   7078.00  1.5020628E-04
   7078.50  1.5222857E-04
   7079.00  1.5430250E-04
   7079.50  1.5643006E-04
   7080.00  1.5861333E-04
   7080.50  1.6085451E-04
   7081.00  1.6315589E-04
   7081.50  1.6551992E-04
   7082.00  1.6794917E-04
   7082.50  1.7044634E-04
   7083.00  1.7301428E-04
   7083.50  1.7565602E-04
   7084.00  1.7837475E-04
   7084.50  1.8117386E-04
   7085.00  1.8405691E-04
   7085.50  1.8702771E-04
   7086.00  1.9009028E-04
   7086.50  1.9324889E-04
   7087.00  1.9650809E-04
   7087.50  1.9987270E-04
   7088.00  2.0334788E-04
   7088.50  2.0693911E-04
   7089.00  2.1065223E-04
   7089.50  2.1449351E-04
   7090.00  2.1846962E-04
   7090.50  2.2258772E-04
   7091.00  2.2685549E-04
   7091.50  2.3128115E-04
   7092.00  2.3587356E-04
   7092.50  2.4064224E-04
   7093.00  2.4559744E-04
   7093.50  2.5075024E-04
   7094.00  2.5611262E-04
   7094.50  2.6169752E-04
   7095.00  2.6751900E-04
   7095.50  2.7359234E-04
   7096.00  2.7993415E-04
   7096.50  2.8656257E-04
   7097.00  2.9349740E-04
   7097.50  3.0076035E-04
   7098.00  3.0837527E-04
   7098.50  3.1636838E-04
   7099.00  3.2476866E-04
   7099.50  3.3360818E-04
   7100.00  3.4292257E-04
   7100.50  3.5275155E-04
   7101.00  3.6313956E-04
   7101.50  3.7413655E-04
   7102.00  3.8579890E-04
   7102.50  3.9819062E-04
   7103.00  4.1138480E-04
   7103.50  4.2546551E-04
   7104.00  4.4053015E-04
   7104.50  4.5669273E-04
   7105.00  4.7408812E-04
   7105.50  4.9287805E-04
   7106.00  5.1325972E-04
   7106.50  5.3547846E-04
   7107.00  5.5984743E-04
   7107.10  5.6501332E-04
   7107.20  5.7028516E-04
   7107.30  5.7566711E-04
   7107.40  5.8116362E-04
   7107.50  5.8677945E-04
   7107.60  5.9251970E-04
   7107.70  5.9838987E-04
   7107.80  6.0439588E-04
   7107.90  6.1054411E-04
   7108.00  6.1684150E-04
   7108.10  6.2329555E-04
   7108.20  6.2991445E-04
   7108.30  6.3670714E-04
   7108.40  6.4368342E-04
   7108.50  6.5085403E-04
   7108.60  6.5823085E-04
   7108.70  6.6582699E-04
   7108.80  6.7365703E-04
   7108.90  6.8173720E-04
   7109.00  6.9008567E-04
   7109.10  6.9872287E-04
   7109.20  7.0767181E-04
   7109.30  7.1695862E-04
   7109.40  7.2661301E-04
   7109.50  7.3666899E-04
   7109.60  7.4716567E-04
   7109.70  7.5814826E-04
   7109.80  7.6966928E-04
   7109.90  7.8179015E-04
   7110.00  7.9458302E-04
   7110.10  8.0813324E-04
   7110.20  8.2254237E-04
   7110.30  8.3793197E-04
   7110.40  8.5444857E-04
   7110.50  8.7226985E-04
   7110.60  8.9161266E-04
   7110.70  9.1274329E-04
   7110.80  9.3599058E-04
   7110.90  9.6176250E-04
   7111.00  9.9056688E-04
   7111.10  1.0230364E-03
   7111.20  1.0599568E-03
   7111.30  1.1022948E-03
   7111.40  1.1512157E-03
   7111.50  1.2080711E-03
   7111.60  1.2743152E-03
   7111.70  1.3512861E-03
   7111.80  1.4397586E-03
   7111.90  1.5391766E-03
   7112.00  1.6465442E-03
