    Energy    <xanes>    
   7072.00  2.6556828E-04
   7072.50  2.6876063E-04
   7073.00  2.7202546E-04
   7073.50  2.7536527E-04
   7074.00  2.7878262E-04
   7074.50  2.8228023E-04
   7075.00  2.8586092E-04
   7075.50  2.8952767E-04
   7076.00  2.9328358E-04
   7076.50  2.9713191E-04
   7077.00  3.0107609E-04
   7077.50  3.0511969E-04
   7078.00  3.0926648E-04
   7078.50  3.1352044E-04
   7079.00  3.1788572E-04
   7079.50  3.2236669E-04
   7080.00  3.2696799E-04
   7080.50  3.3169446E-04
   7081.00  3.3655123E-04
   7081.50  3.4154370E-04
   7082.00  3.4667758E-04
   7082.50  3.5195890E-04
   7083.00  3.5739404E-04
   7083.50  3.6298972E-04
   7084.00  3.6875310E-04
   7084.50  3.7469175E-04
   7085.00  3.8081368E-04
   7085.50  3.8712743E-04
   7086.00  3.9364204E-04
   7086.50  4.0036714E-04
   7087.00  4.0731298E-04
   7087.50  4.1449048E-04
   7088.00  4.2191129E-04
   7088.50  4.2958785E-04
   7089.00  4.3753344E-04
   7089.50  4.4576229E-04
   7090.00  4.5428963E-04
   7090.50  4.6313181E-04
   7091.00  4.7230637E-04
   7091.50  4.8183217E-04
   7092.00  4.9172953E-04
   7092.50  5.0202035E-04
   7093.00  5.1272825E-04
   7093.50  5.2387881E-04
   7094.00  5.3549971E-04
   7094.50  5.4762095E-04
   7095.00  5.6027517E-04
   7095.50  5.7349786E-04
   7096.00  5.8732772E-04
   7096.50  6.0180705E-04
   7097.00  6.1698213E-04
   7097.50  6.3290373E-04
   7098.00  6.4962770E-04
   7098.50  6.6721555E-04
   7099.00  6.8573525E-04
   7099.50  7.0526211E-04
   7100.00  7.2587976E-04
   7100.50  7.4768140E-04
   7101.00  7.7077119E-04
   7101.50  7.9526597E-04
   7102.00  8.2129728E-04
   7102.50  8.4901380E-04
   7103.00  8.7858438E-04
   7103.50  9.1020165E-04
   7104.00  9.4408662E-04
   7104.50  9.8049443E-04
   7105.00  1.0197217E-03
   7105.50  1.0621160E-03
   7106.00  1.1080888E-03
   7106.50  1.1581330E-03
   7107.00  1.2128476E-03
   7107.10  1.2244133E-03
   7107.20  1.2362016E-03
   7107.30  1.2482196E-03
   7107.40  1.2604748E-03
   7107.50  1.2729752E-03
   7107.60  1.2857289E-03
   7107.70  1.2987447E-03
   7107.80  1.3120318E-03
   7107.90  1.3256001E-03
   7108.00  1.3394599E-03
   7108.10  1.3536223E-03
   7108.20  1.3680991E-03
   7108.30  1.3829030E-03
   7108.40  1.3980473E-03
   7108.50  1.4135466E-03
   7108.60  1.4294165E-03
   7108.70  1.4456740E-03
   7108.80  1.4623373E-03
   7108.90  1.4794265E-03
   7109.00  1.4969633E-03
   7109.10  1.5149718E-03
   7109.20  1.5334784E-03
   7109.30  1.5525125E-03
   7109.40  1.5721068E-03
   7109.50  1.5922980E-03
   7109.60  1.6131276E-03
   7109.70  1.6346427E-03
   7109.80  1.6568972E-03
   7109.90  1.6799531E-03
   7110.00  1.7038825E-03
