    Energy    <xanes>    
   7072.00  5.4634039E-04
   7072.50  5.5293117E-04
   7073.00  5.5967342E-04
   7073.50  5.6657239E-04
   7074.00  5.7363359E-04
   7074.50  5.8086277E-04
   7075.00  5.8826597E-04
   7075.50  5.9584952E-04
   7076.00  6.0362004E-04
   7076.50  6.1158451E-04
   7077.00  6.1975023E-04
   7077.50  6.2812490E-04
   7078.00  6.3671659E-04
   7078.50  6.4553380E-04
   7079.00  6.5458549E-04
   7079.50  6.6388108E-04
   7080.00  6.7343051E-04
   7080.50  6.8324426E-04
   7081.00  6.9333341E-04
   7081.50  7.0370965E-04
   7082.00  7.1438534E-04
   7082.50  7.2537356E-04
   7083.00  7.3668818E-04
   7083.50  7.4834386E-04
   7084.00  7.6035619E-04
   7084.50  7.7274170E-04
   7085.00  7.8551795E-04
   7085.50  7.9870364E-04
   7086.00  8.1231866E-04
   7086.50  8.2638422E-04
   7087.00  8.4092293E-04
   7087.50  8.5595896E-04
   7088.00  8.7151811E-04
   7088.50  8.8762805E-04
   7089.00  9.0431838E-04
   7089.50  9.2162090E-04
   7090.00  9.3956973E-04
   7090.50  9.5820160E-04
   7091.00  9.7755607E-04
   7091.50  9.9767581E-04
   7092.00  1.0186069E-03
   7092.50  1.0403992E-03
   7093.00  1.0631068E-03
   7093.50  1.0867883E-03
   7094.00  1.1115075E-03
   7094.50  1.1373339E-03
   7095.00  1.1643433E-03
   7095.50  1.1926187E-03
   7096.00  1.2222508E-03
   7096.50  1.2533396E-03
   7097.00  1.2859949E-03
   7097.50  1.3203379E-03
   7098.00  1.3565028E-03
   7098.50  1.3946383E-03
   7099.00  1.4349099E-03
   7099.50  1.4775025E-03
   7100.00  1.5226227E-03
   7100.50  1.5705027E-03
   7101.00  1.6214044E-03
   7101.50  1.6756240E-03
   7102.00  1.7334983E-03
   7102.50  1.7954115E-03
   7103.00  1.8618044E-03
   7103.50  1.9331851E-03
   7104.00  2.0101425E-03
   7104.50  2.0933635E-03
   7105.00  2.1836542E-03
   7105.50  2.2819678E-03
   7106.00  2.3894400E-03
   7106.50  2.5074357E-03
   7107.00  2.6376113E-03
   7107.10  2.6652790E-03
   7107.20  2.6935320E-03
   7107.30  2.7223894E-03
   7107.40  2.7518713E-03
   7107.50  2.7819986E-03
   7107.60  2.8127932E-03
   7107.70  2.8442780E-03
   7107.80  2.8764772E-03
   7107.90  2.9094159E-03
   7108.00  2.9431204E-03
   7108.10  2.9776187E-03
   7108.20  3.0129398E-03
   7108.30  3.0491143E-03
   7108.40  3.0861744E-03
   7108.50  3.1241541E-03
   7108.60  3.1630892E-03
   7108.70  3.2030172E-03
   7108.80  3.2439780E-03
   7108.90  3.2860136E-03
   7109.00  3.3291684E-03
   7109.10  3.3734896E-03
   7109.20  3.4190269E-03
   7109.30  3.4658334E-03
   7109.40  3.5139654E-03
   7109.50  3.5634826E-03
   7109.60  3.6144491E-03
   7109.70  3.6669329E-03
   7109.80  3.7210071E-03
   7109.90  3.7767499E-03
   7110.00  3.8342454E-03
   7110.10  3.8935842E-03
   7110.20  3.9548645E-03
   7110.30  4.0181924E-03
   7110.40  4.0836837E-03
   7110.50  4.1514651E-03
   7110.60  4.2216755E-03
   7110.70  4.2944687E-03
   7110.80  4.3700150E-03
   7110.90  4.4485046E-03
   7111.00  4.5301505E-03
   7111.10  4.6151912E-03
   7111.20  4.7038930E-03
   7111.30  4.7965483E-03
   7111.40  4.8934676E-03
   7111.50  4.9949563E-03
   7111.60  5.1012703E-03
   7111.70  5.2125451E-03
   7111.80  5.3287195E-03
   7111.90  5.4495141E-03
   7112.00  5.5746263E-03
   7112.10  5.7044928E-03
   7112.20  5.8394659E-03
   7112.30  5.9801876E-03
   7112.40  6.1275865E-03
   7112.50  6.2826980E-03
   7112.60  6.4465624E-03
   7112.70  6.6202035E-03
   7112.80  6.8046488E-03
   7112.90  7.0009592E-03
   7113.00  7.2102570E-03
   7113.10  7.4337522E-03
   7113.20  7.6727711E-03
   7113.30  7.9287871E-03
   7113.40  8.2034539E-03
   7113.50  8.4986400E-03
   7113.60  8.8164654E-03
   7113.70  9.1593432E-03
   7113.80  9.5300280E-03
   7113.90  9.9316712E-03
   7114.00  1.0367887E-02
   7114.10  1.0842826E-02
   7114.20  1.1361266E-02
   7114.30  1.1928714E-02
   7114.40  1.2551533E-02
   7114.50  1.3237083E-02
   7114.60  1.3993888E-02
   7114.70  1.4831829E-02
   7114.80  1.5762355E-02
   7114.90  1.6798719E-02
   7115.00  1.7956231E-02
   7115.10  1.9252519E-02
   7115.20  2.0707773E-02
   7115.30  2.2344958E-02
   7115.40  2.4189954E-02
   7115.50  2.6271614E-02
   7115.60  2.8621770E-02
   7115.70  3.1275241E-02
   7115.80  3.4269916E-02
   7115.90  3.7646693E-02
   7116.00  4.1448433E-02
   7116.10  4.5716283E-02
   7116.20  5.0481305E-02
   7116.30  5.5749998E-02
   7116.40  6.1484112E-02
   7116.50  6.7578407E-02
   7116.60  7.3844289E-02
   7116.70  8.0010809E-02
   7116.80  8.5753344E-02
   7116.90  9.0750046E-02
   7117.00  9.4749192E-02
   7117.20  9.9359972E-02
   7117.40  9.9944382E-02
   7117.60  9.7899643E-02
   7117.80  9.4644008E-02
   7118.00  9.1127415E-02
   7118.20  8.7780167E-02
   7118.40  8.4723873E-02
   7118.60  8.2001629E-02
   7118.80  7.9656681E-02
   7119.00  7.7693051E-02
   7119.20  7.6056661E-02
   7119.40  7.4683814E-02
   7119.60  7.3564932E-02
   7119.80  7.2775694E-02
   7120.00  7.2456949E-02
   7120.20  7.2750319E-02
   7120.40  7.3727263E-02
   7120.60  7.5351696E-02
   7120.80  7.7490784E-02
   7121.00  7.9965319E-02
   7121.20  8.2616493E-02
   7121.40  8.5360620E-02
   7121.60  8.8213754E-02
   7121.80  9.1286345E-02
   7122.00  9.4755571E-02
   7122.20  9.8822073E-02
   7122.40  1.0366162E-01
   7122.60  1.0938583E-01
   7122.80  1.1601901E-01
   7123.00  1.2348755E-01
   7123.20  1.3161488E-01
   7123.40  1.4012135E-01
   7123.60  1.4863861E-01
   7123.80  1.5675231E-01
   7124.00  1.6407534E-01
   7124.20  1.7032959E-01
   7124.40  1.7539826E-01
   7124.60  1.7932339E-01
   7124.80  1.8225468E-01
   7125.00  1.8437908E-01
   7125.20  1.8586048E-01
   7125.40  1.8680514E-01
   7125.60  1.8725452E-01
   7125.80  1.8719896E-01
   7126.00  1.8660258E-01
   7126.20  1.8542984E-01
   7126.40  1.8366688E-01
   7126.60  1.8133379E-01
   7126.80  1.7848723E-01
   7127.00  1.7521441E-01
   7127.20  1.7162151E-01
   7127.40  1.6782028E-01
