    Energy    <xanes>    
   5949.00  2.1861600E-03
   5949.50  2.2124172E-03
   5950.00  2.2392675E-03
   5950.50  2.2667310E-03
   5951.00  2.2948286E-03
   5951.50  2.3235824E-03
   5952.00  2.3530154E-03
   5952.50  2.3831515E-03
   5953.00  2.4140160E-03
   5953.50  2.4456354E-03
   5954.00  2.4780373E-03
   5954.50  2.5112508E-03
   5955.00  2.5453065E-03
   5955.50  2.5802363E-03
   5956.00  2.6160741E-03
   5956.50  2.6528552E-03
   5957.00  2.6906170E-03
   5957.50  2.7293987E-03
   5958.00  2.7692419E-03
   5958.50  2.8101901E-03
   5959.00  2.8522894E-03
   5959.50  2.8955886E-03
   5960.00  2.9401391E-03
   5960.50  2.9859952E-03
   5961.00  3.0332147E-03
   5961.50  3.0818585E-03
   5962.00  3.1319914E-03
   5962.50  3.1836821E-03
   5963.00  3.2370035E-03
   5963.50  3.2920331E-03
   5964.00  3.3488536E-03
   5964.50  3.4075529E-03
   5965.00  3.4682249E-03
   5965.50  3.5309695E-03
   5966.00  3.5958939E-03
   5966.50  3.6631125E-03
   5967.00  3.7327481E-03
   5967.50  3.8049321E-03
   5968.00  3.8798058E-03
   5968.50  3.9575211E-03
   5969.00  4.0382418E-03
   5969.50  4.1221442E-03
   5970.00  4.2094188E-03
   5970.50  4.3002720E-03
   5971.00  4.3949270E-03
   5971.50  4.4936264E-03
   5972.00  4.5966340E-03
   5972.50  4.7042372E-03
   5973.00  4.8167496E-03
   5973.50  4.9345148E-03
   5974.00  5.0579093E-03
   5974.50  5.1873471E-03
   5975.00  5.3232846E-03
   5975.50  5.4662263E-03
   5976.00  5.6167314E-03
   5976.50  5.7754222E-03
   5977.00  5.9429927E-03
   5977.50  6.1202210E-03
   5978.00  6.3079818E-03
   5978.50  6.5072642E-03
   5979.00  6.7191909E-03
   5979.50  6.9450444E-03
   5980.00  7.1862984E-03
   5980.50  7.4446585E-03
   5981.00  7.7221143E-03
   5981.50  8.0210092E-03
   5982.00  8.3441327E-03
