    Energy    <xanes>    
   7072.00  3.9962055E-04
   7072.50  4.0365479E-04
   7073.00  4.0846096E-04
   7073.50  4.1337583E-04
   7074.00  4.1840312E-04
   7074.50  4.2354670E-04
   7075.00  4.2881061E-04
   7075.50  4.3419910E-04
   7076.00  4.3971659E-04
   7076.50  4.4536775E-04
   7077.00  4.5115745E-04
   7077.50  4.5709081E-04
   7078.00  4.6317319E-04
   7078.50  4.6941024E-04
   7079.00  4.7580788E-04
   7079.50  4.8237234E-04
   7080.00  4.8911018E-04
   7080.50  4.9602829E-04
   7081.00  5.0313396E-04
   7081.50  5.1043484E-04
   7082.00  5.1793902E-04
   7082.50  5.2565504E-04
   7083.00  5.3359191E-04
   7083.50  5.4175919E-04
   7084.00  5.5016694E-04
   7084.50  5.5882587E-04
   7085.00  5.6774729E-04
   7085.50  5.7694322E-04
   7086.00  5.8642640E-04
   7086.50  5.9621041E-04
   7087.00  6.0630964E-04
   7087.50  6.1673944E-04
   7088.00  6.2751618E-04
   7088.50  6.3865729E-04
   7089.00  6.5018141E-04
   7089.50  6.6210847E-04
   7090.00  6.7445979E-04
   7090.50  6.8725822E-04
   7091.00  7.0052829E-04
   7091.50  7.1429633E-04
   7092.00  7.2859069E-04
   7092.50  7.4344191E-04
   7093.00  7.5888291E-04
   7093.50  7.7494931E-04
   7094.00  7.9167962E-04
   7094.50  8.0911561E-04
   7095.00  8.2730263E-04
   7095.50  8.4629003E-04
   7096.00  8.6613162E-04
   7096.50  8.8688616E-04
   7097.00  9.0861799E-04
   7097.50  9.3139773E-04
   7098.00  9.5530305E-04
   7098.50  9.8041964E-04
   7099.00  1.0068423E-03
   7099.50  1.0346761E-03
   7100.00  1.0640383E-03
   7100.50  1.0950596E-03
   7101.00  1.1278868E-03
   7101.50  1.1626854E-03
   7102.00  1.1996424E-03
   7102.50  1.2389712E-03
   7103.00  1.2809157E-03
   7103.50  1.3257577E-03
   7104.00  1.3738244E-03
   7104.50  1.4254999E-03
   7105.00  1.4812400E-03
   7105.50  1.5415919E-03
   7106.00  1.6072240E-03
   7106.50  1.6789667E-03
   7107.00  1.7578774E-03
   7107.10  1.7745767E-03
   7107.20  1.7914105E-03
   7107.30  1.8086919E-03
   7107.40  1.8268921E-03
   7107.50  1.8453401E-03
   7107.60  1.8639445E-03
   7107.70  1.8827117E-03
   7107.80  1.9020057E-03
   7107.81  1.9044530E-03
   7107.91  1.9246132E-03
   7108.01  1.9451701E-03
   7108.11  1.9661446E-03
   7108.21  1.9875594E-03
   7108.22  1.9898757E-03
   7108.32  2.0121200E-03
   7108.42  2.0349721E-03
   7108.52  2.0584658E-03
   7108.62  2.0826384E-03
   7108.72  2.1075305E-03
   7108.82  2.1331870E-03
   7108.92  2.1596573E-03
   7109.02  2.1869965E-03
   7109.12  2.2152654E-03
   7109.22  2.2445323E-03
   7109.32  2.2748733E-03
   7109.42  2.3063745E-03
   7109.52  2.3391327E-03
   7109.62  2.3732580E-03
   7109.72  2.4088760E-03
   7109.82  2.4461303E-03
   7109.92  2.4851866E-03
   7110.02  2.5262365E-03
