    Energy    <xanes>    
  30451.00  1.0876718E-03
  30451.50  1.1038908E-03
  30452.00  1.1205548E-03
  30452.50  1.1376816E-03
  30453.00  1.1552900E-03
  30453.50  1.1733999E-03
  30454.00  1.1920320E-03
  30454.50  1.2112085E-03
  30455.00  1.2309526E-03
  30455.50  1.2512888E-03
  30456.00  1.2722430E-03
  30456.50  1.2938427E-03
  30457.00  1.3161169E-03
  30457.50  1.3390964E-03
  30458.00  1.3628136E-03
  30458.50  1.3873033E-03
  30459.00  1.4126019E-03
  30459.50  1.4387485E-03
  30460.00  1.4657845E-03
  30460.50  1.4937540E-03
  30461.00  1.5227038E-03
  30461.50  1.5526840E-03
  30462.00  1.5837479E-03
  30462.50  1.6159525E-03
  30463.00  1.6493586E-03
  30463.50  1.6840314E-03
  30464.00  1.7200407E-03
  30464.50  1.7574612E-03
  30465.00  1.7963731E-03
  30465.50  1.8368628E-03
  30466.00  1.8790229E-03
  30466.50  1.9229533E-03
  30467.00  1.9687617E-03
  30467.50  2.0165642E-03
  30468.00  2.0664865E-03
  30468.50  2.1186645E-03
  30469.00  2.1732454E-03
  30469.50  2.2303892E-03
  30470.00  2.2902696E-03
  30470.50  2.3530756E-03
  30471.00  2.4190133E-03
  30471.50  2.4883077E-03
  30472.00  2.5612049E-03
  30472.50  2.6379744E-03
  30473.00  2.7189120E-03
  30473.50  2.8043428E-03
  30474.00  2.8946248E-03
  30474.50  2.9901532E-03
  30475.00  3.0913649E-03
  30475.50  3.1987440E-03
  30476.00  3.3128280E-03
  30476.50  3.4342149E-03
  30477.00  3.5635720E-03
  30477.50  3.7016449E-03
  30478.00  3.8492693E-03
  30478.50  4.0073840E-03
  30479.00  4.1770465E-03
  30479.50  4.3594504E-03
  30480.00  4.5559474E-03
  30480.50  4.7680715E-03
  30481.00  4.9975684E-03
  30481.50  5.2464297E-03
  30482.00  5.5169336E-03
  30482.50  5.8116913E-03
  30483.00  6.1337025E-03
  30483.50  6.4864185E-03
  30484.00  6.8738142E-03
  30484.50  7.3004691E-03
  30485.00  7.7716544E-03
  30485.50  8.2934223E-03
  30486.00  8.8726898E-03
  30486.10  8.9961168E-03
  30486.20  9.1222219E-03
  30486.30  9.2510740E-03
  30486.40  9.3827434E-03
  30486.50  9.5173020E-03
  30486.60  9.6548233E-03
  30486.70  9.7953821E-03
  30486.80  9.9390548E-03
  30486.90  1.0085919E-02
