    Energy    <xanes>    
  16348.00  7.5173607E-04
  16348.50  7.6289219E-04
  16349.00  7.7435660E-04
  16349.50  7.8614183E-04
  16350.00  7.9826108E-04
  16350.50  8.1072829E-04
  16351.00  8.2355815E-04
  16351.50  8.3676616E-04
  16352.00  8.5036869E-04
  16352.50  8.6438307E-04
  16353.00  8.7882759E-04
  16353.50  8.9372164E-04
  16354.00  9.0908575E-04
  16354.50  9.2494165E-04
  16355.00  9.4131244E-04
  16355.50  9.5822260E-04
  16356.00  9.7569817E-04
  16356.50  9.9376682E-04
  16357.00  1.0124580E-03
  16357.50  1.0318030E-03
  16358.00  1.0518354E-03
  16358.50  1.0725907E-03
  16359.00  1.0941070E-03
  16359.50  1.1164251E-03
  16360.00  1.1395885E-03
  16360.50  1.1636439E-03
  16361.00  1.1886411E-03
  16361.50  1.2146340E-03
  16362.00  1.2416800E-03
  16362.50  1.2698411E-03
  16363.00  1.2991841E-03
  16363.50  1.3297808E-03
  16364.00  1.3617088E-03
  16364.50  1.3950519E-03
  16365.00  1.4299006E-03
  16365.50  1.4663532E-03
  16366.00  1.5045159E-03
  16366.50  1.5445044E-03
  16367.00  1.5864441E-03
  16367.50  1.6304718E-03
  16368.00  1.6767365E-03
  16368.50  1.7254007E-03
  16369.00  1.7766423E-03
  16369.50  1.8306559E-03
  16370.00  1.8876549E-03
  16370.50  1.9478735E-03
  16371.00  2.0115694E-03
  16371.50  2.0790263E-03
  16372.00  2.1505572E-03
  16372.50  2.2265077E-03
  16373.00  2.3072602E-03
  16373.50  2.3932384E-03
  16374.00  2.4849124E-03
  16374.50  2.5828044E-03
  16375.00  2.6874954E-03
  16375.50  2.7996323E-03
  16376.00  2.9199364E-03
  16376.50  3.0492125E-03
  16377.00  3.1883588E-03
  16377.50  3.3383783E-03
  16378.00  3.5003907E-03
  16378.50  3.6756449E-03
  16379.00  3.8655315E-03
  16379.50  4.0715958E-03
  16380.00  4.2955481E-03
  16380.50  4.5392718E-03
  16381.00  4.8048248E-03
  16381.50  5.0944334E-03
  16382.00  5.4104700E-03
  16382.50  5.7554123E-03
  16383.00  6.1317708E-03
  16383.10  6.2110295E-03
  16383.20  6.2916614E-03
  16383.30  6.3736849E-03
  16383.40  6.4571177E-03
  16383.50  6.5419767E-03
  16383.60  6.6282786E-03
  16383.70  6.7160391E-03
  16383.80  6.8052730E-03
  16383.90  6.8959942E-03
