    Energy    <xanes>    
  30451.00  5.3250204E-04
  30451.50  5.4019480E-04
  30452.00  5.4809765E-04
  30452.50  5.5621912E-04
  30453.00  5.6456820E-04
  30453.50  5.7315435E-04
  30454.00  5.8198758E-04
  30454.50  5.9107844E-04
  30455.00  6.0043807E-04
  30455.50  6.1007828E-04
  30456.00  6.2001154E-04
  30456.50  6.3025105E-04
  30457.00  6.4081083E-04
  30457.50  6.5170571E-04
  30458.00  6.6295146E-04
  30458.50  6.7456482E-04
  30459.00  6.8656358E-04
  30459.50  6.9896668E-04
  30460.00  7.1179429E-04
  30460.50  7.2506790E-04
  30461.00  7.3881044E-04
  30461.50  7.5304642E-04
  30462.00  7.6780201E-04
  30462.50  7.8310523E-04
  30463.00  7.9898611E-04
  30463.50  8.1547682E-04
  30464.00  8.3261193E-04
  30464.50  8.5042856E-04
  30465.00  8.6896669E-04
  30465.50  8.8826936E-04
  30466.00  9.0838300E-04
  30466.50  9.2935777E-04
  30467.00  9.5124791E-04
  30467.50  9.7411216E-04
  30468.00  9.9801420E-04
  30468.50  1.0230232E-03
  30469.00  1.0492144E-03
  30469.50  1.0766698E-03
  30470.00  1.1054788E-03
  30470.50  1.1357391E-03
  30471.00  1.1675577E-03
  30471.50  1.2010519E-03
  30472.00  1.2363505E-03
  30472.50  1.2735956E-03
  30473.00  1.3129435E-03
  30473.50  1.3545670E-03
  30474.00  1.3986578E-03
  30474.50  1.4454282E-03
  30475.00  1.4951145E-03
  30475.50  1.5479800E-03
  30476.00  1.6043192E-03
  30476.50  1.6644616E-03
  30477.00  1.7287773E-03
  30477.50  1.7976829E-03
  30478.00  1.8716487E-03
  30478.50  1.9512068E-03
  30479.00  2.0369610E-03
  30479.50  2.1295984E-03
  30480.00  2.2299029E-03
  30480.50  2.3387715E-03
  30481.00  2.4572329E-03
  30481.50  2.5864706E-03
  30482.00  2.7278488E-03
  30482.50  2.8829434E-03
  30483.00  3.0535785E-03
  30483.50  3.2418673E-03
  30484.00  3.4502591E-03
  30484.50  3.6815905E-03
  30485.00  3.9391386E-03
  30485.50  4.2266724E-03
  30486.00  4.5484921E-03
  30486.10  4.6173873E-03
  30486.20  4.6878876E-03
  30486.30  4.7600350E-03
  30486.40  4.8338725E-03
  30486.50  4.9094438E-03
  30486.60  4.9867934E-03
  30486.70  5.0659663E-03
  30486.80  5.1470082E-03
  30486.90  5.2299654E-03
  30487.00  5.3148844E-03
  30487.10  5.4018124E-03
  30487.20  5.4907966E-03
  30487.30  5.5818845E-03
  30487.40  5.6751235E-03
