    Energy    <xanes>    
   7072.00  1.5420263E-03
   7072.50  1.5582625E-03
   7073.00  1.5763671E-03
   7073.50  1.5948704E-03
   7074.00  1.6137854E-03
   7074.50  1.6331261E-03
   7075.00  1.6529068E-03
   7075.50  1.6731426E-03
   7076.00  1.6938493E-03
   7076.50  1.7150435E-03
   7077.00  1.7367424E-03
   7077.50  1.7589641E-03
   7078.00  1.7817277E-03
   7078.50  1.8050530E-03
   7079.00  1.8289611E-03
   7079.50  1.8534738E-03
   7080.00  1.8786142E-03
   7080.50  1.9044067E-03
   7081.00  1.9308766E-03
   7081.50  1.9580510E-03
   7082.00  1.9859580E-03
   7082.50  2.0146277E-03
   7083.00  2.0440913E-03
   7083.50  2.0743823E-03
   7084.00  2.1055356E-03
   7084.50  2.1375884E-03
   7085.00  2.1705801E-03
   7085.50  2.2045521E-03
   7086.00  2.2395487E-03
   7086.50  2.2756165E-03
   7087.00  2.3128052E-03
   7087.50  2.3511677E-03
   7088.00  2.3907600E-03
   7088.50  2.4316419E-03
   7089.00  2.4738771E-03
   7089.50  2.5175337E-03
   7090.00  2.5626842E-03
   7090.50  2.6094063E-03
   7091.00  2.6577831E-03
   7091.50  2.7079038E-03
   7092.00  2.7598639E-03
   7092.50  2.8137664E-03
   7093.00  2.8697218E-03
   7093.50  2.9278494E-03
   7094.00  2.9882779E-03
   7094.50  3.0511465E-03
   7095.00  3.1166057E-03
   7095.50  3.1848191E-03
   7096.00  3.2559643E-03
   7096.50  3.3302347E-03
   7097.00  3.4078412E-03
   7097.50  3.4890145E-03
   7098.00  3.5740074E-03
   7098.50  3.6630976E-03
   7099.00  3.7565907E-03
   7099.50  3.8548245E-03
   7100.00  3.9581728E-03
   7100.50  4.0670510E-03
   7101.00  4.1819221E-03
   7101.50  4.3033041E-03
   7102.00  4.4317789E-03
   7102.50  4.5680030E-03
   7103.00  4.7127205E-03
   7103.50  4.8667798E-03
   7104.00  5.0311533E-03
   7104.50  5.2069638E-03
   7105.00  5.3955176E-03
   7105.50  5.5983477E-03
   7106.00  5.8172730E-03
   7106.50  6.0544780E-03
   7107.00  6.3126271E-03
   7107.10  6.3669023E-03
   7107.20  6.4223004E-03
   7107.30  6.4786350E-03
   7107.40  6.5360599E-03
   7107.50  6.5950315E-03
   7107.60  6.6546152E-03
   7107.70  6.7155091E-03
   7107.80  6.7775025E-03
   7107.90  6.8407709E-03
   7108.00  6.9059074E-03
   7108.10  6.9717836E-03
   7108.20  7.0392137E-03
   7108.30  7.1079586E-03
   7108.40  7.1782207E-03
   7108.50  7.2507949E-03
   7108.60  7.3242872E-03
   7108.70  7.3996641E-03
   7108.80  7.4766539E-03
   7108.90  7.5547685E-03
   7109.00  7.6358063E-03
   7109.10  7.7183822E-03
   7109.20  7.8036748E-03
   7109.30  7.8914341E-03
   7109.40  7.9819291E-03
   7109.50  8.0745908E-03
   7109.60  8.1693566E-03
   7109.70  8.2677160E-03
   7109.80  8.3694176E-03
   7109.82  8.3886016E-03
   7109.92  8.4942176E-03
   7110.02  8.6030272E-03
   7110.12  8.7153178E-03
   7110.14  8.7407121E-03
   7110.24  8.8593028E-03
   7110.34  8.9827840E-03
   7110.44  9.1116650E-03
   7110.54  9.2465482E-03
   7110.64  9.3881520E-03
   7110.74  9.5373381E-03
   7110.84  9.6951461E-03
   7110.94  9.8628333E-03
   7111.04  1.0041919E-02
   7111.14  1.0234222E-02
   7111.24  1.0441878E-02
   7111.34  1.0667293E-02
   7111.44  1.0912968E-02
   7111.54  1.1181089E-02
   7111.64  1.1472802E-02
   7111.74  1.1787219E-02
   7111.84  1.2120508E-02
   7111.94  1.2465795E-02
   7112.04  1.2814178E-02
   7112.14  1.3156063E-02
   7112.24  1.3482842E-02
   7112.34  1.3789445E-02
   7112.44  1.4077189E-02
   7112.54  1.4355313E-02
   7112.64  1.4638763E-02
   7112.74  1.4942911E-02
   7112.84  1.5278966E-02
   7112.94  1.5653064E-02
   7113.04  1.6068898E-02
   7113.14  1.6531593E-02
   7113.24  1.7050087E-02
   7113.34  1.7635845E-02
   7113.44  1.8297458E-02
   7113.54  1.9032669E-02
   7113.64  1.9821252E-02
   7113.74  2.0623905E-02
   7113.84  2.1392432E-02
   7113.94  2.2090353E-02
   7114.04  2.2712302E-02
   7114.14  2.3287372E-02
   7114.24  2.3864573E-02
   7114.34  2.4493320E-02
   7114.44  2.5211228E-02
   7114.54  2.6041112E-02
   7114.64  2.6991100E-02
   7114.74  2.8051967E-02
   7114.84  2.9192622E-02
   7114.94  3.0360266E-02
   7115.04  3.1491020E-02
   7115.14  3.2530985E-02
   7115.24  3.3457639E-02
   7115.34  3.4285916E-02
   7115.44  3.5051591E-02
   7115.54  3.5786036E-02
   7115.64  3.6502771E-02
   7115.74  3.7203103E-02
   7115.84  3.7892901E-02
   7115.94  3.8597423E-02
   7116.04  3.9366033E-02
   7116.14  4.0265759E-02
   7116.24  4.1366942E-02
   7116.34  4.2727196E-02
   7116.44  4.4381067E-02
   7116.54  4.6338940E-02
   7116.64  4.8592517E-02
   7116.74  5.1120693E-02
   7116.84  5.3891992E-02
   7116.94  5.6866701E-02
   7117.04  6.0046749E-02
   7117.14  6.3343596E-02
   7117.24  6.6707503E-02
   7117.34  7.0249730E-02
   7117.44  7.3866916E-02
   7117.54  7.7626633E-02
   7117.64  8.1444630E-02
   7117.74  8.5331000E-02
   7117.84  8.9245784E-02
   7117.94  9.3163195E-02
   7118.04  9.7072390E-02
   7118.14  1.0092586E-01
   7118.24  1.0469723E-01
   7118.34  1.0830386E-01
   7118.44  1.1169913E-01
   7118.54  1.1473543E-01
   7118.64  1.1742575E-01
   7118.74  1.1955204E-01
   7118.84  1.2129009E-01
   7118.94  1.2240064E-01
   7119.04  1.2322366E-01
   7119.14  1.2356543E-01
   7119.24  1.2382475E-01
   7119.34  1.2390159E-01
   7119.44  1.2410020E-01
   7119.54  1.2441601E-01
   7119.64  1.2499832E-01
   7119.74  1.2590361E-01
   7119.84  1.2715847E-01
   7119.94  1.2885132E-01
   7120.04  1.3088089E-01
   7120.14  1.3339940E-01
   7120.34  1.3962610E-01
   7120.54  1.4751573E-01
   7120.74  1.5705017E-01
   7120.94  1.6817976E-01
   7121.14  1.8073832E-01
   7121.34  1.9440563E-01
   7121.54  2.0877008E-01
   7121.74  2.2343178E-01
   7121.94  2.3805015E-01
   7122.14  2.5232738E-01
   7122.34  2.6600493E-01
   7122.54  2.7891696E-01
   7122.74  2.9105680E-01
   7122.94  3.0258052E-01
   7123.14  3.1372150E-01
   7123.34  3.2467167E-01
   7123.54  3.3551709E-01
   7123.74  3.4626885E-01
   7123.94  3.5694332E-01
   7124.14  3.6759724E-01
   7124.34  3.7826234E-01
   7124.54  3.8882368E-01
   7124.74  3.9896006E-01
   7124.94  4.0823929E-01
   7125.14  4.1633309E-01
   7125.34  4.2319531E-01
   7125.54  4.2906823E-01
   7125.74  4.3433270E-01
   7125.94  4.3933289E-01
   7126.14  4.4428604E-01
   7126.34  4.4929148E-01
   7126.54  4.5438546E-01
   7126.74  4.5958371E-01
   7126.94  4.6488931E-01
   7127.14  4.7027875E-01
   7127.34  4.7569159E-01
