    Energy    <xanes>    
   7072.00  1.5517408E-03
   7072.50  1.5687471E-03
   7073.00  1.5876586E-03
   7073.50  1.6069965E-03
   7074.00  1.6267750E-03
   7074.50  1.6470093E-03
   7075.00  1.6677151E-03
   7075.50  1.6889086E-03
   7076.00  1.7106072E-03
   7076.50  1.7328287E-03
   7077.00  1.7555921E-03
   7077.50  1.7789171E-03
   7078.00  1.8028245E-03
   7078.50  1.8273359E-03
   7079.00  1.8524741E-03
   7079.50  1.8782633E-03
   7080.00  1.9047285E-03
   7080.50  1.9318964E-03
   7081.00  1.9597947E-03
   7081.50  1.9884529E-03
   7082.00  2.0179020E-03
   7082.50  2.0481746E-03
   7083.00  2.0793053E-03
   7083.50  2.1113304E-03
   7084.00  2.1442883E-03
   7084.50  2.1782199E-03
   7085.00  2.2131681E-03
   7085.50  2.2491785E-03
   7086.00  2.2862997E-03
   7086.50  2.3245828E-03
   7087.00  2.3640825E-03
   7087.50  2.4048565E-03
   7088.00  2.4469666E-03
   7088.50  2.4904785E-03
   7089.00  2.5354620E-03
   7089.50  2.5819919E-03
   7090.00  2.6301479E-03
   7090.50  2.6800152E-03
   7091.00  2.7316853E-03
   7091.50  2.7852559E-03
   7092.00  2.8408320E-03
   7092.50  2.8985264E-03
   7093.00  2.9584605E-03
   7093.50  3.0207649E-03
   7094.00  3.0855808E-03
   7094.50  3.1530603E-03
   7095.00  3.2233684E-03
   7095.50  3.2966834E-03
   7096.00  3.3731994E-03
   7096.50  3.4531268E-03
   7097.00  3.5366953E-03
   7097.50  3.6241553E-03
   7098.00  3.7157805E-03
   7098.50  3.8118709E-03
   7099.00  3.9127559E-03
   7099.50  4.0187980E-03
   7100.00  4.1303970E-03
   7100.50  4.2479951E-03
   7101.00  4.3720830E-03
   7101.50  4.5032061E-03
   7102.00  4.6419732E-03
   7102.50  4.7890658E-03
   7103.00  4.9452494E-03
   7103.50  5.1113879E-03
   7104.00  5.2884597E-03
   7104.50  5.4775785E-03
   7105.00  5.6800189E-03
   7105.50  5.8972484E-03
   7106.00  6.1309681E-03
   7106.50  6.3831666E-03
   7107.00  6.6561914E-03
   7107.10  6.7129716E-03
   7107.20  6.7721220E-03
   7107.30  6.8318080E-03
   7107.40  6.8920447E-03
   7107.50  6.9528480E-03
   7107.58  7.0037987E-03
   7107.68  7.0671502E-03
   7107.78  7.1316370E-03
   7107.88  7.1972922E-03
   7107.98  7.2641506E-03
   7108.08  7.3322486E-03
   7108.18  7.4016244E-03
   7108.28  7.4723181E-03
   7108.38  7.5443720E-03
   7108.48  7.6178306E-03
   7108.58  7.6927410E-03
   7108.68  7.7691528E-03
   7108.78  7.8471190E-03
   7108.88  7.9266955E-03
   7108.98  8.0079423E-03
   7109.08  8.0909231E-03
   7109.18  8.1757065E-03
   7109.28  8.2623661E-03
   7109.38  8.3509814E-03
   7109.48  8.4416387E-03
   7109.58  8.5344317E-03
   7109.68  8.6294629E-03
   7109.78  8.7268453E-03
   7109.88  8.8267034E-03
   7109.98  8.9291759E-03
   7110.08  9.0344183E-03
   7110.18  9.1426058E-03
   7110.28  9.2539373E-03
   7110.38  9.3686409E-03
   7110.48  9.4869800E-03
   7110.58  9.6092613E-03
   7110.68  9.7358447E-03
   7110.78  9.8671563E-03
   7110.88  1.0003703E-02
   7110.98  1.0146092E-02
   7111.08  1.0295046E-02
   7111.18  1.0451426E-02
   7111.28  1.0616233E-02
   7111.38  1.0790588E-02
   7111.48  1.0975655E-02
   7111.58  1.1172466E-02
   7111.68  1.1381639E-02
   7111.78  1.1603041E-02
   7111.88  1.1835642E-02
   7111.98  1.2077998E-02
   7112.08  1.2329394E-02
   7112.18  1.2589711E-02
   7112.28  1.2859586E-02
   7112.38  1.3139524E-02
   7112.48  1.3428621E-02
   7112.58  1.3723982E-02
   7112.68  1.4021252E-02
   7112.78  1.4314508E-02
   7112.88  1.4598358E-02
   7112.98  1.4869659E-02
   7113.08  1.5128361E-02
   7113.18  1.5376694E-02
   7113.28  1.5617238E-02
   7113.38  1.5851610E-02
   7113.48  1.6080867E-02
   7113.58  1.6306969E-02
   7113.68  1.6533738E-02
   7113.78  1.6766496E-02
   7113.88  1.7010859E-02
   7113.98  1.7271648E-02
   7114.08  1.7552442E-02
   7114.18  1.7855677E-02
   7114.28  1.8182982E-02
   7114.38  1.8535521E-02
   7114.48  1.8914246E-02
   7114.58  1.9320061E-02
   7114.68  1.9753929E-02
   7114.78  2.0216941E-02
   7114.88  2.0710358E-02
   7114.98  2.1235648E-02
   7115.08  2.1794517E-02
   7115.18  2.2388929E-02
   7115.28  2.3021139E-02
   7115.38  2.3693717E-02
   7115.48  2.4409584E-02
   7115.58  2.5172046E-02
   7115.68  2.5984836E-02
   7115.78  2.6852159E-02
   7115.88  2.7778742E-02
   7115.98  2.8769889E-02
   7116.08  2.9831550E-02
   7116.18  3.0970405E-02
   7116.28  3.2193979E-02
   7116.38  3.3510777E-02
   7116.48  3.4930428E-02
   7116.58  3.6463807E-02
   7116.68  3.8123115E-02
   7116.78  3.9921915E-02
   7116.88  4.1875157E-02
   7116.98  4.3999219E-02
   7117.08  4.6369450E-02
   7117.18  4.8844681E-02
   7117.28  5.1652631E-02
   7117.38  5.4599752E-02
   7117.48  5.7946599E-02
   7117.58  6.1461429E-02
   7117.78  6.9628606E-02
   7117.98  7.9282077E-02
   7118.18  9.0558898E-02
   7118.38  1.0354673E-01
   7118.58  1.1825681E-01
   7118.78  1.3452526E-01
   7118.98  1.5192773E-01
   7119.18  1.6986210E-01
   7119.38  1.8772787E-01
   7119.58  2.0494467E-01
   7119.78  2.2082565E-01
   7119.98  2.3460185E-01
   7120.18  2.4567693E-01
   7120.38  2.5388943E-01
   7120.58  2.5958878E-01
   7120.78  2.6352002E-01
   7120.98  2.6661076E-01
   7121.18  2.6976273E-01
   7121.38  2.7370837E-01
   7121.58  2.7894527E-01
   7121.78  2.8574201E-01
   7121.98  2.9419322E-01
   7122.18  3.0428821E-01
   7122.38  3.1596780E-01
   7122.58  3.2915882E-01
   7122.78  3.4378196E-01
   7122.98  3.5973547E-01
   7123.18  3.7686571E-01
   7123.38  3.9494091E-01
   7123.58  4.1364544E-01
   7123.78  4.3260251E-01
   7123.98  4.5141764E-01
   7124.18  4.6972290E-01
   7124.38  4.8720244E-01
   7124.58  5.0359107E-01
   7124.78  5.1865187E-01
   7124.98  5.3214943E-01
   7125.18  5.4383834E-01
   7125.38  5.5347801E-01
   7125.58  5.6086713E-01
   7125.78  5.6587812E-01
   7125.98  5.6847488E-01
   7126.18  5.6871256E-01
   7126.38  5.6672969E-01
   7126.58  5.6274106E-01
   7126.78  5.5702993E-01
   7126.98  5.4993262E-01
   7127.18  5.4181284E-01
   7127.38  5.3303095E-01
   7127.58  5.2391706E-01
   7127.78  5.1475372E-01
   7127.98  5.0576933E-01
   7128.18  4.9713915E-01
   7128.38  4.8899073E-01
   7128.58  4.8141082E-01
   7128.78  4.7445234E-01
   7128.98  4.6814101E-01
   7129.18  4.6248113E-01
   7129.38  4.5746055E-01
   7129.58  4.5305458E-01
   7129.78  4.4922901E-01
   7129.98  4.4594230E-01
   7130.18  4.4314734E-01
   7130.38  4.4079293E-01
   7130.58  4.3882514E-01
   7130.78  4.3718867E-01
   7130.98  4.3582813E-01
   7131.18  4.3468922E-01
   7131.38  4.3371973E-01
   7131.58  4.3287039E-01
   7131.78  4.3209551E-01
   7131.98  4.3135342E-01
   7132.18  4.3050346E-01
   7132.38  4.2964747E-01
   7132.58  4.2878259E-01
   7133.58  4.2285007E-01
   7134.58  4.1398525E-01
   7135.58  4.0329472E-01
   7136.58  3.9245701E-01
   7137.58  3.8246353E-01
   7138.58  3.7357591E-01
   7139.58  3.6573005E-01
   7140.58  3.5881077E-01
   7141.58  3.5271187E-01
   7142.58  3.4728233E-01
   7143.58  3.4228702E-01
   7144.58  3.3742659E-01
   7145.58  3.3240679E-01
   7146.58  3.2703365E-01
   7147.58  3.2129257E-01
   7148.58  3.1537787E-01
   7149.58  3.0967103E-01
   7150.58  3.0467754E-01
   7151.58  3.0093175E-01
   7152.58  2.9889010E-01
   7153.58  2.9884239E-01
   7154.58  3.0086099E-01
   7155.58  3.0478962E-01
   7156.58  3.1026973E-01
   7157.58  3.1680692E-01
   7158.58  3.2387168E-01
   7159.58  3.3100846E-01
   7160.58  3.3791423E-01
   7161.58  3.4445880E-01
   7162.58  3.5064877E-01
   7163.58  3.5656365E-01
   7164.58  3.6229518E-01
   7165.58  3.6790413E-01
   7166.58  3.7339358E-01
   7167.58  3.7869647E-01
   7168.58  3.8368035E-01
   7169.58  3.8817278E-01
   7170.58  3.9200265E-01
   7171.58  3.9504423E-01
   7172.58  3.9724780E-01
   7173.58  3.9864618E-01
   7174.58  3.9933751E-01
   7175.58  3.9945455E-01
   7176.58  3.9913398E-01
   7177.58  3.9849480E-01
   7178.58  3.9762788E-01
   7179.58  3.9659518E-01
   7180.58  3.9543601E-01
   7181.58  3.9417695E-01
   7182.58  3.9284241E-01
   7183.58  3.9146398E-01
   7184.58  3.9008798E-01
   7185.58  3.8878057E-01
   7186.58  3.8762862E-01
   7187.58  3.8673395E-01
   7188.58  3.8620060E-01
   7189.58  3.8611749E-01
   7190.58  3.8654077E-01
   7191.58  3.8747987E-01
   7192.58  3.8888948E-01
   7193.58  3.9066822E-01
   7194.58  3.9266366E-01
   7195.58  3.9468389E-01
   7196.58  3.9651569E-01
   7197.58  3.9794861E-01
   7198.58  3.9880190E-01
   7199.58  3.9894900E-01
   7200.58  3.9833370E-01
   7201.58  3.9697370E-01
   7202.58  3.9495148E-01
   7203.58  3.9239651E-01
   7204.58  3.8946431E-01
   7205.58  3.8631688E-01
   7206.58  3.8310687E-01
   7207.58  3.7996624E-01
   7208.58  3.7699903E-01
   7209.58  3.7427783E-01
   7210.58  3.7184353E-01
   7211.58  3.6970852E-01
