    Energy    <xanes>    
   7072.00  2.4693059E-04
   7072.50  2.4982817E-04
   7073.00  2.5278926E-04
   7073.50  2.5581594E-04
   7074.00  2.5891040E-04
   7074.50  2.6207492E-04
   7075.00  2.6531187E-04
   7075.50  2.6862375E-04
   7076.00  2.7201318E-04
   7076.50  2.7548288E-04
   7077.00  2.7903570E-04
   7077.50  2.8267466E-04
   7078.00  2.8640289E-04
   7078.50  2.9022368E-04
   7079.00  2.9414051E-04
   7079.50  2.9815702E-04
   7080.00  3.0227702E-04
   7080.50  3.0650454E-04
   7081.00  3.1084381E-04
   7081.50  3.1529929E-04
   7082.00  3.1987569E-04
   7082.50  3.2457796E-04
   7083.00  3.2941133E-04
   7083.50  3.3438134E-04
   7084.00  3.3949382E-04
   7084.50  3.4475497E-04
   7085.00  3.5017132E-04
   7085.50  3.5574982E-04
   7086.00  3.6149783E-04
   7086.50  3.6742315E-04
   7087.00  3.7353410E-04
   7087.50  3.7983951E-04
   7088.00  3.8634879E-04
   7088.50  3.9307195E-04
   7089.00  4.0001969E-04
   7089.50  4.0720345E-04
   7090.00  4.1463544E-04
   7090.50  4.2232874E-04
   7091.00  4.3029739E-04
   7091.50  4.3855644E-04
   7092.00  4.4712207E-04
   7092.50  4.5601172E-04
   7093.00  4.6524416E-04
   7093.50  4.7483966E-04
   7094.00  4.8482016E-04
   7094.50  4.9520939E-04
   7095.00  5.0603314E-04
   7095.50  5.1731940E-04
   7096.00  5.2909868E-04
   7096.50  5.4140428E-04
   7097.00  5.5427260E-04
   7097.50  5.6774354E-04
   7098.00  5.8186096E-04
   7098.50  5.9667314E-04
   7099.00  6.1223340E-04
   7099.50  6.2860083E-04
   7100.00  6.4584103E-04
   7100.50  6.6402714E-04
   7101.00  6.8324093E-04
   7101.50  7.0357421E-04
   7102.00  7.2513048E-04
   7102.50  7.4802687E-04
   7103.00  7.7239665E-04
   7103.50  7.9839222E-04
   7104.00  8.2618888E-04
   7104.50  8.5598956E-04
   7105.00  8.8803091E-04
   7105.50  9.2259117E-04
   7106.00  9.6000054E-04
   7106.50  1.0006551E-03
   7107.00  1.0450362E-03
   7107.10  1.0544095E-03
   7107.20  1.0639605E-03
   7107.30  1.0736948E-03
   7107.40  1.0836184E-03
   7107.50  1.0937375E-03
   7107.60  1.1040585E-03
   7107.70  1.1145883E-03
   7107.80  1.1253341E-03
   7107.90  1.1363035E-03
   7108.00  1.1475045E-03
