    Energy    <xanes>    
   7072.00  5.2640689E-04
   7072.50  5.3239351E-04
   7073.00  5.3850980E-04
   7073.50  5.4476000E-04
   7074.00  5.5114855E-04
   7074.50  5.5768009E-04
   7075.00  5.6435946E-04
   7075.50  5.7119173E-04
   7076.00  5.7818220E-04
   7076.50  5.8533642E-04
   7077.00  5.9266021E-04
   7077.50  6.0015966E-04
   7078.00  6.0784117E-04
   7078.50  6.1571144E-04
   7079.00  6.2377750E-04
   7079.50  6.3204677E-04
   7080.00  6.4052701E-04
   7080.50  6.4922641E-04
   7081.00  6.5815357E-04
   7081.50  6.6731757E-04
   7082.00  6.7672797E-04
   7082.50  6.8639486E-04
   7083.00  6.9632888E-04
   7083.50  7.0654129E-04
   7084.00  7.1704400E-04
   7084.50  7.2784958E-04
   7085.00  7.3897138E-04
   7085.50  7.5042354E-04
   7086.00  7.6222108E-04
   7086.50  7.7437992E-04
   7087.00  7.8691702E-04
   7087.50  7.9985041E-04
   7088.00  8.1319933E-04
   7088.50  8.2698428E-04
   7089.00  8.4122716E-04
   7089.50  8.5595138E-04
   7090.00  8.7118203E-04
   7090.50  8.8694599E-04
   7091.00  9.0327212E-04
   7091.50  9.2019145E-04
   7092.00  9.3773742E-04
   7092.50  9.5594606E-04
   7093.00  9.7485633E-04
   7093.50  9.9451040E-04
   7094.00  1.0149540E-03
   7094.50  1.0362369E-03
   7095.00  1.0584131E-03
   7095.50  1.0815419E-03
   7096.00  1.1056878E-03
   7096.50  1.1309219E-03
   7097.00  1.1573224E-03
   7097.50  1.1849756E-03
   7098.00  1.2139770E-03
   7098.50  1.2444329E-03
   7099.00  1.2764621E-03
   7099.50  1.3101978E-03
   7100.00  1.3457899E-03
   7100.50  1.3834085E-03
   7101.00  1.4232477E-03
   7101.50  1.4655300E-03
   7102.00  1.5105132E-03
   7102.50  1.5584980E-03
   7103.00  1.6098392E-03
   7103.50  1.6649596E-03
   7104.00  1.7243705E-03
   7104.50  1.7886990E-03
   7105.00  1.8587282E-03
   7105.50  1.9354562E-03
   7106.00  2.0201860E-03
   7106.50  2.1146668E-03
   7107.00  2.2213244E-03
   7107.10  2.2443997E-03
   7107.20  2.2681311E-03
   7107.30  2.2925563E-03
   7107.40  2.3177164E-03
   7107.50  2.3436561E-03
   7107.60  2.3704242E-03
   7107.70  2.3980745E-03
   7107.80  2.4266656E-03
   7107.90  2.4562625E-03
   7108.00  2.4869365E-03
   7108.10  2.5187669E-03
   7108.20  2.5518412E-03
   7108.30  2.5862572E-03
   7108.40  2.6221236E-03
   7108.50  2.6595624E-03
   7108.60  2.6987101E-03
   7108.70  2.7397208E-03
   7108.80  2.7827683E-03
   7108.90  2.8280496E-03
   7109.00  2.8757889E-03
   7109.10  2.9262423E-03
   7109.20  2.9797032E-03
