    Energy    <xanes>    
   7072.00  1.5684571E-03
   7072.50  1.5870101E-03
   7073.00  1.6059731E-03
   7073.50  1.6253596E-03
   7074.00  1.6451837E-03
   7074.50  1.6654602E-03
   7075.00  1.6862045E-03
   7075.50  1.7074326E-03
   7076.00  1.7291615E-03
   7076.50  1.7514087E-03
   7077.00  1.7741928E-03
   7077.50  1.7975330E-03
   7078.00  1.8214497E-03
   7078.50  1.8459641E-03
   7079.00  1.8710986E-03
   7079.50  1.8968765E-03
   7080.00  1.9233224E-03
   7080.50  1.9504623E-03
   7081.00  1.9783233E-03
   7081.50  2.0069340E-03
   7082.00  2.0363247E-03
   7082.50  2.0665270E-03
   7083.00  2.0975745E-03
   7083.50  2.1295024E-03
   7084.00  2.1623482E-03
   7084.50  2.1961513E-03
   7085.00  2.2309534E-03
   7085.50  2.2667986E-03
   7086.00  2.3037336E-03
   7086.50  2.3418080E-03
   7087.00  2.3810745E-03
   7087.50  2.4215887E-03
   7088.00  2.4634101E-03
   7088.50  2.5066017E-03
   7089.00  2.5512306E-03
   7089.50  2.5973685E-03
   7090.00  2.6450918E-03
   7090.50  2.6944820E-03
   7091.00  2.7456263E-03
   7091.50  2.7986179E-03
   7092.00  2.8535569E-03
   7092.50  2.9105504E-03
   7093.00  2.9697137E-03
   7093.50  3.0311705E-03
   7094.00  3.0950542E-03
   7094.50  3.1615086E-03
   7095.00  3.2306889E-03
   7095.50  3.3027630E-03
   7096.00  3.3779126E-03
   7096.50  3.4563350E-03
   7097.00  3.5382445E-03
   7097.50  3.6238742E-03
   7098.00  3.7134786E-03
   7098.50  3.8073354E-03
   7099.00  3.9057489E-03
   7099.50  4.0090529E-03
   7100.00  4.1176142E-03
   7100.50  4.2318372E-03
   7101.00  4.3521688E-03
   7101.50  4.4791040E-03
   7102.00  4.6131926E-03
   7102.50  4.7550472E-03
   7103.00  4.9053529E-03
   7103.50  5.0648779E-03
   7104.00  5.2344874E-03
   7104.50  5.4151598E-03
