    Energy    <xanes>    
   7072.00  1.2903339E-04
   7072.50  1.3057528E-04
   7073.00  1.3215147E-04
   7073.50  1.3376310E-04
   7074.00  1.3541134E-04
   7074.50  1.3709745E-04
   7075.00  1.3882273E-04
   7075.50  1.4058853E-04
   7076.00  1.4239627E-04
   7076.50  1.4424745E-04
   7077.00  1.4614363E-04
   7077.50  1.4808643E-04
   7078.00  1.5007759E-04
   7078.50  1.5211888E-04
   7079.00  1.5421222E-04
   7079.50  1.5635957E-04
   7080.00  1.5856303E-04
   7080.50  1.6082480E-04
   7081.00  1.6314718E-04
   7081.50  1.6553261E-04
   7082.00  1.6798366E-04
   7082.50  1.7050304E-04
   7083.00  1.7309360E-04
   7083.50  1.7575836E-04
   7084.00  1.7850052E-04
   7084.50  1.8132346E-04
   7085.00  1.8423074E-04
   7085.50  1.8722617E-04
   7086.00  1.9031377E-04
   7086.50  1.9349781E-04
   7087.00  1.9678283E-04
   7087.50  2.0017367E-04
   7088.00  2.0367546E-04
   7088.50  2.0729371E-04
   7089.00  2.1103426E-04
   7089.50  2.1490338E-04
   7090.00  2.1890777E-04
   7090.50  2.2305461E-04
   7091.00  2.2735159E-04
   7091.50  2.3180701E-04
   7092.00  2.3642976E-04
   7092.50  2.4122944E-04
   7093.00  2.4621642E-04
   7093.50  2.5140190E-04
   7094.00  2.5679804E-04
   7094.50  2.6241801E-04
   7095.00  2.6827616E-04
   7095.50  2.7438814E-04
   7096.00  2.8077107E-04
   7096.50  2.8744368E-04
   7097.00  2.9442661E-04
   7097.50  3.0174258E-04
   7098.00  3.0941677E-04
   7098.50  3.1747710E-04
   7099.00  3.2595476E-04
   7099.50  3.3488468E-04
   7100.00  3.4430617E-04
   7100.50  3.5426380E-04
   7101.00  3.6480833E-04
   7101.50  3.7599806E-04
   7102.00  3.8790044E-04
   7102.50  4.0059429E-04
   7103.00  4.1417267E-04
   7103.50  4.2874678E-04
   7104.00  4.4445145E-04
   7104.50  4.6145278E-04
   7105.00  4.7995932E-04
   7105.50  5.0023878E-04
   7106.00  5.2264364E-04
   7106.50  5.4765202E-04
   7107.00  5.7593543E-04
   7107.10  5.8206413E-04
   7107.20  5.8837132E-04
   7107.30  5.9486769E-04
   7107.40  6.0156492E-04
   7107.50  6.0847580E-04
   7107.60  6.1561435E-04
   7107.70  6.2299601E-04
   7107.80  6.3063777E-04
   7107.90  6.3855843E-04
   7108.00  6.4677880E-04
   7108.10  6.5532199E-04
   7108.20  6.6421375E-04
   7108.30  6.7348283E-04
   7108.40  6.8316146E-04
   7108.50  6.9328581E-04
   7108.60  7.0389669E-04
   7108.70  7.1504021E-04
   7108.80  7.2676872E-04
   7108.90  7.3914181E-04
   7109.00  7.5222759E-04
   7109.10  7.6610422E-04
   7109.20  7.8086170E-04
   7109.30  7.9660415E-04
   7109.40  8.1345250E-04
   7109.50  8.3154789E-04
   7109.60  8.5105579E-04
   7109.70  8.7217114E-04
   7109.80  8.9512480E-04
   7109.90  9.2019157E-04
   7110.00  9.4770039E-04
   7110.10  9.7804721E-04
   7110.20  1.0117114E-03
   7110.30  1.0492767E-03
   7110.40  1.0914581E-03
   7110.50  1.1391367E-03
   7110.60  1.1934039E-03
   7110.70  1.2556183E-03
   7110.80  1.3274780E-03
   7110.90  1.4111102E-03
   7111.00  1.5091781E-03
   7111.10  1.6249996E-03
   7111.20  1.7626568E-03
   7111.30  1.9270446E-03
   7111.40  2.1237426E-03
   7111.50  2.3584809E-03
   7111.60  2.6357841E-03
   7111.70  2.9561800E-03
   7111.80  3.3114067E-03
   7111.90  3.6780460E-03
   7112.00  4.0128397E-03
   7112.10  4.2568098E-03
   7112.20  4.3553397E-03
   7112.30  4.2861513E-03
   7112.40  4.0725954E-03
   7112.50  3.7690424E-03
   7112.60  3.4330039E-03
   7112.70  3.1064463E-03
   7112.80  2.8123344E-03
   7112.90  2.5593678E-03
   7113.00  2.3478589E-03
   7113.10  2.1740550E-03
   7113.20  2.0327436E-03
   7113.30  1.9186298E-03
   7113.40  1.8269539E-03
   7113.50  1.7536889E-03
   7113.60  1.6955361E-03
   7113.70  1.6498424E-03
   7113.80  1.6144991E-03
   7113.90  1.5878419E-03
   7114.00  1.5685589E-03
   7114.10  1.5556111E-03
   7114.20  1.5481700E-03
   7114.30  1.5455716E-03
   7114.40  1.5472823E-03
   7114.50  1.5528742E-03
   7114.60  1.5620058E-03
   7114.70  1.5744069E-03
   7114.80  1.5898671E-03
   7114.90  1.6082258E-03
   7115.00  1.6293655E-03
   7115.10  1.6532052E-03
   7115.20  1.6796968E-03
   7115.30  1.7088214E-03
   7115.40  1.7405865E-03
   7115.50  1.7750250E-03
   7115.60  1.8121936E-03
   7115.70  1.8521726E-03
   7115.80  1.8950658E-03
   7115.90  1.9410014E-03
   7116.00  1.9901325E-03
   7116.10  2.0426393E-03
   7116.20  2.0987308E-03
   7116.30  2.1586478E-03
   7116.40  2.2226661E-03
   7116.50  2.2911005E-03
   7116.60  2.3643100E-03
   7116.70  2.4427027E-03
   7116.80  2.5267431E-03
   7116.90  2.6169594E-03
   7117.00  2.7139517E-03
   7117.20  2.9310820E-03
   7117.40  3.1847373E-03
   7117.60  3.4832434E-03
   7117.80  3.8366824E-03
   7118.00  4.2563532E-03
