    Energy    <xanes>    
   6499.00  4.1680999E-04
   6499.50  4.2126755E-04
   6500.00  4.2636691E-04
   6500.50  4.3158362E-04
   6501.00  4.3692172E-04
   6501.50  4.4238547E-04
   6502.00  4.4797932E-04
   6502.50  4.5370793E-04
   6503.00  4.5957617E-04
   6503.50  4.6558917E-04
   6504.00  4.7175229E-04
   6504.50  4.7807118E-04
   6505.00  4.8455175E-04
   6505.50  4.9120023E-04
   6506.00  4.9802316E-04
   6506.50  5.0502743E-04
   6507.00  5.1222028E-04
   6507.50  5.1960936E-04
   6508.00  5.2720272E-04
   6508.50  5.3500885E-04
   6509.00  5.4303673E-04
   6509.50  5.5129584E-04
   6510.00  5.5979618E-04
   6510.50  5.6854838E-04
   6511.00  5.7756364E-04
   6511.50  5.8685389E-04
   6512.00  5.9643173E-04
   6512.50  6.0631057E-04
   6513.00  6.1650464E-04
   6513.50  6.2702909E-04
   6514.00  6.3790003E-04
   6514.50  6.4913464E-04
   6515.00  6.6075124E-04
   6515.50  6.7276938E-04
   6516.00  6.8520996E-04
   6516.50  6.9809536E-04
   6517.00  7.1144952E-04
   6517.50  7.2529813E-04
   6518.00  7.3966880E-04
   6518.50  7.5459116E-04
   6519.00  7.7009715E-04
   6519.50  7.8622119E-04
   6520.00  8.0300042E-04
   6520.50  8.2047501E-04
   6521.00  8.3868843E-04
   6521.50  8.5768785E-04
   6522.00  8.7752448E-04
   6522.50  8.9825405E-04
   6523.00  9.1993731E-04
   6523.50  9.4264061E-04
   6524.00  9.6643655E-04
   6524.50  9.9140476E-04
   6525.00  1.0176327E-03
   6525.50  1.0452169E-03
   6526.00  1.0742636E-03
   6526.50  1.1048908E-03
   6527.00  1.1372292E-03
   6527.50  1.1714246E-03
   6528.00  1.2076398E-03
   6528.50  1.2460570E-03
   6529.00  1.2868815E-03
   6529.50  1.3303451E-03
   6530.00  1.3767106E-03
   6530.50  1.4262776E-03
   6531.00  1.4793897E-03
   6531.50  1.5364426E-03
   6532.00  1.5978960E-03
   6532.50  1.6642876E-03
   6533.00  1.7362529E-03
   6533.50  1.8145510E-03
   6534.00  1.9001026E-03
   6534.09  1.9167500E-03
   6534.19  1.9353339E-03
   6534.29  1.9541640E-03
   6534.39  1.9732480E-03
   6534.49  1.9925945E-03
   6534.57  2.0072859E-03
   6534.67  2.0274649E-03
   6534.77  2.0480578E-03
   6534.87  2.0690792E-03
   6534.97  2.0905445E-03
   6535.07  2.1124700E-03
   6535.17  2.1348731E-03
   6535.27  2.1577723E-03
   6535.37  2.1811873E-03
   6535.47  2.2051394E-03
   6535.57  2.2296512E-03
   6535.67  2.2547473E-03
   6535.77  2.2804541E-03
   6535.87  2.3068003E-03
   6535.97  2.3338172E-03
   6536.07  2.3615389E-03
   6536.17  2.3900028E-03
   6536.27  2.4192505E-03
   6536.37  2.4493276E-03
   6536.47  2.4802853E-03
   6536.57  2.5121810E-03
   6536.67  2.5450792E-03
   6536.77  2.5790535E-03
   6536.87  2.6141879E-03
   6536.97  2.6505794E-03
   6537.07  2.6883406E-03
   6537.17  2.7276035E-03
   6537.27  2.7685240E-03
   6537.37  2.8112883E-03
   6537.47  2.8561203E-03
   6537.57  2.9032919E-03
   6537.67  2.9531361E-03
   6537.77  3.0060640E-03
   6537.87  3.0625861E-03
   6537.97  3.1233388E-03
   6538.07  3.1891136E-03
   6538.17  3.2608866E-03
   6538.27  3.3398319E-03
   6538.37  3.4272908E-03
   6538.47  3.5246343E-03
   6538.57  3.6329181E-03
   6538.67  3.7522208E-03
   6538.77  3.8806980E-03
   6538.87  4.0138418E-03
   6538.97  4.1450080E-03
   6539.07  4.2679620E-03
   6539.17  4.3799088E-03
   6539.27  4.4819888E-03
   6539.37  4.5763850E-03
   6539.47  4.6626907E-03
   6539.57  4.7374970E-03
   6539.67  4.7978607E-03
   6539.77  4.8445466E-03
   6539.87  4.8819136E-03
   6539.97  4.9152168E-03
   6540.07  4.9486726E-03
   6540.17  4.9854503E-03
   6540.27  5.0283660E-03
   6540.37  5.0800448E-03
   6540.47  5.1426353E-03
   6540.57  5.2176820E-03
   6540.67  5.3062661E-03
   6540.77  5.4091848E-03
   6540.87  5.5270808E-03
   6540.97  5.6605599E-03
   6541.07  5.8102981E-03
   6541.17  5.9771012E-03
   6541.27  6.1618953E-03
   6541.37  6.3656422E-03
   6541.47  6.5891894E-03
   6541.57  6.8330322E-03
   6541.67  7.0968617E-03
   6541.77  7.3787650E-03
   6541.87  7.6743749E-03
   6541.97  7.9769973E-03
   6542.07  8.2797137E-03
   6542.17  8.5787780E-03
   6542.27  8.8757000E-03
   6542.37  9.1761936E-03
   6542.47  9.4874177E-03
   6542.57  9.8164272E-03
   6542.67  1.0170687E-02
   6542.77  1.0558995E-02
   6542.87  1.0991298E-02
   6542.97  1.1477673E-02
   6543.07  1.2027460E-02
   6543.17  1.2648965E-02
   6543.27  1.3349435E-02
   6543.37  1.4135056E-02
   6543.47  1.5010882E-02
   6543.57  1.5980773E-02
   6543.67  1.7047210E-02
   6543.77  1.8210562E-02
   6543.87  1.9467368E-02
   6543.97  2.0808001E-02
   6544.07  2.2216019E-02
   6544.17  2.3660853E-02
   6544.27  2.5119173E-02
   6544.37  2.6564215E-02
   6544.47  2.7986203E-02
   6544.57  2.9372291E-02
   6544.77  3.2109751E-02
   6544.97  3.4992589E-02
   6545.17  3.8303729E-02
   6545.37  4.2269854E-02
   6545.57  4.7006445E-02
   6545.77  5.2502032E-02
   6545.97  5.8612483E-02
   6546.17  6.5060060E-02
   6546.37  7.1458692E-02
   6546.57  7.7403840E-02
   6546.77  8.2604663E-02
   6546.97  8.6949086E-02
   6547.17  9.0471128E-02
   6547.37  9.3318651E-02
   6547.57  9.5745415E-02
   6547.77  9.8058414E-02
   6547.97  1.0053051E-01
   6548.17  1.0335291E-01
   6548.37  1.0664016E-01
   6548.57  1.1043991E-01
   6548.77  1.1472213E-01
   6548.97  1.1936871E-01
   6549.17  1.2419085E-01
   6549.37  1.2897429E-01
   6549.57  1.3352692E-01
   6549.77  1.3770531E-01
   6549.97  1.4141902E-01
   6550.17  1.4462295E-01
   6550.37  1.4730240E-01
   6550.57  1.4945537E-01
   6550.77  1.5108218E-01
   6550.97  1.5218814E-01
   6551.17  1.5279256E-01
   6551.37  1.5293313E-01
   6551.57  1.5266229E-01
   6551.77  1.5204147E-01
   6551.97  1.5113847E-01
   6552.17  1.5002712E-01
   6552.37  1.4878584E-01
   6552.57  1.4749370E-01
   6552.77  1.4622560E-01
   6552.97  1.4504754E-01
   6553.17  1.4401257E-01
   6553.37  1.4315725E-01
   6553.57  1.4249820E-01
   6553.77  1.4202948E-01
   6553.97  1.4172149E-01
   6554.17  1.4152247E-01
   6554.37  1.4136337E-01
   6554.57  1.4116566E-01
   6554.77  1.4085087E-01
   6554.97  1.4035022E-01
   6555.17  1.3961222E-01
   6555.37  1.3860723E-01
   6555.57  1.3732836E-01
   6555.77  1.3578927E-01
   6555.97  1.3401970E-01
   6556.17  1.3206015E-01
   6556.37  1.2995661E-01
   6556.57  1.2775616E-01
   6556.77  1.2550361E-01
   6556.97  1.2323934E-01
   6557.17  1.2099799E-01
   6557.37  1.1880788E-01
   6557.57  1.1669102E-01
   6557.77  1.1466350E-01
   6557.97  1.1273617E-01
   6558.17  1.1091553E-01
   6558.37  1.0920466E-01
   6558.57  1.0760412E-01
   6558.77  1.0611280E-01
   6558.97  1.0472856E-01
   6559.17  1.0352420E-01
   6559.37  1.0243105E-01
   6559.57  1.0137348E-01
   6560.57  9.7308044E-02
   6561.57  9.5182359E-02
   6562.57  9.4448832E-02
   6563.57  9.4506600E-02
   6564.57  9.4773092E-02
   6565.57  9.4718661E-02
   6566.57  9.3962340E-02
   6567.57  9.2404365E-02
   6568.57  9.0244355E-02
   6569.57  8.7849562E-02
   6570.57  8.5594485E-02
   6571.57  8.3766451E-02
   6572.57  8.2533399E-02
   6573.57  8.1947778E-02
   6574.57  8.1975491E-02
   6575.57  8.2536986E-02
   6576.57  8.3542312E-02
   6577.57  8.4908536E-02
   6578.57  8.6560748E-02
   6579.57  8.8426885E-02
   6580.57  9.0436683E-02
   6581.57  9.2527262E-02
   6582.57  9.4649728E-02
   6583.57  9.6769992E-02
   6584.57  9.8862755E-02
   6585.57  1.0090293E-01
   6586.57  1.0285881E-01
   6587.57  1.0468910E-01
   6588.57  1.0634460E-01
   6589.57  1.0777488E-01
   6590.57  1.0893783E-01
   6591.57  1.0980810E-01
   6592.57  1.1038118E-01
   6593.57  1.1067290E-01
   6594.57  1.1071654E-01
   6595.57  1.1055923E-01
   6596.57  1.1025803E-01
   6597.57  1.0987484E-01
   6598.57  1.0947050E-01
   6599.57  1.0909866E-01
   6600.57  1.0880034E-01
   6601.57  1.0859951E-01
   6602.57  1.0849988E-01
   6603.57  1.0848403E-01
   6604.57  1.0851567E-01
   6605.57  1.0854619E-01
   6606.57  1.0852476E-01
   6607.57  1.0840926E-01
   6608.57  1.0817390E-01
   6609.57  1.0781051E-01
   6610.57  1.0732349E-01
   6611.57  1.0672234E-01
   6612.57  1.0601606E-01
   6613.57  1.0521178E-01
   6614.57  1.0431708E-01
   6615.57  1.0334374E-01
   6616.57  1.0231070E-01
   6617.57  1.0124536E-01
   6618.57  1.0018325E-01
   6619.57  9.9166470E-02
   6620.57  9.8240807E-02
   6621.57  9.7451804E-02
   6622.57  9.6840144E-02
   6623.57  9.6437278E-02
   6624.57  9.6262094E-02
   6625.57  9.6319113E-02
   6626.57  9.6598410E-02
   6627.57  9.7077168E-02
   6628.57  9.7722553E-02
   6629.57  9.8495409E-02
   6630.57  9.9354189E-02
   6631.57  1.0025863E-01
   6632.57  1.0117275E-01
   6633.57  1.0206679E-01
   6634.57  1.0291805E-01
   6635.57  1.0371069E-01
   6636.57  1.0443495E-01
   6637.57  1.0508621E-01
   6638.57  1.0566404E-01
