    Energy    <xanes>    
  18946.00  3.1618930E-04
  18946.50  3.1984849E-04
  18947.00  3.2358828E-04
  18947.50  3.2741133E-04
  18948.00  3.3132045E-04
  18948.50  3.3531857E-04
  18949.00  3.3940873E-04
  18949.50  3.4359415E-04
  18950.00  3.4787817E-04
  18950.50  3.5226431E-04
  18951.00  3.5675625E-04
  18951.50  3.6135784E-04
  18952.00  3.6607312E-04
  18952.50  3.7090636E-04
  18953.00  3.7586201E-04
  18953.50  3.8094477E-04
  18954.00  3.8615956E-04
  18954.50  3.9151160E-04
  18955.00  3.9700633E-04
  18955.50  4.0264954E-04
  18956.00  4.0844730E-04
  18956.50  4.1440602E-04
  18957.00  4.2053249E-04
  18957.50  4.2683388E-04
  18958.00  4.3331775E-04
  18958.50  4.3999214E-04
  18959.00  4.4686555E-04
  18959.50  4.5394701E-04
  18960.00  4.6124608E-04
  18960.50  4.6877294E-04
  18961.00  4.7653842E-04
  18961.50  4.8455404E-04
  18962.00  4.9283207E-04
  18962.50  5.0138562E-04
  18963.00  5.1022869E-04
  18963.50  5.1937624E-04
  18964.00  5.2884429E-04
  18964.50  5.3865002E-04
  18965.00  5.4881188E-04
  18965.50  5.5934969E-04
  18966.00  5.7028478E-04
  18966.50  5.8164016E-04
  18967.00  5.9344065E-04
  18967.50  6.0571314E-04
  18968.00  6.1848671E-04
  18968.50  6.3179294E-04
  18969.00  6.4566619E-04
  18969.50  6.6014387E-04
  18970.00  6.7526684E-04
  18970.50  6.9107980E-04
  18971.00  7.0763181E-04
  18971.50  7.2497679E-04
  18972.00  7.4317420E-04
  18972.50  7.6228980E-04
  18973.00  7.8239653E-04
  18973.50  8.0357554E-04
  18974.00  8.2591748E-04
  18974.50  8.4952395E-04
  18975.00  8.7450935E-04
  18975.50  9.0100301E-04
  18976.00  9.2915191E-04
  18976.50  9.5912398E-04
  18977.00  9.9111218E-04
  18977.50  1.0253398E-03
  18978.00  1.0620668E-03
  18978.50  1.1015988E-03
  18979.00  1.1442979E-03
  18979.50  1.1905973E-03
  18980.00  1.2410214E-03
  18980.50  1.2962128E-03
  18981.00  1.3569691E-03
