    Energy    <xanes>    
   5949.00  2.6992385E-04
   5949.50  2.7316489E-04
   5950.00  2.7647846E-04
   5950.50  2.7986697E-04
   5951.00  2.8333297E-04
   5951.50  2.8687910E-04
   5952.00  2.9050813E-04
   5952.50  2.9422296E-04
   5953.00  2.9802663E-04
   5953.50  3.0192232E-04
   5954.00  3.0591336E-04
   5954.50  3.1000325E-04
   5955.00  3.1419564E-04
   5955.50  3.1849439E-04
   5956.00  3.2290353E-04
   5956.50  3.2742733E-04
   5957.00  3.3207024E-04
   5957.50  3.3683696E-04
   5958.00  3.4173245E-04
   5958.50  3.4676192E-04
   5959.00  3.5193087E-04
   5959.50  3.5724511E-04
   5960.00  3.6271076E-04
   5960.50  3.6833430E-04
   5961.00  3.7412257E-04
   5961.50  3.8008283E-04
   5962.00  3.8622274E-04
   5962.50  3.9255046E-04
   5963.00  3.9907460E-04
   5963.50  4.0580433E-04
   5964.00  4.1274941E-04
   5964.50  4.1992020E-04
   5965.00  4.2732773E-04
   5965.50  4.3498377E-04
   5966.00  4.4290089E-04
   5966.50  4.5109249E-04
   5967.00  4.5957291E-04
   5967.50  4.6835751E-04
   5968.00  4.7746276E-04
   5968.50  4.8690631E-04
   5969.00  4.9670714E-04
   5969.50  5.0688568E-04
   5970.00  5.1746394E-04
   5970.50  5.2846564E-04
   5971.00  5.3991646E-04
   5971.50  5.5184416E-04
   5972.00  5.6427883E-04
   5972.50  5.7725317E-04
   5973.00  5.9080274E-04
   5973.50  6.0496628E-04
   5974.00  6.1978611E-04
   5974.50  6.3530854E-04
   5975.00  6.5158433E-04
   5975.50  6.6866929E-04
   5976.00  6.8662491E-04
   5976.50  7.0551907E-04
   5977.00  7.2542700E-04
   5977.50  7.4643222E-04
   5978.00  7.6862779E-04
   5978.50  7.9211771E-04
   5979.00  8.1701865E-04
   5979.50  8.4346194E-04
   5980.00  8.7159606E-04
   5980.50  9.0158958E-04
   5981.00  9.3363478E-04
   5981.50  9.6795220E-04
   5982.00  1.0047962E-03
   5982.50  1.0444618E-03
   5983.00  1.0872941E-03
   5983.50  1.1336992E-03
   5984.00  1.1841598E-03
   5984.10  1.1947875E-03
   5984.20  1.2056053E-03
   5984.30  1.2166187E-03
   5984.40  1.2278331E-03
   5984.50  1.2392545E-03
   5984.60  1.2508887E-03
   5984.70  1.2627422E-03
   5984.80  1.2748214E-03
   5984.90  1.2871333E-03
   5985.00  1.2996849E-03
   5985.10  1.3124836E-03
   5985.20  1.3255374E-03
   5985.30  1.3388542E-03
   5985.40  1.3524425E-03
   5985.50  1.3663113E-03
   5985.60  1.3804698E-03
   5985.70  1.3949276E-03
   5985.80  1.4096951E-03
   5985.90  1.4247827E-03
   5986.00  1.4402018E-03
   5986.10  1.4559638E-03
   5986.20  1.4720812E-03
   5986.30  1.4885667E-03
   5986.40  1.5054339E-03
   5986.50  1.5226968E-03
   5986.60  1.5403703E-03
   5986.70  1.5584699E-03
   5986.80  1.5770118E-03
   5986.90  1.5960131E-03
   5987.00  1.6154915E-03
   5987.10  1.6354657E-03
   5987.20  1.6559551E-03
   5987.30  1.6769799E-03
   5987.40  1.6985612E-03
   5987.50  1.7207207E-03
   5987.60  1.7434809E-03
   5987.70  1.7668653E-03
   5987.80  1.7908976E-03
   5987.90  1.8156026E-03
   5988.00  1.8410053E-03
   5988.10  1.8671314E-03
   5988.20  1.8940071E-03
   5988.30  1.9216591E-03
   5988.40  1.9501145E-03
   5988.50  1.9794014E-03
   5988.60  2.0095483E-03
   5988.70  2.0405852E-03
   5988.80  2.0725434E-03
   5988.90  2.1054559E-03
   5989.00  2.1393580E-03
   5989.10  2.1743378E-03
   5989.20  2.2104888E-03
   5989.30  2.2478589E-03
   5989.40  2.2864996E-03
   5989.50  2.3264666E-03
   5989.60  2.3678193E-03
   5989.70  2.4106207E-03
   5989.80  2.4549371E-03
   5989.90  2.5008380E-03
   5990.00  2.5483951E-03
   5990.10  2.5976820E-03
   5990.20  2.6487734E-03
   5990.30  2.7017444E-03
   5990.40  2.7566697E-03
   5990.50  2.8136228E-03
   5990.60  2.8726752E-03
   5990.70  2.9338962E-03
