    Energy    <xanes>    
   5949.00  2.9667838E-04
   5949.50  3.0020602E-04
   5950.00  3.0381391E-04
   5950.50  3.0750483E-04
   5951.00  3.1128165E-04
   5951.50  3.1514741E-04
   5952.00  3.1910525E-04
   5952.50  3.2315850E-04
   5953.00  3.2731064E-04
   5953.50  3.3156532E-04
   5954.00  3.3592636E-04
   5954.50  3.4039778E-04
   5955.00  3.4498382E-04
   5955.50  3.4968891E-04
   5956.00  3.5451773E-04
   5956.50  3.5947521E-04
   5957.00  3.6456652E-04
   5957.50  3.6979714E-04
   5958.00  3.7517284E-04
   5958.50  3.8069970E-04
   5959.00  3.8638416E-04
   5959.50  3.9223302E-04
   5960.00  3.9825348E-04
   5960.50  4.0445316E-04
   5961.00  4.1084014E-04
   5961.50  4.1742299E-04
   5962.00  4.2421081E-04
   5962.50  4.3121326E-04
   5963.00  4.3844062E-04
   5963.50  4.4590384E-04
   5964.00  4.5361457E-04
   5964.50  4.6158527E-04
   5965.00  4.6982921E-04
   5965.50  4.7836058E-04
   5966.00  4.8719458E-04
   5966.50  4.9634749E-04
   5967.00  5.0583676E-04
   5967.50  5.1568113E-04
   5968.00  5.2590076E-04
   5968.50  5.3651736E-04
   5969.00  5.4755432E-04
   5969.50  5.5903689E-04
   5970.00  5.7099238E-04
   5970.50  5.8345036E-04
   5971.00  5.9644292E-04
   5971.50  6.1000487E-04
   5972.00  6.2417414E-04
   5972.50  6.3899206E-04
   5973.00  6.5450377E-04
   5973.50  6.7075867E-04
   5974.00  6.8781091E-04
   5974.50  7.0572004E-04
   5975.00  7.2455161E-04
   5975.50  7.4437800E-04
   5976.00  7.6527931E-04
   5976.50  7.8734442E-04
   5977.00  8.1067223E-04
   5977.50  8.3537312E-04
   5978.00  8.6157062E-04
   5978.50  8.8940351E-04
   5979.00  9.1902816E-04
   5979.50  9.5062152E-04
   5980.00  9.8438454E-04
   5980.50  1.0205465E-03
   5981.00  1.0593702E-03
   5981.50  1.1011582E-03
   5982.00  1.1462612E-03
   5982.50  1.1950877E-03
   5983.00  1.2481170E-03
   5983.50  1.3059152E-03
   5984.00  1.3691568E-03
   5984.10  1.3825269E-03
   5984.20  1.3961539E-03
   5984.30  1.4100452E-03
   5984.40  1.4242087E-03
   5984.50  1.4386525E-03
   5984.60  1.4533851E-03
   5984.70  1.4684154E-03
   5984.80  1.4837525E-03
   5984.90  1.4994061E-03
   5985.00  1.5153861E-03
   5985.10  1.5317030E-03
   5985.20  1.5483676E-03
   5985.30  1.5653915E-03
   5985.40  1.5827865E-03
   5985.50  1.6005650E-03
   5985.60  1.6187400E-03
   5985.70  1.6373252E-03
   5985.80  1.6563348E-03
   5985.90  1.6757839E-03
   5986.00  1.6956879E-03
   5986.10  1.7160634E-03
   5986.20  1.7369275E-03
   5986.30  1.7582982E-03
   5986.40  1.7801946E-03
   5986.50  1.8026365E-03
   5986.60  1.8256446E-03
   5986.70  1.8492409E-03
   5986.80  1.8734482E-03
   5986.90  1.8982907E-03
   5987.00  1.9237936E-03
   5987.10  1.9499832E-03
   5987.20  1.9768873E-03
   5987.30  2.0045347E-03
   5987.40  2.0329556E-03
   5987.50  2.0621816E-03
   5987.60  2.0922453E-03
   5987.70  2.1231810E-03
   5987.80  2.1550238E-03
   5987.90  2.1878103E-03
   5988.00  2.2215781E-03
   5988.10  2.2563661E-03
   5988.20  2.2922140E-03
   5988.30  2.3291626E-03
   5988.40  2.3672537E-03
   5988.50  2.4065300E-03
   5988.60  2.4470352E-03
   5988.70  2.4888141E-03
   5988.80  2.5319127E-03
   5988.90  2.5763784E-03
   5989.00  2.6222603E-03
   5989.10  2.6696698E-03
   5989.20  2.7187238E-03
   5989.30  2.7694821E-03
   5989.40  2.8220077E-03
   5989.50  2.8763662E-03
   5989.60  2.9326269E-03
   5989.70  2.9908618E-03
   5989.80  3.0511468E-03
   5989.90  3.1135606E-03
   5990.00  3.1781856E-03
   5990.10  3.2451066E-03
   5990.20  3.3144117E-03
   5990.30  3.3861912E-03
   5990.40  3.4605379E-03
   5990.50  3.5375471E-03
   5990.60  3.6173170E-03
   5990.70  3.6999496E-03
   5990.80  3.7855522E-03
   5990.90  3.8742396E-03
   5991.00  3.9661361E-03
   5991.10  4.0613789E-03
   5991.20  4.1601202E-03
   5991.30  4.2625301E-03
   5991.40  4.3687978E-03
   5991.50  4.4791319E-03
   5991.60  4.5937599E-03
   5991.70  4.7129250E-03
   5991.80  4.8368819E-03
   5991.90  4.9658917E-03
   5992.00  5.1002138E-03
   5992.10  5.2400988E-03
   5992.20  5.3857793E-03
   5992.30  5.5374610E-03
   5992.40  5.6953140E-03
   5992.50  5.8594635E-03
   5992.60  6.0299828E-03
   5992.70  6.2068866E-03
   5992.80  6.3901259E-03
   5992.90  6.5795858E-03
   5993.00  6.7750859E-03
   5993.10  6.9763834E-03
   5993.20  7.1831807E-03
   5993.30  7.3951364E-03
   5993.40  7.6118794E-03
   5993.50  7.8330268E-03
   5993.60  8.0582033E-03
