    Energy    <xanes>    
   7072.00  1.2917843E-04
   7072.50  1.3064731E-04
   7073.00  1.3214784E-04
   7073.50  1.3368103E-04
   7074.00  1.3524797E-04
   7074.50  1.3684977E-04
   7075.00  1.3848760E-04
   7075.50  1.4016268E-04
   7076.00  1.4187628E-04
   7076.50  1.4362974E-04
   7077.00  1.4542446E-04
   7077.50  1.4726190E-04
   7078.00  1.4914359E-04
   7078.50  1.5107114E-04
   7079.00  1.5304624E-04
   7079.50  1.5507065E-04
   7080.00  1.5714623E-04
   7080.50  1.5927494E-04
   7081.00  1.6145882E-04
   7081.50  1.6370003E-04
   7082.00  1.6600086E-04
   7082.50  1.6836368E-04
   7083.00  1.7079102E-04
   7083.50  1.7328556E-04
   7084.00  1.7585009E-04
   7084.50  1.7848758E-04
   7085.00  1.8120118E-04
   7085.50  1.8399422E-04
   7086.00  1.8687019E-04
   7086.50  1.8983285E-04
   7087.00  1.9288613E-04
   7087.50  1.9603425E-04
   7088.00  1.9928167E-04
   7088.50  2.0263314E-04
   7089.00  2.0609373E-04
   7089.50  2.0966881E-04
   7090.00  2.1336416E-04
   7090.50  2.1718592E-04
   7091.00  2.2114067E-04
   7091.50  2.2523547E-04
   7092.00  2.2947787E-04
   7092.50  2.3387599E-04
   7093.00  2.3843856E-04
   7093.50  2.4317499E-04
   7094.00  2.4809543E-04
   7094.50  2.5321083E-04
   7095.00  2.5853307E-04
   7095.50  2.6407502E-04
   7096.00  2.6985066E-04
   7096.50  2.7587522E-04
   7097.00  2.8216533E-04
   7097.50  2.8873916E-04
   7098.00  2.9561667E-04
   7098.50  3.0281980E-04
   7099.00  3.1037276E-04
   7099.50  3.1830237E-04
   7100.00  3.2663842E-04
   7100.50  3.3541416E-04
   7101.00  3.4466687E-04
   7101.50  3.5443857E-04
   7102.00  3.6477690E-04
   7102.50  3.7573623E-04
   7103.00  3.8737913E-04
   7103.50  3.9977823E-04
   7104.00  4.1301878E-04
   7104.50  4.2720208E-04
   7105.00  4.4245043E-04
   7105.50  4.5891411E-04
   7106.00  4.7678203E-04
   7106.50  4.9629808E-04
   7107.00  5.1778779E-04
   7107.10  5.2235939E-04
   7107.20  5.2703180E-04
   7107.30  5.3180976E-04
   7107.40  5.3669842E-04
   7107.50  5.4170336E-04
