    Energy    <xanes>    
   7072.00  1.3651243E-04
   7072.50  1.3815778E-04
   7073.00  1.3984080E-04
   7073.50  1.4156278E-04
   7074.00  1.4332509E-04
   7074.50  1.4512914E-04
   7075.00  1.4697642E-04
   7075.50  1.4886848E-04
   7076.00  1.5080696E-04
   7076.50  1.5279358E-04
   7077.00  1.5483013E-04
   7077.50  1.5691849E-04
   7078.00  1.5906065E-04
   7078.50  1.6125869E-04
   7079.00  1.6351480E-04
   7079.50  1.6583130E-04
   7080.00  1.6821061E-04
   7080.50  1.7065529E-04
   7081.00  1.7316805E-04
   7081.50  1.7575173E-04
   7082.00  1.7840935E-04
   7082.50  1.8114409E-04
   7083.00  1.8395932E-04
   7083.50  1.8685859E-04
   7084.00  1.8984569E-04
   7084.50  1.9292461E-04
   7085.00  1.9609961E-04
   7085.50  1.9937518E-04
   7086.00  2.0275613E-04
   7086.50  2.0624756E-04
   7087.00  2.0985489E-04
   7087.50  2.1358392E-04
   7088.00  2.1744082E-04
   7088.50  2.2143220E-04
   7089.00  2.2556510E-04
   7089.50  2.2984709E-04
   7090.00  2.3428626E-04
   7090.50  2.3889128E-04
   7091.00  2.4367151E-04
   7091.50  2.4863696E-04
   7092.00  2.5379845E-04
   7092.50  2.5916764E-04
   7093.00  2.6475712E-04
   7093.50  2.7058050E-04
   7094.00  2.7665254E-04
   7094.50  2.8298924E-04
   7095.00  2.8960800E-04
   7095.50  2.9652776E-04
   7096.00  3.0376916E-04
   7096.50  3.1135477E-04
   7097.00  3.1930930E-04
   7097.50  3.2765984E-04
   7098.00  3.3643619E-04
   7098.50  3.4567117E-04
   7099.00  3.5540107E-04
   7099.50  3.6566601E-04
   7100.00  3.7651058E-04
   7100.50  3.8798441E-04
   7101.00  4.0014291E-04
   7101.50  4.1304814E-04
   7102.00  4.2676984E-04
   7102.50  4.4138668E-04
   7103.00  4.5698769E-04
   7103.50  4.7367407E-04
   7104.00  4.9156133E-04
   7104.50  5.1078197E-04
   7105.00  5.3148868E-04
   7105.50  5.5385843E-04
   7106.00  5.7809757E-04
   7106.50  6.0444824E-04
   7107.00  6.3319673E-04
   7107.10  6.3926309E-04
   7107.20  6.4544181E-04
   7107.30  6.5173606E-04
   7107.40  6.5814909E-04
   7107.50  6.6468430E-04
   7107.60  6.7134521E-04
   7107.70  6.7813550E-04
   7107.80  6.8505898E-04
   7107.90  6.9211961E-04
   7108.00  6.9932153E-04
   7108.10  7.0666906E-04
   7108.20  7.1416668E-04
   7108.30  7.2181907E-04
   7108.40  7.2963113E-04
   7108.50  7.3760797E-04
   7108.60  7.4575492E-04
   7108.70  7.5407756E-04
   7108.80  7.6258175E-04
   7108.90  7.7127360E-04
   7109.00  7.8015955E-04
   7109.10  7.8924632E-04
   7109.20  7.9854102E-04
   7109.30  8.0805109E-04
   7109.40  8.1778438E-04
   7109.50  8.2774919E-04
   7109.60  8.3795427E-04
   7109.70  8.4840890E-04
   7109.80  8.5912290E-04
   7109.90  8.7010674E-04
   7110.00  8.8137156E-04
   7110.10  8.9292929E-04
   7110.20  9.0479272E-04
   7110.30  9.1697563E-04
   7110.40  9.2949295E-04
   7110.50  9.4236088E-04
   7110.60  9.5559717E-04
   7110.70  9.6922136E-04
   7110.80  9.8325505E-04
   7110.90  9.9772235E-04
   7111.00  1.0126502E-03
   7111.10  1.0280687E-03
   7111.20  1.0440115E-03
   7111.30  1.0605150E-03
   7111.40  1.0776173E-03
   7111.50  1.0953543E-03
   7111.60  1.1137530E-03
   7111.70  1.1328215E-03
   7111.80  1.1525398E-03
   7111.90  1.1728597E-03
   7112.00  1.1938082E-03
   7112.10  1.2154543E-03
   7112.20  1.2378123E-03
   7112.30  1.2609427E-03
   7112.40  1.2849359E-03
   7112.50  1.3098923E-03
   7112.60  1.3359100E-03
   7112.70  1.3630818E-03
   7112.80  1.3914987E-03
   7112.90  1.4212547E-03
   7113.00  1.4524509E-03
   7113.10  1.4851970E-03
   7113.20  1.5196111E-03
   7113.30  1.5558194E-03
   7113.40  1.5939560E-03
   7113.50  1.6341653E-03
   7113.60  1.6766037E-03
   7113.70  1.7214431E-03
   7113.80  1.7688736E-03
   7113.90  1.8191069E-03
   7114.00  1.8723791E-03
   7114.10  1.9289539E-03
   7114.20  1.9891263E-03
   7114.30  2.0532272E-03
   7114.40  2.1216286E-03
   7114.50  2.1947506E-03
   7114.60  2.2730696E-03
   7114.70  2.3571278E-03
   7114.80  2.4475432E-03
   7114.90  2.5450217E-03
   7115.00  2.6503697E-03
   7115.10  2.7645081E-03
   7115.20  2.8884870E-03
   7115.30  3.0235001E-03
   7115.40  3.1708974E-03
   7115.50  3.3321940E-03
   7115.60  3.5090732E-03
   7115.70  3.7033805E-03
   7115.80  3.9171089E-03
   7115.90  4.1523721E-03
   7116.00  4.4113652E-03
   7116.10  4.6963031E-03
   7116.20  5.0093188E-03
   7116.30  5.3522942E-03
   7116.40  5.7265961E-03
   7116.50  6.1327144E-03
   7116.60  6.5698350E-03
   7116.70  7.0354390E-03
   7116.80  7.5250794E-03
   7116.90  8.0325430E-03
   7117.00  8.5505959E-03
   7117.20  9.5932624E-03
   7117.40  1.0634337E-02
   7117.60  1.1724752E-02
   7117.80  1.2967357E-02
   7118.00  1.4465380E-02
   7118.20  1.6274681E-02
   7118.40  1.8367209E-02
   7118.60  2.0606560E-02
   7118.80  2.2752148E-02
   7119.00  2.4519162E-02
   7119.20  2.5698807E-02
   7119.40  2.6270664E-02
   7119.60  2.6409635E-02
   7119.80  2.6374940E-02
   7120.00  2.6376791E-02
   7120.20  2.6523217E-02
   7120.40  2.6851513E-02
   7120.60  2.7379892E-02
   7120.80  2.8132606E-02
   7121.00  2.9134094E-02
   7121.20  3.0387109E-02
   7121.40  3.1852030E-02
   7121.60  3.3441181E-02
   7121.80  3.5032746E-02
   7122.00  3.6498323E-02
   7122.20  3.7733040E-02
   7122.40  3.8676723E-02
   7122.60  3.9318534E-02
   7122.80  3.9687186E-02
   7123.00  3.9836209E-02
   7123.20  3.9830653E-02
   7123.40  3.9735924E-02
   7123.60  3.9609536E-02
   7123.80  3.9498361E-02
   7124.00  3.9441565E-02
   7124.20  3.9475284E-02
   7124.40  3.9634539E-02
   7124.60  3.9951129E-02
   7124.80  4.0449257E-02
   7125.00  4.1141139E-02
   7125.20  4.2023750E-02
   7125.40  4.3076927E-02
   7125.60  4.4263010E-02
   7125.80  4.5528295E-02
   7126.00  4.6806521E-02
   7126.20  4.8024195E-02
   7126.40  4.9107225E-02
   7126.60  4.9988088E-02
   7126.80  5.0612497E-02
   7127.00  5.0944520E-02
   7127.20  5.0969328E-02
   7127.40  5.0693307E-02
   7127.60  5.0141679E-02
   7127.80  4.9354150E-02
   7128.00  4.8379306E-02
   7128.20  4.7268727E-02
   7128.40  4.6071823E-02
   7128.60  4.4832117E-02
   7128.80  4.3585241E-02
   7129.00  4.2358444E-02
   7129.20  4.1171152E-02
   7129.40  4.0036104E-02
   7129.60  3.8960697E-02
   7129.80  3.7948286E-02
   7130.00  3.6999355E-02
   7130.20  3.6112482E-02
   7130.40  3.5285113E-02
   7130.60  3.4514144E-02
   7130.80  3.3796333E-02
   7131.00  3.3128566E-02
   7131.20  3.2508017E-02
   7131.40  3.1932215E-02
   7131.60  3.1399058E-02
   7131.80  3.0906788E-02
   7132.00  3.0453947E-02
   7133.00  2.8743307E-02
   7134.00  2.7868163E-02
   7135.00  2.7662293E-02
   7136.00  2.7853233E-02
   7137.00  2.8106915E-02
   7138.00  2.8157684E-02
   7139.00  2.7900341E-02
   7140.00  2.7370662E-02
   7141.00  2.6673281E-02
   7142.00  2.5925402E-02
   7143.00  2.5229052E-02
   7144.00  2.4662412E-02
   7145.00  2.4280086E-02
   7146.00  2.4114098E-02
   7147.00  2.4173373E-02
   7148.00  2.4444649E-02
   7149.00  2.4896912E-02
   7150.00  2.5488679E-02
   7151.00  2.6176622E-02
   7152.00  2.6923383E-02
   7153.00  2.7701260E-02
   7154.00  2.8489709E-02
   7155.00  2.9268573E-02
   7156.00  3.0012126E-02
   7157.00  3.0688660E-02
   7158.00  3.1266549E-02
   7159.00  3.1723342E-02
   7160.00  3.2052604E-02
   7161.00  3.2264908E-02
   7162.00  3.2382882E-02
   7163.00  3.2433175E-02
   7164.00  3.2439521E-02
   7165.00  3.2419892E-02
   7166.00  3.2387924E-02
   7167.00  3.2356312E-02
   7168.00  3.2339224E-02
   7169.00  3.2352036E-02
   7170.00  3.2408630E-02
   7171.00  3.2517735E-02
   7172.00  3.2679878E-02
   7173.00  3.2885912E-02
   7174.00  3.3117509E-02
   7175.00  3.3349636E-02
   7176.00  3.3554688E-02
   7177.00  3.3707479E-02
   7178.00  3.3789780E-02
   7179.00  3.3793043E-02
   7180.00  3.3718640E-02
   7181.00  3.3575966E-02
   7182.00  3.3379400E-02
   7183.00  3.3145091E-02
   7184.00  3.2888249E-02
   7185.00  3.2621346E-02
   7186.00  3.2353378E-02
   7187.00  3.2090097E-02
   7188.00  3.1834814E-02
   7189.00  3.1589341E-02
   7190.00  3.1354743E-02
   7191.00  3.1131848E-02
   7192.00  3.0921600E-02
   7193.00  3.0725373E-02
   7194.00  3.0545209E-02
   7195.00  3.0383878E-02
   7196.00  3.0244655E-02
   7197.00  3.0130856E-02
   7198.00  3.0045305E-02
   7199.00  2.9989924E-02
   7200.00  2.9965599E-02
   7201.00  2.9972306E-02
   7202.00  3.0009377E-02
   7203.00  3.0075753E-02
   7204.00  3.0170093E-02
   7205.00  3.0290732E-02
   7206.00  3.0435514E-02
   7207.00  3.0601568E-02
   7208.00  3.0785047E-02
   7209.00  3.0980913E-02
   7210.00  3.1182946E-02
   7211.00  3.1384164E-02
   7212.00  3.1577708E-02
