    Energy    <xanes>    
   7072.00  4.9509227E-04
   7072.50  5.0115419E-04
   7073.00  5.0735183E-04
   7073.50  5.1368969E-04
   7074.00  5.2017245E-04
   7074.50  5.2680503E-04
   7075.00  5.3359253E-04
   7075.50  5.4054033E-04
   7076.00  5.4765403E-04
   7076.50  5.5493948E-04
   7077.00  5.6240283E-04
   7077.50  5.7005052E-04
   7078.00  5.7788928E-04
   7078.50  5.8592620E-04
   7079.00  5.9416868E-04
   7079.50  6.0262452E-04
   7080.00  6.1130191E-04
   7080.50  6.2020944E-04
   7081.00  6.2935617E-04
   7081.50  6.3875162E-04
   7082.00  6.4840581E-04
   7082.50  6.5832931E-04
   7083.00  6.6853327E-04
   7083.50  6.7902944E-04
   7084.00  6.8983024E-04
   7084.50  7.0094878E-04
   7085.00  7.1239894E-04
   7085.50  7.2419541E-04
   7086.00  7.3635372E-04
   7086.50  7.4889037E-04
   7087.00  7.6182283E-04
   7087.50  7.7516968E-04
   7088.00  7.8895064E-04
   7088.50  8.0318669E-04
   7089.00  8.1790018E-04
   7089.50  8.3311492E-04
   7090.00  8.4885629E-04
   7090.50  8.6515143E-04
   7091.00  8.8202931E-04
   7091.50  8.9952097E-04
   7092.00  9.1765963E-04
   7092.50  9.3648095E-04
   7093.00  9.5602321E-04
   7093.50  9.7632757E-04
   7094.00  9.9743837E-04
   7094.50  1.0194034E-03
   7095.00  1.0422742E-03
   7095.50  1.0661067E-03
   7096.00  1.0909611E-03
   7096.50  1.1169032E-03
   7097.00  1.1440039E-03
   7097.50  1.1723410E-03
   7098.00  1.2019989E-03
   7098.50  1.2330699E-03
   7099.00  1.2656551E-03
   7099.50  1.2998655E-03
   7100.00  1.3358231E-03
   7100.50  1.3736622E-03
   7101.00  1.4135314E-03
   7101.50  1.4555956E-03
   7102.00  1.5000376E-03
   7102.50  1.5470617E-03
   7103.00  1.5968960E-03
   7103.50  1.6497972E-03
   7104.00  1.7060544E-03
   7104.50  1.7659954E-03
   7105.00  1.8299935E-03
   7105.50  1.8984765E-03
   7106.00  1.9719385E-03
   7106.50  2.0509545E-03
   7107.00  2.1362017E-03
   7107.10  2.1540673E-03
   7107.20  2.1722212E-03
   7107.30  2.1906708E-03
   7107.40  2.2094240E-03
   7107.50  2.2284890E-03
   7107.60  2.2478741E-03
   7107.70  2.2675884E-03
   7107.80  2.2876411E-03
   7107.90  2.3080419E-03
   7108.00  2.3288012E-03
   7108.10  2.3499296E-03
   7108.20  2.3714385E-03
   7108.30  2.3933399E-03
   7108.40  2.4156464E-03
   7108.50  2.4383714E-03
   7108.60  2.4615293E-03
   7108.70  2.4851351E-03
   7108.80  2.5092052E-03
   7108.90  2.5337569E-03
   7109.00  2.5588090E-03
   7109.10  2.5843819E-03
   7109.20  2.6104975E-03
   7109.30  2.6371798E-03
   7109.40  2.6644552E-03
   7109.50  2.6923527E-03
   7109.60  2.7209045E-03
   7109.70  2.7501464E-03
   7109.80  2.7801190E-03
   7109.90  2.8108679E-03
   7110.00  2.8424452E-03
   7110.10  2.8749111E-03
   7110.20  2.9083352E-03
   7110.30  2.9427989E-03
   7110.40  2.9783986E-03
   7110.50  3.0152490E-03
   7110.60  3.0534878E-03
   7110.70  3.0932816E-03
   7110.80  3.1348331E-03
   7110.90  3.1783897E-03
   7111.00  3.2242527E-03
   7111.10  3.2727860E-03
   7111.20  3.3244191E-03
   7111.30  3.3796374E-03
   7111.40  3.4389395E-03
   7111.50  3.5027376E-03
   7111.60  3.5711621E-03
   7111.70  3.6437625E-03
   7111.80  3.7191844E-03
   7111.90  3.7950704E-03
   7112.00  3.8685996E-03
   7112.10  3.9376354E-03
   7112.20  4.0009961E-03
   7112.30  4.0590091E-03
   7112.40  4.1130667E-03
   7112.50  4.1649287E-03
   7112.60  4.2162251E-03
   7112.70  4.2682481E-03
   7112.80  4.3219363E-03
   7112.90  4.3779393E-03
   7113.00  4.4366983E-03
   7113.10  4.4985140E-03
   7113.20  4.5635982E-03
   7113.30  4.6321103E-03
   7113.40  4.7041814E-03
   7113.50  4.7799297E-03
   7113.60  4.8594709E-03
   7113.70  4.9429248E-03
   7113.80  5.0304196E-03
   7113.90  5.1220961E-03
   7114.00  5.2181118E-03
   7114.10  5.3186463E-03
   7114.20  5.4239059E-03
   7114.30  5.5341258E-03
   7114.40  5.6495662E-03
   7114.50  5.7705090E-03
   7114.60  5.8972559E-03
   7114.70  6.0301329E-03
   7114.80  6.1694959E-03
   7114.90  6.3157364E-03
   7115.00  6.4692858E-03
   7115.10  6.6306193E-03
   7115.20  6.8002614E-03
   7115.30  6.9787918E-03
   7115.40  7.1668533E-03
   7115.50  7.3651596E-03
   7115.60  7.5745047E-03
   7115.70  7.7957738E-03
   7115.80  8.0299555E-03
   7115.90  8.2781558E-03
   7116.00  8.5416149E-03
   7116.10  8.8217267E-03
   7116.20  9.1200596E-03
   7116.30  9.4383810E-03
   7116.40  9.7786836E-03
   7116.50  1.0143215E-02
   7116.60  1.0534511E-02
   7116.70  1.0955433E-02
   7116.80  1.1409207E-02
   7116.90  1.1899462E-02
   7117.00  1.2430254E-02
   7117.20  1.3631774E-02
   7117.40  1.5053509E-02
   7117.60  1.6735155E-02
   7117.80  1.8702577E-02
   7118.00  2.0948106E-02
   7118.20  2.3423520E-02
   7118.40  2.6066242E-02
   7118.60  2.8837676E-02
   7118.80  3.1738437E-02
   7119.00  3.4811429E-02
   7119.20  3.8144118E-02
   7119.40  4.1845391E-02
   7119.60  4.5988191E-02
   7119.80  5.0550066E-02
   7120.00  5.5393589E-02
   7120.20  6.0302654E-02
   7120.40  6.5047931E-02
   7120.60  6.9437297E-02
   7120.80  7.3342534E-02
   7121.00  7.6728041E-02
   7121.20  7.9675568E-02
   7121.40  8.2364743E-02
   7121.60  8.5017340E-02
   7121.80  8.7852494E-02
   7122.00  9.1057220E-02
   7122.20  9.4750221E-02
   7122.40  9.8949357E-02
   7122.60  1.0357533E-01
   7122.80  1.0850373E-01
   7123.00  1.1364084E-01
   7123.20  1.1897748E-01
   7123.40  1.2458621E-01
   7123.60  1.3056509E-01
   7123.80  1.3696437E-01
   7124.00  1.4373644E-01
   7124.20  1.5072961E-01
   7124.40  1.5772044E-01
   7124.60  1.6446302E-01
   7124.80  1.7073273E-01
   7125.00  1.7635467E-01
   7125.20  1.8121836E-01
   7125.40  1.8528198E-01
   7125.60  1.8856634E-01
   7125.80  1.9113899E-01
   7126.00  1.9309317E-01
   7126.20  1.9452774E-01
   7126.40  1.9553178E-01
   7126.60  1.9617403E-01
   7126.80  1.9649677E-01
   7127.00  1.9651463E-01
   7127.20  1.9621906E-01
