    Energy    <xanes>    
   7072.00  2.6647287E-04
   7072.50  2.6952288E-04
   7073.00  2.7263925E-04
   7073.50  2.7582416E-04
   7074.00  2.7907988E-04
   7074.50  2.8240879E-04
   7075.00  2.8581338E-04
   7075.50  2.8929623E-04
   7076.00  2.9286007E-04
   7076.50  2.9650773E-04
   7077.00  3.0024221E-04
   7077.50  3.0406661E-04
   7078.00  3.0798420E-04
   7078.50  3.1199843E-04
   7079.00  3.1611290E-04
   7079.50  3.2033138E-04
   7080.00  3.2465785E-04
   7080.50  3.2909650E-04
   7081.00  3.3365172E-04
   7081.50  3.3832815E-04
   7082.00  3.4313068E-04
   7082.50  3.4806444E-04
   7083.00  3.5313488E-04
   7083.50  3.5834772E-04
   7084.00  3.6370903E-04
   7084.50  3.6922523E-04
   7085.00  3.7490310E-04
   7085.50  3.8074983E-04
   7086.00  3.8677305E-04
   7086.50  3.9298085E-04
   7087.00  3.9938183E-04
   7087.50  4.0598514E-04
   7088.00  4.1280049E-04
   7088.50  4.1983827E-04
   7089.00  4.2710954E-04
   7089.50  4.3462611E-04
   7090.00  4.4240061E-04
   7090.50  4.5044656E-04
   7091.00  4.5877847E-04
   7091.50  4.6741188E-04
   7092.00  4.7636353E-04
   7092.50  4.8565143E-04
   7093.00  4.9529498E-04
   7093.50  5.0531514E-04
   7094.00  5.1573462E-04
   7094.50  5.2657798E-04
   7095.00  5.3787194E-04
   7095.50  5.4964555E-04
   7096.00  5.6193051E-04
   7096.50  5.7476148E-04
   7097.00  5.8817646E-04
   7097.50  6.0221719E-04
   7098.00  6.1692975E-04
   7098.50  6.3236506E-04
   7099.00  6.4857970E-04
   7099.50  6.6563672E-04
   7100.00  6.8360669E-04
   7100.50  7.0256906E-04
   7101.00  7.2261365E-04
   7101.50  7.4384275E-04
   7102.00  7.6637357E-04
   7102.50  7.9034155E-04
   7103.00  8.1590463E-04
   7103.50  8.4324888E-04
   7104.00  8.7259632E-04
   7104.50  9.0421560E-04
   7105.00  9.3843736E-04
   7105.50  9.7567671E-04
   7106.00  1.0164672E-03
   7106.50  1.0615142E-03
   7107.00  1.1117812E-03
   7107.10  1.1225720E-03
   7107.20  1.1336379E-03
   7107.30  1.1449934E-03
   7107.40  1.1566544E-03
   7107.50  1.1686383E-03
   7107.60  1.1809639E-03
   7107.70  1.1936518E-03
   7107.80  1.2067247E-03
   7107.90  1.2202074E-03
   7108.00  1.2341272E-03
   7108.10  1.2485145E-03
   7108.20  1.2634027E-03
   7108.30  1.2788291E-03
   7108.40  1.2948352E-03
   7108.50  1.3114674E-03
   7108.60  1.3287778E-03
   7108.70  1.3468248E-03
   7108.80  1.3656748E-03
   7108.90  1.3854026E-03
   7109.00  1.4060936E-03
   7109.10  1.4278454E-03
   7109.20  1.4507697E-03
   7109.30  1.4749954E-03
   7109.40  1.5006717E-03
   7109.50  1.5279720E-03
   7109.60  1.5570990E-03
   7109.70  1.5882908E-03
   7109.80  1.6218284E-03
   7109.90  1.6580456E-03
   7110.00  1.6973409E-03
   7110.10  1.7401929E-03
   7110.20  1.7871799E-03
   7110.30  1.8390048E-03
   7110.40  1.8965270E-03
   7110.50  1.9608035E-03
   7110.60  2.0331411E-03
   7110.70  2.1151620E-03
   7110.80  2.2088862E-03
   7110.90  2.3168298E-03
   7111.00  2.4421141E-03
   7111.10  2.5885698E-03
   7111.20  2.7607914E-03
   7111.30  2.9640460E-03
   7111.40  3.2038458E-03
   7111.50  3.4848514E-03
   7111.60  3.8086431E-03
   7111.70  4.1700247E-03
   7111.80  4.5524545E-03
   7111.90  4.9253863E-03
   7112.00  5.2484551E-03
   7112.10  5.4851460E-03
   7112.20  5.6199705E-03
   7112.30  5.6650965E-03
   7112.40  5.6499223E-03
   7112.50  5.6026289E-03
   7112.60  5.5368921E-03
   7112.70  5.4496279E-03
   7112.80  5.3285041E-03
   7112.90  5.1640033E-03
   7113.00  4.9584438E-03
   7113.10  4.7263973E-03
   7113.20  4.4879041E-03
   7113.30  4.2607601E-03
   7113.40  4.0564510E-03
   7113.50  3.8799942E-03
   7113.60  3.7317561E-03
   7113.70  3.6095490E-03
   7113.80  3.5102459E-03
   7113.90  3.4307691E-03
   7114.00  3.3685412E-03
   7114.10  3.3215559E-03
   7114.20  3.2882587E-03
   7114.30  3.2673996E-03
   7114.40  3.2579336E-03
   7114.50  3.2589741E-03
   7114.60  3.2697774E-03
   7114.70  3.2897368E-03
   7114.80  3.3183798E-03
   7114.90  3.3553649E-03
   7115.00  3.4004780E-03
   7115.10  3.4536306E-03
   7115.20  3.5148583E-03
   7115.30  3.5843173E-03
   7115.40  3.6622746E-03
   7115.50  3.7490856E-03
   7115.60  3.8451477E-03
   7115.70  3.9508178E-03
   7115.80  4.0662823E-03
   7115.90  4.1913837E-03
   7116.00  4.3254579E-03
   7116.10  4.4673079E-03
   7116.20  4.6154835E-03
   7116.30  4.7689267E-03
   7116.40  4.9277419E-03
   7116.50  5.0936141E-03
   7116.60  5.2695673E-03
   7116.70  5.4592318E-03
   7116.80  5.6660780E-03
   7116.90  5.8929351E-03
   7117.00  6.1418294E-03
   7117.20  6.7101632E-03
   7117.40  7.3748784E-03
   7117.60  8.1355395E-03
   7117.80  8.9892581E-03
   7118.00  9.9279918E-03
   7118.20  1.0942359E-02
   7118.40  1.2036034E-02
   7118.60  1.3234754E-02
   7118.80  1.4577602E-02
   7119.00  1.6099698E-02
   7119.20  1.7819185E-02
   7119.40  1.9728645E-02
   7119.60  2.1784718E-02
   7119.80  2.3898708E-02
   7120.00  2.5947543E-02
   7120.20  2.7819052E-02
   7120.40  2.9466097E-02
   7120.60  3.0924530E-02
   7120.80  3.2285381E-02
   7121.00  3.3650800E-02
   7121.20  3.5103378E-02
   7121.40  3.6695629E-02
   7121.60  3.8448701E-02
   7121.80  4.0350783E-02
   7122.00  4.2358645E-02
   7122.20  4.4410511E-02
   7122.40  4.6450506E-02
   7122.60  4.8454396E-02
   7122.80  5.0442385E-02
   7123.00  5.2470314E-02
   7123.20  5.4603189E-02
   7123.40  5.6886154E-02
   7123.60  5.9328506E-02
   7123.80  6.1906433E-02
   7124.00  6.4578158E-02
   7124.20  6.7299559E-02
   7124.40  7.0031599E-02
   7124.60  7.2738824E-02
   7124.80  7.5383961E-02
   7125.00  7.7924101E-02
   7125.20  8.0311094E-02
   7125.40  8.2495373E-02
   7125.60  8.4430485E-02
   7125.80  8.6076009E-02
   7126.00  8.7398578E-02
   7126.20  8.8372521E-02
   7126.40  8.8981805E-02
   7126.60  8.9223595E-02
   7126.80  8.9112080E-02
   7127.00  8.8680362E-02
   7127.20  8.7978759E-02
   7127.40  8.7069445E-02
   7127.60  8.6018855E-02
   7127.80  8.4890025E-02
   7128.00  8.3736670E-02
   7128.20  8.2599937E-02
   7128.40  8.1507826E-02
   7128.60  8.0476675E-02
   7128.80  7.9513853E-02
   7129.00  7.8620808E-02
   7129.20  7.7795789E-02
