    Energy    <xanes>    
   7072.00  5.2148396E-04
   7072.50  5.2781580E-04
   7073.00  5.3429202E-04
   7073.50  5.4091756E-04
   7074.00  5.4769758E-04
   7074.50  5.5463749E-04
   7075.00  5.6174295E-04
   7075.50  5.6901988E-04
   7076.00  5.7647450E-04
   7076.50  5.8411332E-04
   7077.00  5.9194317E-04
   7077.50  5.9997123E-04
   7078.00  6.0820504E-04
   7078.50  6.1665252E-04
   7079.00  6.2532201E-04
   7079.50  6.3422227E-04
   7080.00  6.4336254E-04
   7080.50  6.5275255E-04
   7081.00  6.6240257E-04
   7081.50  6.7232342E-04
   7082.00  6.8252656E-04
   7082.50  6.9302405E-04
   7083.00  7.0382870E-04
   7083.50  7.1495403E-04
   7084.00  7.2641438E-04
   7084.50  7.3822495E-04
   7085.00  7.5040188E-04
   7085.50  7.6296229E-04
   7086.00  7.7592440E-04
   7086.50  7.8930759E-04
   7087.00  8.0313250E-04
   7087.50  8.1742115E-04
   7088.00  8.3219701E-04
   7088.50  8.4748521E-04
   7089.00  8.6331257E-04
   7089.50  8.7970786E-04
   7090.00  8.9670190E-04
   7090.50  9.1432779E-04
   7091.00  9.3262110E-04
   7091.50  9.5162012E-04
   7092.00  9.7136612E-04
   7092.50  9.9190365E-04
   7093.00  1.0132809E-03
   7093.50  1.0355499E-03
   7094.00  1.0587674E-03
   7094.50  1.0829946E-03
   7095.00  1.1082986E-03
   7095.50  1.1347521E-03
   7096.00  1.1624349E-03
   7096.50  1.1914342E-03
   7097.00  1.2218456E-03
   7097.50  1.2537744E-03
   7098.00  1.2873366E-03
   7098.50  1.3226604E-03
   7099.00  1.3598878E-03
   7099.50  1.3991769E-03
   7100.00  1.4407036E-03
   7100.50  1.4846649E-03
   7101.00  1.5312817E-03
   7101.50  1.5808030E-03
   7102.00  1.6335104E-03
   7102.50  1.6897240E-03
   7103.00  1.7498090E-03
   7103.50  1.8141845E-03
   7104.00  1.8833342E-03
   7104.50  1.9578199E-03
   7105.00  2.0382986E-03
   7105.50  2.1255452E-03
   7106.00  2.2204815E-03
   7106.50  2.3242165E-03
   7107.00  2.4381018E-03
   7107.10  2.4622372E-03
   7107.20  2.4868595E-03
   7107.30  2.5119844E-03
   7107.40  2.5376288E-03
   7107.50  2.5638102E-03
   7107.60  2.5905471E-03
   7107.70  2.6178590E-03
   7107.80  2.6457664E-03
   7107.90  2.6742909E-03
   7108.00  2.7034555E-03
   7108.10  2.7332843E-03
   7108.20  2.7638031E-03
   7108.30  2.7950392E-03
   7108.40  2.8270216E-03
   7108.50  2.8597812E-03
   7108.60  2.8933513E-03
   7108.70  2.9277673E-03
   7108.80  2.9630672E-03
   7108.90  2.9992922E-03
   7109.00  3.0364866E-03
   7109.10  3.0746986E-03
   7109.20  3.1139804E-03
   7109.30  3.1543894E-03
   7109.40  3.1959883E-03
   7109.50  3.2388465E-03
   7109.60  3.2830408E-03
   7109.70  3.3286568E-03
   7109.80  3.3757908E-03
   7109.90  3.4245512E-03
   7110.00  3.4750616E-03
   7110.10  3.5274636E-03
   7110.20  3.5819209E-03
   7110.30  3.6386240E-03
   7110.40  3.6977968E-03
   7110.50  3.7597050E-03
   7110.60  3.8246656E-03
   7110.70  3.8930602E-03
   7110.80  3.9653508E-03
   7110.90  4.0420977E-03
   7111.00  4.1239798E-03
   7111.10  4.2118105E-03
   7111.20  4.3065417E-03
   7111.30  4.4092314E-03
   7111.40  4.5209366E-03
   7111.50  4.6424631E-03
   7111.60  4.7738972E-03
   7111.70  4.9139034E-03
   7111.80  5.0590083E-03
   7111.90  5.2034696E-03
   7112.00  5.3406054E-03
   7112.10  5.4652603E-03
   7112.20  5.5751894E-03
   7112.30  5.6719573E-03
   7112.40  5.7597951E-03
   7112.50  5.8439419E-03
   7112.60  5.9294087E-03
   7112.70  6.0203592E-03
   7112.80  6.1199412E-03
   7112.90  6.2303822E-03
   7113.00  6.3532159E-03
   7113.10  6.4895358E-03
   7113.20  6.6402138E-03
   7113.30  6.8060653E-03
   7113.40  6.9879659E-03
   7113.50  7.1869315E-03
   7113.60  7.4041763E-03
   7113.70  7.6411570E-03
   7113.80  7.8996137E-03
   7113.90  8.1816137E-03
   7114.00  8.4896021E-03
   7114.10  8.8264590E-03
   7114.20  9.1955609E-03
   7114.30  9.6008412E-03
   7114.40  1.0046842E-02
   7114.50  1.0538745E-02
   7114.60  1.1082357E-02
   7114.70  1.1684020E-02
   7114.80  1.2350397E-02
   7114.90  1.3088105E-02
   7115.00  1.3903176E-02
   7115.10  1.4800414E-02
   7115.20  1.5782842E-02
   7115.30  1.6851502E-02
   7115.40  1.8005882E-02
   7115.50  1.9244916E-02
   7115.60  2.0568109E-02
   7115.70  2.1976109E-02
   7115.80  2.3470301E-02
   7115.90  2.5051696E-02
   7116.00  2.6719840E-02
   7116.10  2.8472419E-02
   7116.20  3.0305638E-02
   7116.30  3.2214871E-02
   7116.40  3.4194944E-02
   7116.50  3.6239864E-02
   7116.60  3.8342388E-02
   7116.70  4.0494100E-02
   7116.80  4.2686442E-02
   7116.90  4.4912479E-02
   7117.00  4.7168685E-02
   7117.20  5.1778415E-02
   7117.40  5.6551550E-02
   7117.60  6.1486322E-02
   7117.80  6.6425853E-02
   7118.00  7.1002331E-02
   7118.20  7.4722258E-02
   7118.40  7.7177652E-02
   7118.60  7.8238023E-02
   7118.80  7.8082802E-02
   7119.00  7.7099059E-02
   7119.20  7.5767013E-02
   7119.40  7.4579107E-02
   7119.60  7.3963829E-02
   7119.80  7.4218533E-02
   7120.00  7.5484046E-02
   7120.20  7.7757063E-02
   7120.40  8.0906380E-02
   7120.60  8.4679759E-02
   7120.80  8.8726511E-02
   7121.00  9.2666378E-02
   7121.20  9.6195786E-02
   7121.40  9.9179975E-02
   7121.60  1.0167932E-01
   7121.80  1.0389914E-01
   7122.00  1.0610182E-01
   7122.20  1.0853335E-01
   7122.40  1.1138155E-01
   7122.60  1.1475110E-01
   7122.80  1.1864603E-01
   7123.00  1.2296888E-01
   7123.20  1.2754591E-01
   7123.40  1.3217400E-01
   7123.60  1.3667389E-01
   7123.80  1.4093039E-01
   7124.00  1.4490629E-01
   7124.20  1.4863102E-01
   7124.40  1.5217560E-01
   7124.60  1.5562400E-01
   7124.80  1.5904372E-01
   7125.00  1.6245831E-01
   7125.20  1.6582936E-01
   7125.40  1.6905697E-01
   7125.60  1.7200140E-01
   7125.80  1.7451798E-01
   7126.00  1.7649099E-01
   7126.20  1.7785415E-01
   7126.40  1.7859325E-01
   7126.60  1.7873511E-01
   7126.80  1.7833065E-01
   7127.00  1.7743902E-01
   7127.20  1.7611657E-01
   7127.40  1.7441191E-01
   7127.60  1.7236619E-01
   7127.80  1.7001686E-01
   7128.00  1.6740269E-01
   7128.20  1.6456792E-01
   7128.40  1.6156437E-01
   7128.60  1.5845080E-01
   7128.80  1.5529014E-01
   7129.00  1.5214538E-01
   7129.20  1.4907530E-01
   7129.40  1.4613106E-01
   7129.60  1.4335394E-01
   7129.80  1.4077460E-01
   7130.00  1.3841330E-01
   7130.20  1.3628094E-01
   7130.40  1.3438050E-01
   7130.60  1.3270850E-01
   7130.80  1.3125640E-01
   7131.00  1.3001188E-01
   7131.20  1.2895988E-01
   7131.40  1.2808344E-01
   7131.60  1.2736450E-01
   7131.80  1.2678448E-01
   7132.00  1.2632483E-01
   7133.00  1.2523409E-01
   7134.00  1.2495457E-01
   7135.00  1.2458221E-01
   7136.00  1.2387593E-01
   7137.00  1.2285961E-01
   7138.00  1.2162632E-01
   7139.00  1.2030454E-01
   7140.00  1.1904037E-01
   7141.00  1.1797007E-01
   7142.00  1.1717963E-01
   7143.00  1.1665004E-01
   7144.00  1.1623746E-01
   7145.00  1.1573298E-01
