    Energy    <xanes>    
   7072.00  2.5926606E-04
   7072.50  2.6238045E-04
   7073.00  2.6556480E-04
   7073.50  2.6882147E-04
   7074.00  2.7215290E-04
   7074.50  2.7556166E-04
   7075.00  2.7905044E-04
   7075.50  2.8262204E-04
   7076.00  2.8627941E-04
   7076.50  2.9002562E-04
   7077.00  2.9386390E-04
   7077.50  2.9779763E-04
   7078.00  3.0183037E-04
   7078.50  3.0596585E-04
   7079.00  3.1020797E-04
   7079.50  3.1456085E-04
   7080.00  3.1902883E-04
   7080.50  3.2361645E-04
   7081.00  3.2832850E-04
   7081.50  3.3317006E-04
   7082.00  3.3814642E-04
   7082.50  3.4326323E-04
   7083.00  3.4852641E-04
   7083.50  3.5394224E-04
   7084.00  3.5951734E-04
   7084.50  3.6525873E-04
   7085.00  3.7117384E-04
   7085.50  3.7727055E-04
   7086.00  3.8355721E-04
   7086.50  3.9004269E-04
   7087.00  3.9673642E-04
   7087.50  4.0364841E-04
   7088.00  4.1078935E-04
   7088.50  4.1817061E-04
   7089.00  4.2580432E-04
   7089.50  4.3370343E-04
   7090.00  4.4188179E-04
   7090.50  4.5035423E-04
   7091.00  4.5913661E-04
   7091.50  4.6824596E-04
   7092.00  4.7770058E-04
   7092.50  4.8752013E-04
   7093.00  4.9772579E-04
   7093.50  5.0834038E-04
   7094.00  5.1938855E-04
   7094.50  5.3089697E-04
   7095.00  5.4289449E-04
   7095.50  5.5541243E-04
   7096.00  5.6848481E-04
   7096.50  5.8214867E-04
   7097.00  5.9644438E-04
   7097.50  6.1141607E-04
   7098.00  6.2711204E-04
   7098.50  6.4358527E-04
   7099.00  6.6089403E-04
   7099.50  6.7910251E-04
   7100.00  6.9828166E-04
   7100.50  7.1851004E-04
   7101.00  7.3987495E-04
   7101.50  7.6247361E-04
   7102.00  7.8641469E-04
   7102.50  8.1182007E-04
   7103.00  8.3882687E-04
   7103.50  8.6759006E-04
   7104.00  8.9828547E-04
   7104.50  9.3111354E-04
   7105.00  9.6630394E-04
   7105.50  1.0041214E-03
   7106.00  1.0448728E-03
   7106.50  1.0889170E-03
   7107.00  1.1366768E-03
   7107.10  1.1467173E-03
   7107.20  1.1569307E-03
   7107.30  1.1673217E-03
   7107.40  1.1778951E-03
   7107.50  1.1886559E-03
   7107.60  1.1996094E-03
   7107.70  1.2107610E-03
   7107.80  1.2221164E-03
   7107.90  1.2336815E-03
   7108.00  1.2454625E-03
   7108.10  1.2574658E-03
   7108.20  1.2696984E-03
   7108.30  1.2821671E-03
   7108.40  1.2948795E-03
   7108.50  1.3078435E-03
   7108.60  1.3210671E-03
   7108.70  1.3345591E-03
   7108.80  1.3483287E-03
   7108.90  1.3623855E-03
   7109.00  1.3767398E-03
   7109.10  1.3914025E-03
   7109.20  1.4063852E-03
   7109.30  1.4217003E-03
   7109.40  1.4373612E-03
   7109.50  1.4533822E-03
   7109.60  1.4697788E-03
   7109.70  1.4865679E-03
   7109.80  1.5037679E-03
   7109.90  1.5213989E-03
   7110.00  1.5394832E-03
   7110.10  1.5580457E-03
   7110.20  1.5771141E-03
   7110.30  1.5967200E-03
   7110.40  1.6168991E-03
   7110.50  1.6376926E-03
