    Energy    <xanes>    
   7072.00  3.9227823E-04
   7072.50  3.9620361E-04
   7073.00  4.0100334E-04
   7073.50  4.0591253E-04
   7074.00  4.1093492E-04
   7074.50  4.1607442E-04
   7075.00  4.2133512E-04
   7075.50  4.2672131E-04
   7076.00  4.3223749E-04
   7076.50  4.3788835E-04
   7077.00  4.4367883E-04
   7077.50  4.4961411E-04
   7078.00  4.5569963E-04
   7078.50  4.6194108E-04
   7079.00  4.6834448E-04
   7079.50  4.7491612E-04
   7080.00  4.8166265E-04
   7080.50  4.8859105E-04
   7081.00  4.9570870E-04
   7081.50  5.0302335E-04
   7082.00  5.1054321E-04
   7082.50  5.1827691E-04
   7083.00  5.2623362E-04
   7083.50  5.3442299E-04
   7084.00  5.4285525E-04
   7084.50  5.5154126E-04
   7085.00  5.6049248E-04
   7085.50  5.6972112E-04
   7086.00  5.7924011E-04
   7086.50  5.8906323E-04
   7087.00  5.9920509E-04
   7087.50  6.0968130E-04
   7088.00  6.2050847E-04
   7088.50  6.3170432E-04
   7089.00  6.4328782E-04
   7089.50  6.5527922E-04
   7090.00  6.6770021E-04
   7090.50  6.8057405E-04
   7091.00  6.9392571E-04
   7091.50  7.0778202E-04
   7092.00  7.2217187E-04
   7092.50  7.3712638E-04
   7093.00  7.5267917E-04
   7093.50  7.6886656E-04
   7094.00  7.8572790E-04
   7094.50  8.0330588E-04
   7095.00  8.2164689E-04
   7095.50  8.4080143E-04
   7096.00  8.6082464E-04
   7096.50  8.8177676E-04
   7097.00  9.0372386E-04
   7097.50  9.2673849E-04
   7098.00  9.5090060E-04
   7098.50  9.7629846E-04
   7099.00  1.0030299E-03
   7099.50  1.0312036E-03
   7100.00  1.0609410E-03
   7100.50  1.0923777E-03
   7101.00  1.1256665E-03
   7101.50  1.1609801E-03
   7102.00  1.1985144E-03
   7102.50  1.2384933E-03
   7103.00  1.2811746E-03
   7103.50  1.3268568E-03
   7104.00  1.3758893E-03
   7104.50  1.4286847E-03
   7105.00  1.4857370E-03
   7105.50  1.5476459E-03
   7106.00  1.6151530E-03
   7106.50  1.6891959E-03
   7107.00  1.7709929E-03
   7107.10  1.7880006E-03
   7107.12  1.7922030E-03
   7107.22  1.8100932E-03
   7107.32  1.8283925E-03
   7107.42  1.8471190E-03
   7107.52  1.8662923E-03
   7107.62  1.8859335E-03
   7107.72  1.9060655E-03
   7107.82  1.9267130E-03
   7107.92  1.9479029E-03
   7108.02  1.9696644E-03
   7108.12  1.9920296E-03
   7108.22  2.0150334E-03
   7108.32  2.0387144E-03
   7108.42  2.0631150E-03
   7108.52  2.0882822E-03
   7108.62  2.1142680E-03
   7108.72  2.1411305E-03
   7108.82  2.1689348E-03
   7108.92  2.1977537E-03
   7109.02  2.2276695E-03
   7109.12  2.2587755E-03
   7109.22  2.2911776E-03
   7109.32  2.3249973E-03
   7109.42  2.3603738E-03
   7109.52  2.3974682E-03
   7109.62  2.4364676E-03
   7109.72  2.4775905E-03
   7109.82  2.5210936E-03
   7109.92  2.5672803E-03
   7110.02  2.6165117E-03
   7110.12  2.6692199E-03
   7110.22  2.7259255E-03
   7110.32  2.7872599E-03
   7110.42  2.8539936E-03
   7110.52  2.9270725E-03
   7110.62  3.0076644E-03
   7110.72  3.0972173E-03
   7110.82  3.1975309E-03
   7110.92  3.3108418E-03
   7111.02  3.4399143E-03
   7111.12  3.5881205E-03
   7111.22  3.7594624E-03
   7111.32  3.9584434E-03
   7111.42  4.1896091E-03
   7111.52  4.4564742E-03
   7111.62  4.7594854E-03
   7111.72  5.0928812E-03
   7111.82  5.4411188E-03
   7111.92  5.7770871E-03
   7112.02  6.0655392E-03
   7112.12  6.2735400E-03
   7112.22  6.3834243E-03
   7112.32  6.3995807E-03
   7112.42  6.3438662E-03
   7112.52  6.2445771E-03
   7112.62  6.1274078E-03
   7112.72  6.0118199E-03
   7112.82  5.9107163E-03
   7112.92  5.8306101E-03
   7113.02  5.7718730E-03
   7113.12  5.7300749E-03
   7113.22  5.6987968E-03
   7113.32  5.6729050E-03
   7113.42  5.6505605E-03
   7113.52  5.6330778E-03
   7113.62  5.6233899E-03
   7113.72  5.6245287E-03
   7113.82  5.6388879E-03
   7113.92  5.6681512E-03
   7114.02  5.7134506E-03
   7114.12  5.7754928E-03
   7114.22  5.8546390E-03
   7114.32  5.9509992E-03
   7114.42  6.0645589E-03
   7114.52  6.1953121E-03
   7114.62  6.3433695E-03
   7114.72  6.5090311E-03
   7114.82  6.6928298E-03
   7114.92  6.8955566E-03
   7115.02  7.1182785E-03
   7115.12  7.3623550E-03
   7115.22  7.6294566E-03
   7115.32  7.9215891E-03
   7115.42  8.2411207E-03
   7115.52  8.5908136E-03
   7115.62  8.9738571E-03
   7115.72  9.3938981E-03
   7115.82  9.8550657E-03
   7115.92  1.0361984E-02
   7116.02  1.0919772E-02
   7116.12  1.1534022E-02
   7116.22  1.2210776E-02
   7116.32  1.2956478E-02
   7116.42  1.3777916E-02
   7116.52  1.4682083E-02
   7116.62  1.5675892E-02
   7116.72  1.6765650E-02
   7116.82  1.7956244E-02
   7116.92  1.9250130E-02
   7117.02  2.0650494E-02
   7117.12  2.2152311E-02
   7117.32  2.5376883E-02
   7117.52  2.8810456E-02
   7117.72  3.2284096E-02
   7117.92  3.5621618E-02
   7118.12  3.8661504E-02
   7118.32  4.1264219E-02
   7118.52  4.3322860E-02
   7118.72  4.4791949E-02
   7118.92  4.5705845E-02
   7119.12  4.6170467E-02
   7119.32  4.6351459E-02
   7119.52  4.6455756E-02
   7119.72  4.6689734E-02
   7119.92  4.7216812E-02
   7120.12  4.8138966E-02
   7120.32  4.9499098E-02
   7120.52  5.1292485E-02
   7120.72  5.3478764E-02
   7120.92  5.5991530E-02
   7121.12  5.8747223E-02
   7121.32  6.1654293E-02
   7121.52  6.4622055E-02
   7121.72  6.7571202E-02
   7121.92  7.0448969E-02
   7122.12  7.3244803E-02
   7122.32  7.5995034E-02
   7122.52  7.8770315E-02
   7122.72  8.1653940E-02
   7122.92  8.4725629E-02
   7123.12  8.8057237E-02
   7123.32  9.1713675E-02
   7123.52  9.5748212E-02
   7123.72  1.0018926E-01
   7123.92  1.0502608E-01
   7124.12  1.1020299E-01
   7124.32  1.1562516E-01
   7124.52  1.2117197E-01
