    Energy    <xanes>    
   7072.00  2.6132612E-04
   7072.50  2.6435391E-04
   7073.00  2.6744781E-04
   7073.50  2.7060999E-04
   7074.00  2.7384272E-04
   7074.50  2.7714835E-04
   7075.00  2.8052935E-04
   7075.50  2.8398831E-04
   7076.00  2.8752793E-04
   7076.50  2.9115103E-04
   7077.00  2.9486056E-04
   7077.50  2.9865964E-04
   7078.00  3.0255149E-04
   7078.50  3.0653954E-04
   7079.00  3.1062736E-04
   7079.50  3.1481870E-04
   7080.00  3.1911750E-04
   7080.50  3.2352791E-04
   7081.00  3.2805429E-04
   7081.50  3.3270124E-04
   7082.00  3.3747357E-04
   7082.50  3.4237640E-04
   7083.00  3.4741510E-04
   7083.50  3.5259533E-04
   7084.00  3.5792311E-04
   7084.50  3.6340475E-04
   7085.00  3.6904697E-04
   7085.50  3.7485687E-04
   7086.00  3.8084198E-04
   7086.50  3.8701026E-04
   7087.00  3.9337021E-04
   7087.50  3.9993082E-04
   7088.00  4.0670167E-04
   7088.50  4.1369298E-04
   7089.00  4.2091560E-04
   7089.50  4.2838116E-04
   7090.00  4.3610206E-04
   7090.50  4.4409155E-04
   7091.00  4.5236385E-04
   7091.50  4.6093419E-04
   7092.00  4.6981895E-04
   7092.50  4.7903572E-04
   7093.00  4.8860345E-04
   7093.50  4.9854261E-04
   7094.00  5.0887529E-04
   7094.50  5.1962543E-04
   7095.00  5.3081899E-04
   7095.50  5.4248417E-04
   7096.00  5.5465172E-04
   7096.50  5.6735519E-04
   7097.00  5.8063130E-04
   7097.50  5.9452037E-04
   7098.00  6.0906676E-04
   7098.50  6.2431949E-04
   7099.00  6.4033285E-04
   7099.50  6.5716726E-04
   7100.00  6.7489020E-04
   7100.50  6.9357745E-04
   7101.00  7.1331452E-04
   7101.50  7.3419851E-04
   7102.00  7.5634042E-04
   7102.50  7.7986819E-04
   7103.00  8.0493052E-04
   7103.50  8.3170217E-04
   7104.00  8.6039097E-04
   7104.50  8.9124767E-04
   7105.00  9.2457993E-04
   7105.50  9.6077280E-04
   7106.00  1.0003198E-03
   7106.50  1.0438713E-03
   7107.00  1.0923139E-03
   7107.10  1.1026912E-03
   7107.20  1.1133249E-03
