    Energy    <xanes>    
   7072.00  1.3502586E-04
   7072.50  1.3666191E-04
   7073.00  1.3833562E-04
   7073.50  1.4004829E-04
   7074.00  1.4180129E-04
   7074.50  1.4359605E-04
   7075.00  1.4543406E-04
   7075.50  1.4731689E-04
   7076.00  1.4924620E-04
   7076.50  1.5122370E-04
   7077.00  1.5325121E-04
   7077.50  1.5533063E-04
   7078.00  1.5746397E-04
   7078.50  1.5965333E-04
   7079.00  1.6190093E-04
   7079.50  1.6420909E-04
   7080.00  1.6658028E-04
   7080.50  1.6901709E-04
   7081.00  1.7152225E-04
   7081.50  1.7409865E-04
   7082.00  1.7674935E-04
   7082.50  1.7947758E-04
   7083.00  1.8228674E-04
   7083.50  1.8518046E-04
   7084.00  1.8816258E-04
   7084.50  1.9123716E-04
   7085.00  1.9440853E-04
   7085.50  1.9768127E-04
   7086.00  2.0106027E-04
   7086.50  2.0455075E-04
   7087.00  2.0815823E-04
   7087.50  2.1188864E-04
   7088.00  2.1574830E-04
   7088.50  2.1974395E-04
   7089.00  2.2388283E-04
   7089.50  2.2817270E-04
   7090.00  2.3262185E-04
   7090.50  2.3723922E-04
   7091.00  2.4203441E-04
   7091.50  2.4701776E-04
   7092.00  2.5220043E-04
   7092.50  2.5759446E-04
   7093.00  2.6321289E-04
   7093.50  2.6906981E-04
   7094.00  2.7518056E-04
   7094.50  2.8156176E-04
   7095.00  2.8823154E-04
   7095.50  2.9520965E-04
   7096.00  3.0251771E-04
   7096.50  3.1017934E-04
   7097.00  3.1822051E-04
   7097.50  3.2666975E-04
   7098.00  3.3555851E-04
   7098.50  3.4492156E-04
   7099.00  3.5479740E-04
   7099.50  3.6522881E-04
   7100.00  3.7626344E-04
   7100.50  3.8795456E-04
   7101.00  4.0036187E-04
   7101.50  4.1355255E-04
   7102.00  4.2760248E-04
   7102.50  4.4259767E-04
   7103.00  4.5863607E-04
   7103.50  4.7582975E-04
   7104.00  4.9430755E-04
   7104.50  5.1421844E-04
   7105.00  5.3573568E-04
   7105.50  5.5906216E-04
   7106.00  5.8443720E-04
   7106.50  6.1214544E-04
   7107.00  6.4252867E-04
   7107.10  6.4896131E-04
   7107.20  6.5552097E-04
   7107.30  6.6221152E-04
   7107.40  6.6903703E-04
   7107.50  6.7600172E-04
   7107.60  6.8311000E-04
   7107.70  6.9036649E-04
   7107.80  6.9777601E-04
   7107.90  7.0534363E-04
   7108.00  7.1307462E-04
   7108.10  7.2097453E-04
   7108.20  7.2904918E-04
   7108.30  7.3730469E-04
   7108.40  7.4574746E-04
   7108.50  7.5438426E-04
   7108.60  7.6322219E-04
   7108.70  7.7226876E-04
   7108.80  7.8153189E-04
   7108.90  7.9101995E-04
   7109.00  8.0074179E-04
   7109.10  8.1070682E-04
   7109.20  8.2092500E-04
   7109.30  8.3140696E-04
   7109.40  8.4216401E-04
   7109.50  8.5320824E-04
   7109.60  8.6455262E-04
   7109.70  8.7621105E-04
   7109.80  8.8819854E-04
   7109.90  9.0053131E-04
   7110.00  9.1322695E-04
   7110.10  9.2630466E-04
   7110.20  9.3978548E-04
   7110.30  9.5369255E-04
   7110.40  9.6805155E-04
   7110.50  9.8289112E-04
   7110.60  9.9824341E-04
   7110.70  1.0141448E-03
   7110.80  1.0306367E-03
   7110.90  1.0477665E-03
   7111.00  1.0655888E-03
   7111.10  1.0841656E-03
   7111.20  1.1035675E-03
   7111.30  1.1238715E-03
   7111.40  1.1451566E-03
   7111.50  1.1674937E-03
   7111.60  1.1909275E-03
   7111.70  1.2154545E-03
   7111.80  1.2410086E-03
   7111.90  1.2674916E-03
   7112.00  1.2949361E-03
   7112.10  1.3233246E-03
   7112.20  1.3526921E-03
   7112.30  1.3831410E-03
   7112.40  1.4148000E-03
   7112.50  1.4477882E-03
   7112.60  1.4822011E-03
   7112.70  1.5181210E-03
   7112.80  1.5556482E-03
   7112.90  1.5949358E-03
   7113.00  1.6362074E-03
   7113.10  1.6797488E-03
   7113.20  1.7258840E-03
   7113.30  1.7749537E-03
   7113.40  1.8273073E-03
   7113.50  1.8833067E-03
   7113.60  1.9433380E-03
   7113.70  2.0078245E-03
   7113.80  2.0772411E-03
   7113.90  2.1521275E-03
   7114.00  2.2331023E-03
   7114.10  2.3208792E-03
   7114.20  2.4162855E-03
   7114.30  2.5202856E-03
   7114.40  2.6340086E-03
   7114.50  2.7587808E-03
   7114.60  2.8961614E-03
   7114.70  3.0479832E-03
   7114.80  3.2163971E-03
   7114.90  3.4039173E-03
   7115.00  3.6134636E-03
   7115.10  3.8483873E-03
   7115.20  4.1124666E-03
   7115.30  4.4098394E-03
   7115.40  4.7448337E-03
   7115.50  5.1216396E-03
   7115.60  5.5437597E-03
   7115.70  6.0131969E-03
   7115.80  6.5294071E-03
   7115.90  7.0881851E-03
   7116.00  7.6808331E-03
   7116.10  8.2940824E-03
   7116.20  8.9111344E-03
   7116.30  9.5138006E-03
   7116.40  1.0085233E-02
   7116.50  1.0612473E-02
   7116.60  1.1088179E-02
   7116.70  1.1511240E-02
   7116.80  1.1886285E-02
   7116.90  1.2222311E-02
   7117.00  1.2530754E-02
   7117.20  1.3110453E-02
   7117.40  1.3692642E-02
   7117.60  1.4289817E-02
   7117.80  1.4871052E-02
   7118.00  1.5404211E-02
   7118.20  1.5890845E-02
   7118.40  1.6365721E-02
   7118.60  1.6870738E-02
   7118.80  1.7432088E-02
   7119.00  1.8053301E-02
   7119.20  1.8721490E-02
   7119.40  1.9423735E-02
   7119.60  2.0165738E-02
   7119.80  2.0977806E-02
   7120.00  2.1902807E-02
   7120.20  2.2978985E-02
   7120.40  2.4232208E-02
   7120.60  2.5677476E-02
   7120.80  2.7319165E-02
   7121.00  2.9143076E-02
   7121.20  3.1104127E-02
   7121.40  3.3122451E-02
