    Energy    <xanes>    
   7072.00  2.5726165E-04
   7072.50  2.6032463E-04
   7073.00  2.6345585E-04
   7073.50  2.6665756E-04
   7074.00  2.6993215E-04
   7074.50  2.7328209E-04
   7075.00  2.7670997E-04
   7075.50  2.8021852E-04
   7076.00  2.8381056E-04
   7076.50  2.8748908E-04
   7077.00  2.9125718E-04
   7077.50  2.9511812E-04
   7078.00  2.9907534E-04
   7078.50  3.0313242E-04
   7079.00  3.0729313E-04
   7079.50  3.1156144E-04
   7080.00  3.1594151E-04
   7080.50  3.2043772E-04
   7081.00  3.2505468E-04
   7081.50  3.2979725E-04
   7082.00  3.3467054E-04
   7082.50  3.3967995E-04
   7083.00  3.4483118E-04
   7083.50  3.5013023E-04
   7084.00  3.5558347E-04
   7084.50  3.6119761E-04
   7085.00  3.6697977E-04
   7085.50  3.7293749E-04
   7086.00  3.7907875E-04
   7086.50  3.8541203E-04
   7087.00  3.9194633E-04
   7087.50  3.9869123E-04
   7088.00  4.0565689E-04
   7088.50  4.1285417E-04
   7089.00  4.2029461E-04
   7089.50  4.2799055E-04
   7090.00  4.3595515E-04
   7090.50  4.4420249E-04
   7091.00  4.5274765E-04
   7091.50  4.6160678E-04
   7092.00  4.7079722E-04
   7092.50  4.8033758E-04
   7093.00  4.9024790E-04
   7093.50  5.0054974E-04
   7094.00  5.1126639E-04
   7094.50  5.2242297E-04
   7095.00  5.3404668E-04
   7095.50  5.4616699E-04
   7096.00  5.5881586E-04
   7096.50  5.7202806E-04
   7097.00  5.8584143E-04
   7097.50  6.0029728E-04
   7098.00  6.1544076E-04
   7098.50  6.3132130E-04
   7099.00  6.4799322E-04
   7099.50  6.6551623E-04
   7100.00  6.8395621E-04
   7100.50  7.0338601E-04
   7101.00  7.2388638E-04
   7101.50  7.4554711E-04
   7102.00  7.6846832E-04
   7102.50  7.9276206E-04
   7103.00  8.1855411E-04
   7103.50  8.4598624E-04
   7104.00  8.7521890E-04
   7104.50  9.0643448E-04
   7105.00  9.3984137E-04
   7105.50  9.7567898E-04
   7106.00  1.0142241E-03
   7106.50  1.0557991E-03
   7107.00  1.1007825E-03
   7107.10  1.1102263E-03
   7107.20  1.1198281E-03
   7107.30  1.1295921E-03
   7107.40  1.1395225E-03
   7107.50  1.1496238E-03
   7107.60  1.1599006E-03
   7107.70  1.1703579E-03
   7107.80  1.1810006E-03
   7107.90  1.1918339E-03
   7108.00  1.2028634E-03
   7108.10  1.2140948E-03
   7108.20  1.2255341E-03
   7108.30  1.2371874E-03
   7108.40  1.2490615E-03
   7108.50  1.2611631E-03
   7108.60  1.2734996E-03
   7108.70  1.2860786E-03
   7108.80  1.2989081E-03
   7108.90  1.3119967E-03
   7109.00  1.3253534E-03
   7109.10  1.3389878E-03
   7109.20  1.3529100E-03
   7109.30  1.3671311E-03
   7109.40  1.3816627E-03
   7109.50  1.3965173E-03
   7109.60  1.4117087E-03
   7109.70  1.4272515E-03
   7109.80  1.4431620E-03
   7109.90  1.4594577E-03
   7110.00  1.4761582E-03
   7110.10  1.4932853E-03
   7110.20  1.5108633E-03
   7110.30  1.5289197E-03
   7110.40  1.5474859E-03
   7110.50  1.5665978E-03
   7110.60  1.5862975E-03
   7110.70  1.6066339E-03
   7110.80  1.6276649E-03
   7110.90  1.6494592E-03
   7111.00  1.6720990E-03
   7111.10  1.6956815E-03
   7111.20  1.7203212E-03
   7111.30  1.7461481E-03
   7111.40  1.7733012E-03
   7111.50  1.8019090E-03
   7111.60  1.8320506E-03
   7111.70  1.8636906E-03
   7111.80  1.8965995E-03
   7111.90  1.9303063E-03
   7112.00  1.9641741E-03
   7112.10  1.9977921E-03
   7112.20  2.0308911E-03
   7112.30  2.0635123E-03
   7112.40  2.0960034E-03
   7112.50  2.1288508E-03
   7112.60  2.1625397E-03
   7112.70  2.1974845E-03
   7112.80  2.2340165E-03
   7112.90  2.2723985E-03
   7113.00  2.3128483E-03
   7113.10  2.3555592E-03
   7113.20  2.4007160E-03
   7113.30  2.4485028E-03
   7113.40  2.4991046E-03
   7113.50  2.5527028E-03
   7113.60  2.6094692E-03
   7113.70  2.6695576E-03
   7113.80  2.7330937E-03
   7113.90  2.8001621E-03
   7114.00  2.8707923E-03
   7114.10  2.9449474E-03
   7114.20  3.0225261E-03
   7114.30  3.1033885E-03
   7114.40  3.1874170E-03
   7114.50  3.2746106E-03
   7114.60  3.3651904E-03
   7114.70  3.4596766E-03
   7114.80  3.5589040E-03
   7114.90  3.6639728E-03
   7115.00  3.7761621E-03
   7115.10  3.8968414E-03
   7115.20  4.0273945E-03
   7115.30  4.1691453E-03
   7115.40  4.3232489E-03
   7115.50  4.4905051E-03
   7115.60  4.6710643E-03
   7115.70  4.8640502E-03
   7115.80  5.0672415E-03
   7115.90  5.2771185E-03
   7116.00  5.4896310E-03
   7116.10  5.7017078E-03
   7116.20  5.9128455E-03
   7116.30  6.1257559E-03
   7116.40  6.3456534E-03
   7116.50  6.5787859E-03
   7116.60  6.8311448E-03
   7116.70  7.1078140E-03
   7116.80  7.4128651E-03
   7116.90  7.7495094E-03
   7117.00  8.1202965E-03
   7117.20  8.9720432E-03
   7117.40  9.9797281E-03
   7117.60  1.1149583E-02
   7117.80  1.2482513E-02
   7118.00  1.3971816E-02
   7118.20  1.5602533E-02
   7118.40  1.7362109E-02
