    Energy    <xanes>    
   7072.00  1.3660236E-04
   7072.50  1.3831292E-04
   7073.00  1.4006422E-04
   7073.50  1.4185773E-04
   7074.00  1.4369497E-04
   7074.50  1.4557756E-04
   7075.00  1.4750718E-04
   7075.50  1.4948560E-04
   7076.00  1.5151469E-04
   7076.50  1.5359639E-04
   7077.00  1.5573277E-04
   7077.50  1.5792599E-04
   7078.00  1.6017833E-04
   7078.50  1.6249219E-04
   7079.00  1.6487012E-04
   7079.50  1.6731477E-04
   7080.00  1.6982897E-04
   7080.50  1.7241571E-04
   7081.00  1.7507815E-04
   7081.50  1.7781962E-04
   7082.00  1.8064366E-04
   7082.50  1.8355402E-04
   7083.00  1.8655467E-04
   7083.50  1.8964986E-04
   7084.00  1.9284405E-04
   7084.50  1.9614203E-04
   7085.00  1.9954889E-04
   7085.50  2.0307004E-04
   7086.00  2.0671127E-04
   7086.50  2.1047874E-04
   7087.00  2.1437906E-04
   7087.50  2.1841929E-04
   7088.00  2.2260700E-04
   7088.50  2.2695029E-04
   7089.00  2.3145790E-04
   7089.50  2.3613918E-04
   7090.00  2.4100422E-04
   7090.50  2.4606390E-04
   7091.00  2.5132995E-04
   7091.50  2.5681506E-04
   7092.00  2.6253297E-04
   7092.50  2.6849855E-04
   7093.00  2.7472799E-04
   7093.50  2.8123886E-04
   7094.00  2.8805034E-04
   7094.50  2.9518332E-04
   7095.00  3.0266069E-04
   7095.50  3.1050748E-04
   7096.00  3.1875122E-04
   7096.50  3.2742216E-04
   7097.00  3.3655366E-04
   7097.50  3.4618259E-04
   7098.00  3.5634981E-04
   7098.50  3.6710067E-04
   7099.00  3.7848569E-04
   7099.50  3.9056129E-04
   7100.00  4.0339066E-04
   7100.50  4.1704482E-04
   7101.00  4.3160382E-04
   7101.50  4.4715824E-04
   7102.00  4.6381097E-04
   7102.50  4.8167933E-04
   7103.00  5.0089768E-04
   7103.50  5.2162066E-04
   7104.00  5.4402709E-04
   7104.50  5.6832493E-04
   7105.00  5.9475749E-04
   7105.50  6.2361129E-04
   7106.00  6.5522622E-04
   7106.50  6.9000885E-04
   7107.00  7.2845003E-04
   7107.10  7.3662778E-04
   7107.20  7.4498077E-04
   7107.30  7.5351466E-04
   7107.40  7.6223531E-04
   7107.50  7.7114888E-04
   7107.60  7.8026178E-04
   7107.70  7.8958075E-04
   7107.80  7.9911283E-04
   7107.90  8.0886538E-04
   7108.00  8.1884616E-04
   7108.10  8.2906327E-04
   7108.20  8.3952526E-04
   7108.30  8.5024109E-04
   7108.40  8.6122021E-04
   7108.50  8.7247256E-04
   7108.60  8.8400864E-04
   7108.70  8.9583954E-04
   7108.80  9.0797699E-04
   7108.90  9.2043340E-04
   7109.00  9.3322195E-04
   7109.10  9.4635665E-04
   7109.20  9.5985242E-04
   7109.30  9.7372516E-04
   7109.40  9.8799190E-04
   7109.50  1.0026709E-03
   7109.60  1.0177817E-03
   7109.70  1.0333457E-03
   7109.80  1.0493856E-03
   7109.90  1.0659264E-03
   7110.00  1.0829954E-03
   7110.10  1.1006224E-03
   7110.20  1.1188405E-03
   7110.30  1.1376863E-03
   7110.40  1.1572007E-03
   7110.50  1.1774301E-03
   7110.60  1.1984268E-03
   7110.70  1.2202508E-03
   7110.80  1.2429715E-03
   7110.90  1.2666691E-03
   7111.00  1.2914371E-03
   7111.10  1.3173842E-03
   7111.20  1.3446350E-03
   7111.30  1.3733284E-03
   7111.40  1.4036092E-03
   7111.50  1.4356085E-03
   7111.60  1.4694041E-03
   7111.70  1.5049596E-03
   7111.80  1.5420581E-03
   7111.90  1.5802817E-03
   7112.00  1.6191392E-03
   7112.10  1.6583920E-03
   7112.20  1.6979560E-03
   7112.30  1.7380724E-03
   7112.40  1.7792191E-03
   7112.50  1.8219490E-03
   7112.60  1.8667820E-03
   7112.70  1.9141666E-03
   7112.80  1.9644878E-03
   7112.90  2.0180919E-03
   7113.00  2.0753125E-03
   7113.10  2.1364928E-03
   7113.20  2.2020028E-03
   7113.30  2.2722534E-03
   7113.40  2.3477096E-03
   7113.50  2.4289028E-03
   7113.60  2.5164438E-03
   7113.70  2.6110377E-03
   7113.80  2.7135003E-03
   7113.90  2.8247769E-03
   7114.00  2.9459627E-03
   7114.10  3.0783258E-03
   7114.20  3.2233287E-03
